2#app#app11#app1169/L  -0.459 1.835  -0.388 1.765  -0.324 1.691  -0.324 1.591  -0.324 1.491  -0.324 1.391  -0.324 1.292  -0.324 1.192  -0.324 1.092  -0.324 0.992  -0.324 0.892  -0.324 0.792  -0.324 0.692  -0.324 0.593  -0.324 0.493  -0.324 0.393  -0.324 0.293  -0.324 0.193  -0.324 0.093  -0.324 -0.007  -0.324 -0.107  -0.324 -0.206  -0.324 -0.306  -0.324 -0.406  -0.324 -0.506  -0.324 -0.606  -0.324 -0.706  -0.324 -0.806  -0.324 -0.905  -0.301 -0.982  -0.201 -0.982  -0.190 -0.893  -0.135 -0.848  -0.036 -0.848  0.064 -0.848  0.164 -0.848  0.212 -0.796  0.230 -0.714  0.330 -0.714  0.430 -0.714  0.515 -0.679  0.586 -0.608  0.674 -0.579  0.771 -0.568  0.860 -0.524  0.949 -0.479  1.041 -0.445  1.141 -0.445  1.215 -0.382  1.285 -0.311
2#apb#apb05#app0512/L  0.369 1.954  0.299 1.888  0.272 1.777  0.249 1.665  0.226 1.553  0.199 1.441  0.173 1.330  0.147 1.218  0.122 1.107  0.097 0.995  0.071 0.883  0.039 0.773  0.002 0.665  -0.036 0.557  -0.074 0.449  -0.112 0.341  -0.153 0.234  -0.193 0.127  -0.233 0.019  -0.274 -0.088  -0.321 -0.192  -0.368 -0.296  -0.415 -0.401  -0.460 -0.506  -0.503 -0.612  -0.545 -0.719  -0.593 -0.822  -0.645 -0.925  -0.702 -1.024  -0.734 -0.963  -0.698 -0.860  -0.631 -0.768  -0.555 -0.682  -0.477 -0.599  -0.369 -0.562  -0.260 -0.527  -0.150 -0.494  -0.041 -0.460  0.070 -0.430  0.181 -0.407  0.296 -0.407  0.410 -0.408  0.500 -0.479  0.592 -0.546  0.697 -0.592  0.783 -0.666  0.858 -0.750  0.896 -0.858  0.968 -0.947  1.027 -0.987
3#apb#apb05#app0529/L  0.065 1.895  -0.004 1.827  -0.053 1.741  -0.077 1.647  -0.077 1.547  -0.077 1.448  -0.084 1.348  -0.091 1.248  -0.097 1.149  -0.102 1.049  -0.107 0.949  -0.113 0.850  -0.124 0.750  -0.136 0.651  -0.148 0.552  -0.160 0.453  -0.173 0.354  -0.188 0.255  -0.203 0.157  -0.219 0.058  -0.234 -0.041  -0.256 -0.138  -0.280 -0.235  -0.304 -0.332  -0.328 -0.429  -0.353 -0.525  -0.378 -0.622  -0.404 -0.719  -0.429 -0.815  -0.476 -0.902  -0.523 -0.989  -0.485 -0.989  -0.421 -0.912  -0.337 -0.859  -0.251 -0.807  -0.163 -0.762  -0.073 -0.717  0.016 -0.672  0.112 -0.660  0.211 -0.667  0.311 -0.673  0.411 -0.669  0.510 -0.662  0.610 -0.659  0.707 -0.681  0.804 -0.703  0.899 -0.734  0.993 -0.768  1.090 -0.788  1.189 -0.799
2#ced#sncn4237/L  0.216 1.220  0.189 1.303  0.172 1.387  0.135 1.464  0.108 1.545  0.102 1.573  0.095 1.487  0.066 1.403  0.054 1.315  0.051 1.226  0.037 1.138  0.018 1.051  0.004 0.963  -0.006 0.875  -0.017 0.787  -0.036 0.700  -0.053 0.612  -0.069 0.525  -0.085 0.437  -0.101 0.350  -0.117 0.262  -0.134 0.175  -0.151 0.087  -0.165 -0.000  -0.181 -0.088  -0.200 -0.175  -0.210 -0.263  -0.218 -0.352  -0.227 -0.440  -0.237 -0.529  -0.247 -0.617  -0.256 -0.706  -0.269 -0.794  -0.271 -0.883  -0.271 -0.972  -0.271 -1.061  -0.271 -1.150  -0.249 -1.235  -0.183 -1.258  -0.101 -1.231  -0.023 -1.188  0.054 -1.143  0.135 -1.107  0.212 -1.064  0.289 -1.020  0.371 -0.985  0.454 -0.954  0.536 -0.922  0.618 -0.887  0.704 -0.866
2#ced#sncn4237/L  0.040 1.314  0.004 1.385  -0.037 1.456  -0.083 1.495  -0.098 1.517  -0.064 1.489  -0.067 1.462  -0.067 1.376  -0.067 1.291  -0.067 1.205  -0.067 1.120  -0.067 1.034  -0.067 0.948  -0.067 0.863  -0.069 0.777  -0.079 0.692  -0.083 0.607  -0.086 0.521  -0.095 0.436  -0.104 0.351  -0.113 0.266  -0.113 0.180  -0.113 0.095  -0.113 0.009  -0.120 -0.076  -0.128 -0.161  -0.128 -0.247  -0.134 -0.332  -0.144 -0.417  -0.144 -0.503  -0.153 -0.587  -0.159 -0.673  -0.159 -0.758  -0.163 -0.843  -0.174 -0.928  -0.174 -1.013  -0.174 -1.099  -0.174 -1.185  -0.126 -1.220  -0.048 -1.185  0.033 -1.158  0.114 -1.131  0.198 -1.121  0.281 -1.100  0.365 -1.083  0.449 -1.063  0.530 -1.038  0.611 -1.013  0.695 -0.996  0.773 -0.962
2#ced#sncn4237/L  -0.011 1.077  -0.018 1.162  -0.025 1.247  -0.011 1.332  -0.010 1.418  0.003 1.502  0.032 1.526  0.032 1.439  0.032 1.352  0.032 1.265  0.032 1.179  0.027 1.092  0.016 1.006  0.007 0.920  -0.009 0.834  -0.026 0.749  -0.034 0.663  -0.043 0.576  -0.052 0.490  -0.065 0.404  -0.080 0.318  -0.095 0.233  -0.110 0.147  -0.119 0.061  -0.127 -0.025  -0.143 -0.111  -0.158 -0.196  -0.174 -0.282  -0.188 -0.367  -0.197 -0.454  -0.207 -0.540  -0.216 -0.626  -0.225 -0.713  -0.236 -0.799  -0.249 -0.885  -0.257 -0.971  -0.250 -1.057  -0.231 -1.142  -0.171 -1.202  -0.095 -1.243  -0.010 -1.253  0.075 -1.236  0.159 -1.214  0.240 -1.184  0.323 -1.156  0.405 -1.129  0.485 -1.097  0.563 -1.061  0.647 -1.041  0.727 -1.007
2#ced#sncn4237/L  0.251 1.493  0.219 1.568  0.181 1.632  0.146 1.638  0.117 1.559  0.108 1.475  0.105 1.391  0.115 1.308  0.101 1.225  0.081 1.143  0.071 1.059  0.055 0.976  0.038 0.893  0.022 0.810  0.002 0.728  -0.019 0.646  -0.032 0.563  -0.045 0.479  -0.061 0.396  -0.075 0.313  -0.089 0.230  -0.103 0.146  -0.117 0.063  -0.130 -0.020  -0.145 -0.104  -0.160 -0.187  -0.174 -0.270  -0.188 -0.353  -0.206 -0.436  -0.223 -0.519  -0.242 -0.601  -0.266 -0.682  -0.288 -0.764  -0.303 -0.847  -0.310 -0.931  -0.318 -1.015  -0.322 -1.099  -0.294 -1.178  -0.226 -1.220  -0.145 -1.197  -0.068 -1.165  0.010 -1.133  0.089 -1.102  0.167 -1.070  0.246 -1.039  0.327 -1.019  0.405 -0.986  0.482 -0.950  0.564 -0.932  0.647 -0.915
2#apb#apb10#app1037/L  -0.002 0.863  0.061 0.834  0.161 0.813  0.265 0.830  0.363 0.872  0.456 0.924  0.548 0.977  0.643 1.025  0.714 1.102  0.771 1.191  0.791 1.293  0.767 1.248  0.719 1.153  0.668 1.059  0.613 0.969  0.556 0.878  0.500 0.787  0.445 0.696  0.390 0.604  0.332 0.515  0.274 0.426  0.215 0.337  0.152 0.251  0.089 0.165  0.026 0.079  -0.035 -0.009  -0.094 -0.097  -0.153 -0.186  -0.212 -0.275  -0.271 -0.364  -0.331 -0.452  -0.390 -0.541  -0.450 -0.629  -0.511 -0.716  -0.572 -0.804  -0.634 -0.890  -0.702 -0.973  -0.774 -1.051  -0.842 -1.133  -0.899 -1.195  -0.815 -1.134  -0.719 -1.088  -0.621 -1.045  -0.522 -1.006  -0.416 -0.995  -0.310 -0.996  -0.206 -1.011  -0.112 -1.062  -0.014 -1.105  0.088 -1.133
3#app#app40#app4075/L  -0.450 1.756  -0.450 1.666  -0.450 1.576  -0.450 1.486  -0.450 1.396  -0.450 1.305  -0.450 1.215  -0.450 1.125  -0.450 1.035  -0.450 0.945  -0.450 0.855  -0.450 0.765  -0.450 0.675  -0.450 0.585  -0.450 0.495  -0.450 0.405  -0.450 0.315  -0.450 0.225  -0.450 0.135  -0.450 0.045  -0.450 -0.045  -0.450 -0.135  -0.450 -0.225  -0.450 -0.315  -0.450 -0.405  -0.405 -0.450  -0.315 -0.450  -0.225 -0.450  -0.135 -0.450  -0.045 -0.450  0.045 -0.450  0.135 -0.450  0.225 -0.450  0.315 -0.450  0.405 -0.450  0.432 -0.513  0.432 -0.603  0.432 -0.693  0.432 -0.783  0.432 -0.873  0.504 -0.891  0.594 -0.891  0.684 -0.891  0.774 -0.891  0.864 -0.891  0.954 -0.891  1.044 -0.891  1.134 -0.891  1.224 -0.891  1.315 -0.891
1b#apb#apb38#app3874/L  -0.270 1.132  -0.397 1.089  -0.372 0.946  -0.253 0.838  -0.132 0.734  0.023 0.688  0.183 0.680  0.336 0.715  0.481 0.785  0.601 0.893  0.716 1.006  0.815 1.131  0.876 1.279  0.827 1.317  0.740 1.182  0.655 1.044  0.575 0.904  0.495 0.764  0.426 0.619  0.358 0.473  0.291 0.326  0.220 0.182  0.145 0.039  0.071 -0.104  -0.007 -0.245  -0.093 -0.382  -0.178 -0.518  -0.272 -0.648  -0.388 -0.760  -0.503 -0.873  -0.621 -0.982  -0.741 -1.090  -0.867 -1.189  -1.014 -1.255  -1.120 -1.208  -1.077 -1.057  -0.988 -0.924  -0.881 -0.805  -0.744 -0.720  -0.599 -0.653  -0.445 -0.605  -0.289 -0.567  -0.131 -0.533  0.029 -0.532  0.189 -0.546  0.350 -0.555  0.511 -0.560  0.670 -0.536  0.824 -0.493  0.971 -0.426
1b#apb#apb38#app3874/L  -0.429 1.242  -0.406 1.134  -0.265 1.079  -0.115 1.065  0.037 1.083  0.178 1.139  0.318 1.199  0.451 1.271  0.568 1.366  0.605 1.347  0.573 1.198  0.539 1.050  0.494 0.904  0.450 0.758  0.409 0.612  0.369 0.465  0.330 0.318  0.276 0.176  0.215 0.036  0.152 -0.103  0.068 -0.229  -0.017 -0.356  -0.115 -0.470  -0.227 -0.573  -0.341 -0.675  -0.461 -0.769  -0.581 -0.862  -0.713 -0.936  -0.850 -1.005  -0.995 -1.047  -1.133 -1.027  -1.163 -0.889  -1.105 -0.748  -0.992 -0.648  -0.869 -0.559  -0.737 -0.483  -0.592 -0.447  -0.440 -0.430  -0.288 -0.427  -0.136 -0.427  0.016 -0.437  0.167 -0.451  0.319 -0.465  0.471 -0.478  0.622 -0.490  0.774 -0.472  0.924 -0.448  1.072 -0.412  1.216 -0.366  1.357 -0.310
2#app#app18#app1836/L  -0.285 1.384  -0.390 1.384  -0.496 1.384  -0.601 1.384  -0.662 1.340  -0.662 1.234  -0.595 1.196  -0.489 1.196  -0.473 1.106  -0.473 1.000  -0.473 0.895  -0.473 0.789  -0.473 0.683  -0.473 0.578  -0.473 0.472  -0.473 0.366  -0.473 0.261  -0.473 0.155  -0.473 0.050  -0.473 -0.056  -0.438 -0.126  -0.332 -0.126  -0.285 -0.184  -0.285 -0.290  -0.285 -0.395  -0.285 -0.501  -0.285 -0.607  -0.285 -0.712  -0.285 -0.818  -0.285 -0.839  -0.285 -0.733  -0.220 -0.692  -0.114 -0.692  -0.008 -0.692  0.097 -0.692  0.203 -0.692  0.308 -0.692  0.414 -0.692  0.520 -0.692  0.625 -0.692  0.710 -0.642  0.785 -0.567  0.864 -0.504  0.970 -0.504  1.075 -0.504  1.181 -0.504  1.287 -0.504  1.392 -0.504  1.498 -0.504  1.603 -0.504
2#app#app18#app1836/L  -0.019 1.669  -0.142 1.669  -0.222 1.625  -0.222 1.502  -0.222 1.378  -0.222 1.255  -0.222 1.132  -0.259 1.024  -0.346 0.937  -0.424 0.846  -0.424 0.723  -0.424 0.600  -0.424 0.476  -0.424 0.353  -0.424 0.230  -0.424 0.107  -0.471 0.003  -0.558 -0.084  -0.626 -0.179  -0.626 -0.302  -0.626 -0.425  -0.626 -0.549  -0.626 -0.672  -0.626 -0.795  -0.626 -0.918  -0.626 -0.884  -0.626 -0.760  -0.503 -0.760  -0.424 -0.716  -0.424 -0.593  -0.336 -0.558  -0.213 -0.558  -0.090 -0.558  -0.019 -0.505  -0.019 -0.382  0.078 -0.355  0.201 -0.355  0.324 -0.355  0.447 -0.355  0.570 -0.355  0.694 -0.355  0.817 -0.355  0.940 -0.355  1.063 -0.355  1.187 -0.355  1.310 -0.355  1.433 -0.355  1.556 -0.355  1.521 -0.355  1.398 -0.355
3#kai#kai2#swlee5/L  0.278 1.835  0.262 1.751  0.245 1.668  0.228 1.584  0.212 1.500  0.195 1.416  0.178 1.333  0.144 1.255  0.106 1.178  0.070 1.102  0.070 1.016  0.064 0.932  0.037 0.851  0.018 0.768  0.018 0.683  0.008 0.599  -0.012 0.516  -0.033 0.433  -0.060 0.352  -0.086 0.271  -0.086 0.186  -0.092 0.102  -0.124 0.022  -0.156 -0.057  -0.187 -0.136  -0.219 -0.216  -0.251 -0.295  -0.282 -0.374  -0.311 -0.454  -0.338 -0.535  -0.346 -0.620  -0.346 -0.705  -0.346 -0.790  -0.349 -0.875  -0.396 -0.946  -0.443 -1.017  -0.377 -1.027  -0.292 -1.027  -0.206 -1.027  -0.121 -1.027  -0.036 -1.027  0.050 -1.027  0.135 -1.027  0.221 -1.027  0.306 -1.027  0.389 -1.042  0.472 -1.063  0.548 -1.065  0.595 -0.994  0.643 -0.923
3#kai#kai2#swlee5/L  0.471 1.871  0.416 1.788  0.380 1.697  0.361 1.599  0.335 1.503  0.302 1.408  0.265 1.316  0.229 1.223  0.197 1.128  0.155 1.038  0.110 0.948  0.073 0.856  0.036 0.763  0.010 0.667  -0.021 0.573  -0.076 0.490  -0.132 0.407  -0.179 0.320  -0.211 0.225  -0.242 0.131  -0.274 0.036  -0.318 -0.053  -0.371 -0.137  -0.403 -0.231  -0.434 -0.326  -0.462 -0.422  -0.486 -0.519  -0.529 -0.609  -0.571 -0.699  -0.595 -0.796  -0.623 -0.892  -0.648 -0.947  -0.648 -0.847  -0.551 -0.823  -0.453 -0.807  -0.354 -0.807  -0.254 -0.807  -0.159 -0.778  -0.061 -0.767  0.037 -0.783  0.133 -0.807  0.232 -0.807  0.332 -0.807  0.432 -0.807  0.532 -0.807  0.632 -0.807  0.731 -0.807  0.831 -0.807  0.911 -0.787  0.911 -0.688
3#kai#kai2#swlee5/L  0.182 1.857  0.158 1.760  0.133 1.662  0.109 1.565  0.078 1.470  0.033 1.381  -0.012 1.291  -0.056 1.201  -0.087 1.108  -0.087 1.008  -0.118 0.913  -0.150 0.817  -0.181 0.722  -0.213 0.627  -0.239 0.530  -0.264 0.433  -0.295 0.338  -0.326 0.243  -0.358 0.148  -0.390 0.052  -0.422 -0.043  -0.453 -0.138  -0.485 -0.233  -0.517 -0.328  -0.548 -0.423  -0.580 -0.518  -0.612 -0.614  -0.657 -0.702  -0.713 -0.785  -0.618 -0.788  -0.518 -0.788  -0.418 -0.788  -0.317 -0.788  -0.218 -0.776  -0.121 -0.752  -0.022 -0.744  0.078 -0.744  0.179 -0.744  0.279 -0.744  0.379 -0.744  0.480 -0.744  0.580 -0.744  0.680 -0.744  0.780 -0.744  0.881 -0.744  0.981 -0.744  1.078 -0.741  1.046 -0.646  0.983 -0.575  0.899 -0.519
3#kai#kai2#swlee5/L  0.132 1.790  0.097 1.708  0.062 1.626  0.027 1.544  -0.010 1.462  -0.050 1.383  -0.087 1.301  -0.116 1.217  -0.144 1.132  -0.165 1.046  -0.165 0.957  -0.165 0.868  -0.184 0.784  -0.234 0.710  -0.269 0.629  -0.293 0.543  -0.293 0.454  -0.309 0.367  -0.330 0.280  -0.349 0.193  -0.366 0.105  -0.378 0.017  -0.378 -0.072  -0.378 -0.162  -0.378 -0.251  -0.389 -0.339  -0.411 -0.425  -0.420 -0.513  -0.420 -0.603  -0.420 -0.692  -0.420 -0.781  -0.394 -0.852  -0.309 -0.880  -0.221 -0.886  -0.132 -0.886  -0.042 -0.886  0.047 -0.886  0.136 -0.886  0.226 -0.886  0.315 -0.886  0.404 -0.886  0.493 -0.886  0.583 -0.886  0.672 -0.886  0.761 -0.886  0.850 -0.886  0.939 -0.885  0.967 -0.800  0.967 -0.716  0.939 -0.631
3#kai#kai2#swlee5/L  0.052 1.835  0.035 1.751  0.018 1.667  0.010 1.582  0.010 1.496  -0.006 1.413  -0.031 1.331  -0.031 1.245  -0.031 1.160  -0.049 1.077  -0.073 0.995  -0.073 0.909  -0.088 0.825  -0.112 0.743  -0.136 0.660  -0.158 0.577  -0.172 0.493  -0.186 0.408  -0.198 0.323  -0.198 0.237  -0.198 0.151  -0.198 0.066  -0.211 -0.019  -0.228 -0.103  -0.245 -0.187  -0.262 -0.272  -0.278 -0.356  -0.299 -0.439  -0.319 -0.522  -0.340 -0.606  -0.361 -0.689  -0.364 -0.774  -0.364 -0.860  -0.364 -0.946  -0.287 -0.976  -0.204 -0.992  -0.118 -0.992  -0.032 -0.992  0.054 -0.992  0.140 -0.992  0.226 -0.992  0.311 -0.992  0.397 -0.989  0.480 -0.968  0.564 -0.951  0.650 -0.951  0.732 -0.932  0.807 -0.896  0.845 -0.819  0.883 -0.743
3#kai#kai2#swlee5/L  -0.061 1.816  -0.080 1.737  -0.100 1.659  -0.105 1.578  -0.105 1.497  -0.105 1.416  -0.105 1.335  -0.105 1.254  -0.105 1.173  -0.105 1.092  -0.105 1.011  -0.105 0.930  -0.105 0.849  -0.105 0.768  -0.105 0.687  -0.105 0.606  -0.105 0.525  -0.105 0.444  -0.105 0.363  -0.105 0.282  -0.105 0.201  -0.105 0.120  -0.105 0.039  -0.105 -0.042  -0.105 -0.123  -0.121 -0.202  -0.147 -0.278  -0.150 -0.359  -0.150 -0.440  -0.152 -0.521  -0.168 -0.600  -0.183 -0.680  -0.202 -0.758  -0.228 -0.835  -0.240 -0.914  -0.240 -0.995  -0.181 -1.045  -0.114 -1.090  -0.034 -1.095  0.046 -1.090  0.123 -1.064  0.202 -1.051  0.283 -1.051  0.364 -1.051  0.445 -1.051  0.526 -1.051  0.605 -1.038  0.681 -1.012  0.758 -0.987  0.835 -0.961
3#kai#kai2#swlee5/L  -0.281 1.798  -0.281 1.708  -0.281 1.619  -0.281 1.530  -0.281 1.440  -0.281 1.351  -0.286 1.262  -0.303 1.174  -0.321 1.086  -0.337 0.999  -0.337 0.909  -0.337 0.820  -0.337 0.730  -0.337 0.641  -0.337 0.552  -0.337 0.462  -0.337 0.373  -0.337 0.283  -0.337 0.194  -0.337 0.105  -0.337 0.015  -0.337 -0.074  -0.337 -0.164  -0.337 -0.253  -0.337 -0.342  -0.337 -0.432  -0.337 -0.521  -0.337 -0.611  -0.337 -0.700  -0.327 -0.788  -0.299 -0.873  -0.248 -0.927  -0.159 -0.927  -0.074 -0.908  0.006 -0.869  0.086 -0.829  0.172 -0.813  0.261 -0.813  0.349 -0.798  0.436 -0.776  0.522 -0.754  0.609 -0.733  0.696 -0.711  0.783 -0.689  0.869 -0.668  0.956 -0.646  1.044 -0.630  1.132 -0.616  1.220 -0.601  1.309 -0.586
3#kai#kai2#swlee5/L  -0.177 1.822  -0.177 1.738  -0.177 1.653  -0.180 1.569  -0.196 1.486  -0.213 1.403  -0.224 1.320  -0.224 1.235  -0.224 1.151  -0.224 1.066  -0.224 0.982  -0.224 0.897  -0.224 0.813  -0.224 0.728  -0.224 0.644  -0.224 0.559  -0.224 0.474  -0.224 0.390  -0.224 0.305  -0.224 0.221  -0.224 0.136  -0.224 0.052  -0.224 -0.033  -0.224 -0.117  -0.224 -0.202  -0.224 -0.286  -0.224 -0.371  -0.212 -0.454  -0.192 -0.536  -0.177 -0.618  -0.177 -0.703  -0.176 -0.787  -0.150 -0.868  -0.129 -0.949  -0.129 -1.033  -0.085 -1.057  -0.005 -1.030  0.072 -0.995  0.147 -0.957  0.225 -0.929  0.310 -0.929  0.392 -0.914  0.472 -0.887  0.555 -0.882  0.640 -0.882  0.723 -0.870  0.805 -0.850  0.888 -0.834  0.972 -0.834  1.057 -0.834
3#kai#kai2#swlee5/L  -0.308 1.795  -0.308 1.705  -0.308 1.614  -0.308 1.524  -0.308 1.433  -0.308 1.343  -0.308 1.252  -0.308 1.161  -0.314 1.072  -0.332 0.983  -0.350 0.894  -0.361 0.805  -0.361 0.714  -0.361 0.624  -0.361 0.533  -0.361 0.443  -0.361 0.352  -0.361 0.262  -0.361 0.171  -0.361 0.080  -0.361 -0.010  -0.361 -0.101  -0.361 -0.191  -0.361 -0.282  -0.361 -0.372  -0.361 -0.463  -0.349 -0.552  -0.331 -0.641  -0.313 -0.729  -0.308 -0.819  -0.308 -0.910  -0.225 -0.917  -0.134 -0.917  -0.049 -0.894  0.032 -0.854  0.113 -0.813  0.197 -0.779  0.281 -0.746  0.365 -0.712  0.454 -0.705  0.545 -0.705  0.634 -0.697  0.723 -0.679  0.812 -0.661  0.901 -0.645  0.990 -0.630  1.079 -0.615  1.169 -0.600  1.255 -0.574  1.341 -0.545
1b#ibm#ibm0#r0411/L  -0.197 1.473  -0.197 1.565  -0.265 1.589  -0.269 1.589  -0.188 1.571  -0.147 1.489  -0.106 1.406  -0.081 1.320  -0.081 1.228  -0.081 1.136  -0.081 1.044  -0.081 0.952  -0.081 0.860  -0.081 0.768  -0.081 0.676  -0.100 0.586  -0.122 0.497  -0.144 0.408  -0.167 0.318  -0.189 0.229  -0.197 0.138  -0.197 0.046  -0.197 -0.046  -0.197 -0.138  -0.216 -0.228  -0.239 -0.317  -0.261 -0.406  -0.283 -0.496  -0.306 -0.585  -0.313 -0.676  -0.313 -0.768  -0.313 -0.860  -0.313 -0.952  -0.313 -1.044  -0.258 -1.061  -0.171 -1.031  -0.084 -1.002  0.004 -0.973  0.088 -0.936  0.170 -0.895  0.252 -0.854  0.343 -0.847  0.435 -0.847  0.527 -0.847  0.619 -0.847  0.711 -0.847  0.803 -0.847  0.895 -0.847  0.987 -0.847  1.079 -0.847
1b#ibm#ibm0#r0411/L  0.011 1.523  0.011 1.628  0.011 1.732  0.011 1.668  0.011 1.563  -0.018 1.466  -0.064 1.372  -0.103 1.277  -0.103 1.173  -0.103 1.069  -0.103 0.964  -0.103 0.860  -0.133 0.762  -0.172 0.665  -0.211 0.568  -0.250 0.471  -0.288 0.374  -0.327 0.277  -0.332 0.174  -0.332 0.070  -0.332 -0.035  -0.332 -0.139  -0.344 -0.242  -0.370 -0.343  -0.395 -0.444  -0.420 -0.545  -0.446 -0.647  -0.446 -0.751  -0.446 -0.855  -0.446 -0.959  -0.446 -1.064  -0.446 -1.043  -0.409 -0.954  -0.335 -0.880  -0.237 -0.845  -0.138 -0.812  -0.039 -0.779  0.062 -0.763  0.167 -0.763  0.271 -0.763  0.373 -0.753  0.466 -0.707  0.560 -0.660  0.657 -0.624  0.756 -0.591  0.855 -0.558  0.955 -0.534  1.060 -0.534  1.164 -0.534  1.268 -0.534
1b#ibm#ibm0#r0411/L  -0.033 1.662  -0.136 1.662  -0.164 1.586  -0.164 1.483  -0.164 1.380  -0.164 1.276  -0.164 1.173  -0.164 1.070  -0.181 0.971  -0.227 0.878  -0.274 0.786  -0.313 0.690  -0.345 0.592  -0.378 0.494  -0.411 0.396  -0.443 0.298  -0.476 0.200  -0.509 0.102  -0.541 0.004  -0.574 -0.094  -0.607 -0.192  -0.639 -0.290  -0.672 -0.388  -0.690 -0.488  -0.690 -0.591  -0.690 -0.695  -0.690 -0.798  -0.624 -0.835  -0.525 -0.818  -0.432 -0.772  -0.340 -0.726  -0.242 -0.704  -0.140 -0.696  -0.042 -0.663  0.056 -0.630  0.154 -0.598  0.252 -0.565  0.350 -0.532  0.448 -0.500  0.546 -0.467  0.645 -0.441  0.749 -0.441  0.852 -0.441  0.955 -0.441  1.059 -0.441  1.162 -0.441  1.265 -0.441  1.359 -0.480  1.452 -0.526  1.544 -0.572
1b#ibm#ibm0#r0411/L  -0.238 1.634  -0.238 1.735  -0.238 1.653  -0.238 1.552  -0.238 1.451  -0.238 1.350  -0.249 1.250  -0.268 1.151  -0.288 1.052  -0.308 0.953  -0.328 0.854  -0.348 0.755  -0.367 0.656  -0.387 0.557  -0.407 0.458  -0.427 0.359  -0.447 0.260  -0.459 0.160  -0.459 0.059  -0.459 -0.042  -0.459 -0.143  -0.459 -0.244  -0.459 -0.345  -0.459 -0.446  -0.459 -0.547  -0.459 -0.648  -0.459 -0.749  -0.459 -0.849  -0.459 -0.856  -0.421 -0.793  -0.328 -0.772  -0.257 -0.701  -0.163 -0.682  -0.062 -0.682  0.033 -0.657  0.123 -0.612  0.214 -0.572  0.315 -0.572  0.416 -0.572  0.517 -0.572  0.618 -0.572  0.719 -0.572  0.820 -0.572  0.921 -0.572  1.022 -0.572  1.123 -0.572  1.224 -0.572  1.306 -0.591  1.306 -0.673  1.306 -0.572
1b#ibm#ibm0#r0411/L  -0.181 1.347  -0.252 1.417  -0.283 1.504  -0.283 1.603  -0.283 1.599  -0.283 1.500  -0.283 1.401  -0.283 1.302  -0.283 1.203  -0.283 1.104  -0.283 1.005  -0.283 0.905  -0.283 0.806  -0.283 0.707  -0.283 0.608  -0.283 0.509  -0.288 0.410  -0.307 0.313  -0.327 0.216  -0.346 0.119  -0.366 0.022  -0.384 -0.076  -0.384 -0.175  -0.384 -0.274  -0.384 -0.373  -0.384 -0.472  -0.384 -0.571  -0.341 -0.660  -0.296 -0.749  -0.283 -0.845  -0.283 -0.944  -0.283 -0.914  -0.223 -0.857  -0.129 -0.826  -0.035 -0.795  0.061 -0.776  0.160 -0.776  0.259 -0.776  0.358 -0.776  0.458 -0.776  0.556 -0.769  0.652 -0.745  0.748 -0.721  0.844 -0.697  0.941 -0.675  1.032 -0.683  1.032 -0.770  1.032 -0.679  1.032 -0.774  1.032 -0.675
1b#ibm#ibm0#r0411/L  -0.227 1.666  -0.227 1.765  -0.227 1.713  -0.227 1.614  -0.227 1.515  -0.227 1.416  -0.227 1.317  -0.227 1.218  -0.227 1.118  -0.227 1.019  -0.227 0.920  -0.227 0.821  -0.227 0.722  -0.227 0.623  -0.227 0.523  -0.230 0.425  -0.254 0.328  -0.278 0.232  -0.302 0.136  -0.326 0.040  -0.350 -0.056  -0.350 -0.156  -0.350 -0.255  -0.350 -0.354  -0.350 -0.453  -0.352 -0.552  -0.397 -0.640  -0.441 -0.729  -0.473 -0.821  -0.469 -0.916  -0.370 -0.916  -0.350 -0.837  -0.297 -0.776  -0.203 -0.744  -0.109 -0.713  -0.015 -0.682  0.082 -0.670  0.181 -0.670  0.280 -0.670  0.380 -0.670  0.479 -0.670  0.578 -0.670  0.677 -0.670  0.776 -0.670  0.875 -0.670  0.975 -0.670  1.074 -0.670  1.173 -0.670  1.248 -0.694  1.248 -0.793
1b#ibm#ibm0#r0411/L  0.066 1.796  -0.036 1.796  -0.086 1.743  -0.086 1.641  -0.086 1.538  -0.086 1.435  -0.086 1.333  -0.086 1.230  -0.086 1.127  -0.089 1.025  -0.121 0.928  -0.154 0.830  -0.186 0.733  -0.219 0.636  -0.239 0.536  -0.239 0.434  -0.239 0.331  -0.239 0.228  -0.239 0.126  -0.281 0.033  -0.327 -0.059  -0.373 -0.150  -0.391 -0.249  -0.391 -0.351  -0.391 -0.454  -0.391 -0.557  -0.391 -0.659  -0.391 -0.762  -0.391 -0.865  -0.409 -0.949  -0.512 -0.949  -0.473 -0.949  -0.377 -0.935  -0.304 -0.862  -0.229 -0.794  -0.132 -0.761  -0.034 -0.729  0.063 -0.696  0.161 -0.664  0.260 -0.644  0.363 -0.644  0.465 -0.644  0.568 -0.644  0.671 -0.644  0.773 -0.644  0.876 -0.644  0.978 -0.644  1.081 -0.644  1.184 -0.644  1.286 -0.644
