1b#ced#cypl9614_s_jd/F  -0.327 0.775  -0.228 0.991  -0.195 1.180  -0.161 0.935  -0.124 0.690  -0.096 0.442  -0.058 0.195  -0.033 -0.054  -0.030 -0.304  -0.030 -0.555  -0.030 -0.805  -0.063 -1.053  -0.085 -1.302  -0.101 -1.551  -0.129 -1.798  -0.167 -1.880  -0.183 -1.630  -0.199 -1.380  -0.214 -1.130  -0.230 -0.880  -0.245 -0.630  -0.261 -0.380  -0.277 -0.130  -0.292 0.120  -0.308 0.370  -0.324 0.620  -0.426 0.841  -0.586 1.030  -0.622 1.171  -0.380 1.204  -0.131 1.220  0.117 1.237  0.368 1.237  0.618 1.241  0.866 1.270  0.837 1.101  0.719 0.880  0.602 0.659  0.485 0.437  0.368 0.216  0.209 0.025  0.017 -0.134  -0.189 -0.276  -0.316 -0.488  -0.307 -0.623  -0.070 -0.642  0.180 -0.642  0.430 -0.636  0.678 -0.609  0.926 -0.576
1b#ibm#ibm0#r0414/F  -0.579 0.694  -0.566 0.492  -0.419 0.345  -0.390 0.149  -0.390 -0.058  -0.390 -0.266  -0.375 -0.470  -0.282 -0.656  -0.201 -0.844  -0.201 -1.052  -0.201 -1.260  -0.201 -1.467  -0.201 -1.675  -0.226 -1.646  -0.270 -1.443  -0.313 -1.240  -0.357 -1.037  -0.400 -0.834  -0.444 -0.631  -0.487 -0.428  -0.531 -0.225  -0.574 -0.022  -0.618 0.181  -0.661 0.384  -0.705 0.587  -0.748 0.791  -0.655 0.883  -0.448 0.883  -0.256 0.950  -0.070 1.043  0.131 1.072  0.339 1.072  0.546 1.072  0.754 1.072  0.962 1.072  1.169 1.072  1.268 1.023  1.131 0.867  0.995 0.710  0.858 0.554  0.721 0.398  0.584 0.241  0.447 0.085  0.311 -0.071  0.174 -0.228  0.037 -0.384  0.121 -0.440  0.329 -0.440  0.537 -0.440  0.744 -0.440
1b#ibm#ibm0#r0414/F  -0.609 1.110  -0.602 0.871  -0.495 0.656  -0.387 0.441  -0.384 0.202  -0.384 -0.038  -0.384 -0.278  -0.384 -0.519  -0.354 -0.752  -0.246 -0.967  -0.159 -1.186  -0.159 -1.426  -0.159 -1.667  -0.182 -1.731  -0.245 -1.499  -0.308 -1.268  -0.372 -1.036  -0.435 -0.804  -0.498 -0.572  -0.561 -0.341  -0.625 -0.109  -0.688 0.123  -0.751 0.355  -0.814 0.587  -0.718 0.776  -0.522 0.885  -0.282 0.885  -0.042 0.885  0.198 0.885  0.439 0.885  0.679 0.885  0.900 0.964  1.115 1.071  1.346 1.110  1.291 0.999  1.110 0.840  0.929 0.682  0.748 0.524  0.567 0.366  0.387 0.208  0.206 0.049  0.025 -0.109  -0.156 -0.267  -0.337 -0.425  -0.206 -0.466  0.034 -0.466  0.268 -0.416  0.501 -0.358  0.734 -0.300  0.967 -0.241
1b#ibm#ibm0#r0414/F  -0.409 0.950  -0.409 0.746  -0.409 0.542  -0.409 0.337  -0.409 0.133  -0.409 -0.071  -0.409 -0.276  -0.409 -0.480  -0.409 -0.684  -0.409 -0.889  -0.409 -1.093  -0.409 -1.297  -0.409 -1.502  -0.409 -1.706  -0.409 -1.690  -0.409 -1.486  -0.409 -1.281  -0.409 -1.077  -0.409 -0.873  -0.409 -0.668  -0.409 -0.464  -0.409 -0.260  -0.409 -0.055  -0.409 0.149  -0.409 0.353  -0.409 0.558  -0.403 0.760  -0.259 0.904  -0.073 0.950  0.131 0.950  0.335 0.950  0.540 0.950  0.726 1.027  0.909 1.118  1.106 1.147  1.311 1.147  1.249 1.037  1.105 0.892  0.960 0.748  0.816 0.603  0.671 0.459  0.527 0.314  0.382 0.170  0.238 0.025  0.093 -0.119  -0.051 -0.264  -0.196 -0.408  -0.032 -0.425  0.173 -0.425  0.377 -0.425
1b#ibm#ibm0#r0414/F  -0.698 0.544  -0.698 0.320  -0.698 0.096  -0.678 -0.124  -0.608 -0.337  -0.537 -0.549  -0.495 -0.766  -0.495 -0.990  -0.495 -1.214  -0.495 -1.437  -0.495 -1.312  -0.517 -1.090  -0.541 -0.867  -0.566 -0.645  -0.591 -0.422  -0.615 -0.200  -0.640 0.023  -0.665 0.245  -0.690 0.468  -0.594 0.648  -0.411 0.747  -0.188 0.747  0.036 0.747  0.252 0.793  0.465 0.864  0.677 0.935  0.898 0.950  1.122 0.950  1.332 0.964  1.367 1.153  1.493 1.118  1.320 0.976  1.146 0.835  0.973 0.693  0.800 0.551  0.627 0.410  0.454 0.268  0.280 0.126  0.107 -0.016  -0.066 -0.157  -0.239 -0.299  -0.412 -0.441  -0.586 -0.583  -0.620 -0.674  -0.396 -0.674  -0.172 -0.674  0.052 -0.674  0.276 -0.674  0.499 -0.674  0.723 -0.674
1b#ibm#ibm0#r0414/F  -0.698 0.941  -0.602 0.734  -0.534 0.514  -0.514 0.286  -0.486 0.057  -0.457 -0.171  -0.428 -0.400  -0.393 -0.627  -0.357 -0.855  -0.326 -1.083  -0.307 -1.312  -0.307 -1.543  -0.308 -1.756  -0.346 -1.529  -0.383 -1.302  -0.421 -1.074  -0.458 -0.847  -0.496 -0.620  -0.533 -0.393  -0.571 -0.165  -0.608 0.062  -0.646 0.289  -0.683 0.517  -0.720 0.744  -0.560 0.858  -0.332 0.893  -0.105 0.930  0.123 0.967  0.352 0.983  0.582 0.995  0.811 1.023  1.038 1.062  1.265 1.102  1.290 1.042  1.120 0.887  0.949 0.732  0.779 0.576  0.609 0.421  0.439 0.266  0.269 0.111  0.099 -0.045  -0.072 -0.200  -0.242 -0.355  -0.235 -0.442  -0.004 -0.442  0.225 -0.430  0.455 -0.409  0.682 -0.370  0.909 -0.331  1.136 -0.291
1b#ibm#ibm0#r0414/F  -0.357 1.652  -0.333 1.587  -0.309 1.522  -0.284 1.457  -0.260 1.392  -0.235 1.327  -0.211 1.262  -0.186 1.197  -0.162 1.132  -0.138 1.067  -0.113 1.002  -0.089 0.937  -0.077 0.868  -0.070 0.799  -0.063 0.730  -0.056 0.661  -0.049 0.592  -0.042 0.523  -0.035 0.453  -0.028 0.384  -0.020 0.315  -0.013 0.246  -0.006 0.177  0.001 0.108  0.008 0.039  0.015 -0.031  0.022 -0.100  0.029 -0.169  0.036 -0.238  0.043 -0.307  0.051 -0.376  0.060 -0.445  0.071 -0.514  0.082 -0.582  0.093 -0.651  0.103 -0.720  0.114 -0.788  0.125 -0.857  0.136 -0.926  0.147 -0.994  0.158 -1.063  0.168 -1.132  0.179 -1.200  0.190 -1.269  0.198 -1.338  0.206 -1.407  0.214 -1.476  0.221 -1.545  0.229 -1.614  0.237 -1.684
1b#ibm#ibm0#r0414/F  -1.667 -0.318  -1.600 -0.302  -1.532 -0.286  -1.465 -0.270  -1.397 -0.254  -1.330 -0.238  -1.262 -0.222  -1.195 -0.206  -1.127 -0.190  -1.059 -0.174  -0.992 -0.158  -0.924 -0.143  -0.857 -0.127  -0.789 -0.111  -0.722 -0.095  -0.654 -0.079  -0.586 -0.063  -0.519 -0.047  -0.451 -0.031  -0.383 -0.020  -0.314 -0.008  -0.246 0.003  -0.177 0.015  -0.109 0.026  -0.040 0.037  0.028 0.049  0.097 0.060  0.165 0.071  0.234 0.083  0.302 0.094  0.370 0.106  0.439 0.113  0.509 0.117  0.578 0.121  0.647 0.124  0.717 0.128  0.786 0.132  0.855 0.136  0.925 0.140  0.994 0.143  1.063 0.147  1.133 0.151  1.202 0.155  1.271 0.159  1.341 0.162  1.410 0.166  1.479 0.170  1.548 0.174  1.618 0.178  1.687 0.181
3#kai#kai1#ktum5/F  -0.717 0.822  -0.543 0.822  -0.369 0.822  -0.195 0.822  -0.021 0.822  0.153 0.822  0.321 0.787  0.495 0.787  0.669 0.787  0.843 0.787  1.011 0.822  1.185 0.822  1.055 0.801  0.885 0.790  0.711 0.794  0.537 0.797  0.363 0.801  0.189 0.805  0.015 0.808  -0.159 0.812  -0.333 0.816  -0.507 0.819  -0.645 0.787  -0.621 0.616  -0.604 0.445  -0.552 0.280  -0.490 0.118  -0.456 -0.052  -0.416 -0.221  -0.395 -0.392  -0.361 -0.560  -0.352 -0.733  -0.325 -0.902  -0.325 -1.076  -0.325 -1.250  -0.312 -1.422  -0.290 -1.592  -0.290 -1.641  -0.252 -1.476  -0.226 -1.304  -0.201 -1.132  -0.175 -0.960  -0.150 -0.788  -0.124 -0.616  -0.039 -0.578  0.124 -0.633  0.292 -0.672  0.466 -0.672  0.639 -0.672  0.813 -0.672
3#kai#kai1#ktum5/F  -0.607 1.032  -0.467 0.939  -0.316 0.882  -0.148 0.882  0.020 0.882  0.188 0.889  0.353 0.916  0.521 0.919  0.689 0.919  0.852 0.954  1.019 0.957  0.907 0.950  0.739 0.941  0.571 0.932  0.403 0.924  0.236 0.915  0.068 0.906  -0.100 0.898  -0.268 0.889  -0.419 0.864  -0.419 0.696  -0.441 0.531  -0.456 0.365  -0.456 0.197  -0.456 0.029  -0.456 -0.139  -0.456 -0.307  -0.456 -0.475  -0.445 -0.642  -0.419 -0.808  -0.419 -0.976  -0.419 -1.144  -0.403 -1.309  -0.381 -1.474  -0.344 -1.562  -0.306 -1.403  -0.314 -1.235  -0.321 -1.067  -0.328 -0.899  -0.336 -0.731  -0.343 -0.563  -0.208 -0.614  -0.042 -0.622  0.126 -0.622  0.294 -0.622  0.461 -0.617  0.624 -0.584  0.792 -0.584  0.960 -0.584  1.122 -0.622
1b#apa#apa13#app1327/F  -0.576 0.712  -0.469 0.571  -0.469 0.321  -0.423 0.083  -0.361 -0.152  -0.361 -0.401  -0.361 -0.651  -0.361 -0.900  -0.361 -1.149  -0.361 -1.399  -0.361 -1.648  -0.443 -1.437  -0.529 -1.203  -0.615 -0.969  -0.702 -0.735  -0.788 -0.501  -0.874 -0.267  -0.960 -0.033  -1.046 0.201  -1.081 0.423  -0.862 0.496  -0.634 0.547  -0.408 0.604  -0.168 0.646  0.065 0.712  0.300 0.773  0.539 0.820  0.788 0.820  1.015 0.915  1.261 0.928  1.511 0.928  1.624 0.893  1.405 0.774  1.187 0.654  0.968 0.535  0.749 0.416  0.530 0.296  0.311 0.177  0.092 0.057  -0.127 -0.062  -0.346 -0.181  -0.565 -0.301  -0.571 -0.366  -0.322 -0.366  -0.092 -0.285  0.151 -0.258  0.401 -0.258  0.650 -0.258  0.899 -0.258  1.149 -0.258
1b#apa#apa15#app1503/F  -0.914 0.328  -0.914 0.070  -0.879 -0.184  -0.816 -0.435  -0.754 -0.686  -0.729 -0.941  -0.729 -1.200  -0.729 -1.458  -0.595 -1.394  -0.413 -1.212  -0.230 -1.029  -0.047 -0.846  0.136 -0.663  0.319 -0.481  0.501 -0.298  0.684 -0.115  0.867 0.068  1.050 0.251  1.233 0.433  1.415 0.616  1.499 0.840  1.285 0.885  1.027 0.885  0.768 0.885  0.510 0.885  0.251 0.885  -0.007 0.885  -0.263 0.862  -0.514 0.800  -0.765 0.737  -0.988 0.626  -1.003 0.490  -0.752 0.427  -0.501 0.364  -0.251 0.301  0.000 0.239  0.251 0.176  0.502 0.113  0.752 0.051  1.003 -0.012  1.011 -0.101  0.779 -0.217  0.524 -0.229  0.265 -0.229  0.007 -0.229  -0.252 -0.229  -0.510 -0.229  -0.769 -0.229  -1.027 -0.229  -1.286 -0.229
2#apa#apa09#app0960/F  0.175 -0.028  -0.030 0.075  -0.236 0.178  -0.236 -0.052  -0.236 -0.282  -0.236 -0.512  -0.236 -0.742  -0.236 -0.973  -0.236 -1.203  -0.236 -1.433  -0.373 -1.606  -0.442 -1.544  -0.442 -1.314  -0.442 -1.084  -0.442 -0.854  -0.442 -0.624  -0.442 -0.394  -0.442 -0.164  -0.442 0.067  -0.442 0.297  -0.442 0.527  -0.442 0.757  -0.307 0.931  -0.120 1.060  0.086 1.163  0.299 1.249  0.517 1.321  0.735 1.394  0.962 1.414  1.136 1.277  1.337 1.208  1.295 1.103  1.124 0.949  0.953 0.795  0.782 0.641  0.611 0.487  0.440 0.333  0.269 0.180  0.098 0.026  -0.073 -0.128  -0.244 -0.282  -0.415 -0.436  -0.586 -0.590  -0.752 -0.543  -0.769 -0.440  -0.539 -0.440  -0.309 -0.440  -0.079 -0.440  0.151 -0.440  0.381 -0.440
3#apb#apb16#app1611/F  0.058 0.795  -0.065 0.772  -0.170 0.554  -0.253 0.328  -0.268 0.086  -0.268 -0.156  -0.268 -0.399  -0.268 -0.641  -0.278 -0.883  -0.302 -1.125  -0.329 -1.366  -0.360 -1.606  -0.402 -1.845  -0.448 -1.982  -0.430 -1.741  -0.416 -1.499  -0.416 -1.256  -0.396 -1.015  -0.368 -0.774  -0.338 -0.533  -0.308 -0.292  -0.278 -0.052  -0.278 0.190  -0.292 0.432  -0.315 0.673  -0.350 0.913  -0.408 1.148  -0.517 1.347  -0.409 1.214  -0.202 1.097  0.029 1.024  0.265 0.969  0.504 0.930  0.744 0.893  0.978 0.832  1.162 0.683  1.083 0.560  0.850 0.492  0.617 0.424  0.384 0.357  0.151 0.289  -0.082 0.222  -0.315 0.154  -0.289 0.072  -0.052 0.054  0.187 0.027  0.425 -0.017  0.663 -0.064  0.900 -0.117  1.137 -0.169
2#apa#apa14#app1443/F  -0.293 0.559  -0.487 0.520  -0.372 0.289  -0.293 0.051  -0.293 -0.207  -0.293 -0.464  -0.293 -0.721  -0.212 -0.966  -0.131 -1.210  -0.079 -1.459  -0.079 -1.716  -0.131 -1.621  -0.205 -1.374  -0.279 -1.128  -0.353 -0.881  -0.427 -0.635  -0.501 -0.388  -0.575 -0.142  -0.648 0.105  -0.727 0.345  -0.934 0.395  -0.868 0.625  -0.677 0.794  -0.447 0.909  -0.217 1.024  0.014 1.139  0.244 1.255  0.474 1.370  0.721 1.414  0.978 1.414  0.849 1.212  0.702 1.002  0.554 0.791  0.406 0.580  0.259 0.369  0.111 0.158  -0.036 -0.053  -0.184 -0.263  -0.332 -0.474  -0.479 -0.685  -0.507 -0.515  -0.254 -0.511  -0.021 -0.452  0.171 -0.285  0.415 -0.203  0.659 -0.122  0.910 -0.083  1.148 -0.004  1.379 0.111  1.631 0.131
2#tos#f3#f3026061/F  -0.806 1.040  -0.773 0.967  -0.623 1.040  -0.443 1.045  -0.266 1.075  -0.085 1.077  0.085 1.118  0.258 1.151  0.438 1.151  0.495 1.151  0.315 1.151  0.140 1.139  0.041 1.021  -0.048 0.877  -0.132 0.725  -0.143 0.548  -0.169 0.375  -0.217 0.209  -0.307 0.066  -0.364 -0.090  -0.383 -0.268  -0.425 -0.443  -0.438 -0.622  -0.487 -0.790  -0.536 -0.963  -0.548 -1.142  -0.548 -1.322  -0.548 -1.502  -0.543 -1.616  -0.512 -1.438  -0.481 -1.260  -0.451 -1.083  -0.420 -0.905  -0.389 -0.727  -0.342 -0.558  -0.176 -0.507  -0.077 -0.400  0.087 -0.329  0.249 -0.253  0.429 -0.249  0.605 -0.238  0.759 -0.175  0.880 -0.051  0.994 0.089  1.109 0.229  1.036 0.272  1.021 0.096  0.962 -0.066  0.889 -0.216  0.889 -0.396
3#apa#apa09#app0971/F  -0.220 -0.053  -0.314 0.134  -0.396 0.274  -0.396 0.065  -0.396 -0.144  -0.396 -0.352  -0.396 -0.561  -0.456 -0.760  -0.522 -0.958  -0.572 -1.159  -0.572 -1.368  -0.572 -1.576  -0.572 -1.785  -0.442 -1.681  -0.396 -1.491  -0.396 -1.282  -0.396 -1.074  -0.396 -0.865  -0.396 -0.656  -0.396 -0.447  -0.396 -0.239  -0.348 -0.036  -0.297 0.167  -0.247 0.369  -0.175 0.564  -0.082 0.751  0.044 0.914  0.191 1.062  0.350 1.192  0.548 1.258  0.746 1.324  0.950 1.353  1.159 1.353  1.049 1.232  0.893 1.093  0.737 0.955  0.581 0.816  0.425 0.677  0.269 0.539  0.113 0.400  -0.043 0.261  -0.199 0.122  -0.355 -0.016  -0.243 -0.053  -0.034 -0.053  0.175 -0.053  0.384 -0.053  0.592 -0.053  0.801 -0.053  1.010 -0.053
2#app#app06#app0629/F  -0.256 0.483  -0.316 0.538  -0.252 0.356  -0.196 0.161  -0.142 -0.038  -0.076 -0.235  -0.011 -0.433  0.065 -0.625  0.167 -0.803  0.201 -1.008  0.260 -1.205  0.353 -1.391  0.419 -1.583  0.501 -1.765  0.464 -1.733  0.355 -1.559  0.248 -1.387  0.182 -1.190  0.083 -1.010  -0.018 -0.828  -0.095 -0.637  -0.158 -0.440  -0.270 -0.265  -0.363 -0.079  -0.461 0.104  -0.572 0.279  -0.673 0.453  -0.733 0.636  -0.733 0.844  -0.733 1.051  -0.648 1.224  -0.525 1.346  -0.330 1.377  -0.122 1.377  0.086 1.377  0.294 1.377  0.501 1.377  0.526 1.258  0.443 1.067  0.359 0.877  0.275 0.687  0.191 0.496  0.108 0.306  0.024 0.116  -0.060 -0.074  -0.045 -0.265  0.147 -0.270  0.321 -0.173  0.515 -0.114  0.698 -0.054
1b#apb#apb32#app3255/F  -0.605 0.336  -0.582 0.570  -0.566 0.691  -0.534 0.456  -0.523 0.217  -0.520 -0.022  -0.521 -0.261  -0.538 -0.499  -0.548 -0.738  -0.548 -0.977  -0.547 -1.216  -0.518 -1.450  -0.440 -1.293  -0.513 -1.069  -0.596 -0.845  -0.679 -0.621  -0.763 -0.397  -0.846 -0.173  -0.929 0.051  -1.013 0.275  -0.861 0.405  -0.637 0.489  -0.405 0.545  -0.172 0.595  0.064 0.634  0.301 0.663  0.538 0.693  0.772 0.742  1.006 0.791  1.244 0.815  1.482 0.836  1.721 0.847  1.778 0.797  1.573 0.674  1.368 0.551  1.163 0.428  0.958 0.305  0.753 0.182  0.548 0.060  0.343 -0.063  0.138 -0.186  -0.067 -0.309  -0.272 -0.432  -0.477 -0.554  -0.647 -0.615  -0.440 -0.498  -0.211 -0.436  0.023 -0.389  0.255 -0.331  0.487 -0.273
3#app#app18#app1853/F  -0.212 0.382  -0.212 0.170  -0.212 -0.042  -0.212 -0.253  -0.212 -0.465  -0.212 -0.677  -0.212 -0.888  -0.212 -1.100  -0.346 -1.256  -0.427 -1.434  -0.427 -1.646  -0.427 -1.677  -0.427 -1.465  -0.427 -1.253  -0.427 -1.042  -0.427 -0.830  -0.427 -0.619  -0.477 -0.428  -0.627 -0.278  -0.642 -0.073  -0.642 0.139  -0.642 0.351  -0.642 0.562  -0.642 0.774  -0.468 0.811  -0.427 0.982  -0.259 1.026  -0.212 1.191  -0.051 1.241  0.161 1.241  0.372 1.241  0.584 1.241  0.796 1.241  1.007 1.241  1.002 1.121  0.890 0.941  0.778 0.762  0.665 0.582  0.553 0.403  0.441 0.224  0.329 0.044  0.217 -0.135  0.105 -0.315  0.003 -0.458  0.019 -0.263  0.231 -0.263  0.442 -0.263  0.654 -0.263  0.865 -0.263  1.077 -0.263
2#aga#dawnmrsh/F  1.190 1.330  1.133 1.241  0.986 1.170  0.824 1.138  0.662 1.102  0.499 1.073  0.337 1.039  0.172 1.028  0.007 1.020  -0.156 1.000  -0.319 1.011  -0.467 1.078  -0.575 1.182  -0.568 1.070  -0.540 0.909  -0.524 0.745  -0.504 0.581  -0.476 0.418  -0.446 0.255  -0.430 0.090  -0.430 -0.076  -0.430 -0.242  -0.435 -0.407  -0.458 -0.571  -0.458 -0.736  -0.475 -0.901  -0.485 -1.066  -0.527 -1.224  -0.550 -1.377  -0.582 -1.424  -0.482 -1.304  -0.356 -1.195  -0.231 -1.087  -0.105 -0.979  0.021 -0.871  0.147 -0.763  0.272 -0.655  0.398 -0.547  0.524 -0.439  0.649 -0.331  0.775 -0.222  0.888 -0.143  0.765 -0.215  0.600 -0.227  0.436 -0.249  0.272 -0.235  0.107 -0.222  -0.059 -0.222  -0.222 -0.246  -0.376 -0.304
2#aga#dawnmrsh/F  1.412 0.918  1.405 0.958  1.247 0.967  1.088 0.969  0.932 0.997  0.774 1.007  0.615 1.013  0.458 1.033  0.299 1.041  0.140 1.045  -0.017 1.057  -0.172 1.089  -0.330 1.108  -0.488 1.121  -0.525 1.014  -0.525 0.855  -0.505 0.698  -0.487 0.540  -0.487 0.381  -0.487 0.223  -0.487 0.064  -0.487 -0.095  -0.487 -0.254  -0.487 -0.413  -0.506 -0.571  -0.513 -0.729  -0.540 -0.885  -0.576 -1.038  -0.602 -1.193  -0.614 -1.350  -0.580 -1.343  -0.456 -1.244  -0.331 -1.144  -0.207 -1.045  -0.083 -0.946  0.041 -0.847  0.165 -0.747  0.289 -0.648  0.413 -0.549  0.537 -0.450  0.661 -0.350  0.684 -0.305  0.530 -0.267  0.371 -0.259  0.213 -0.259  0.054 -0.259  -0.104 -0.244  -0.262 -0.234  -0.417 -0.208  -0.563 -0.221
2#aga#dawnmrsh/F  1.393 1.097  1.252 1.125  1.105 1.129  0.959 1.144  0.812 1.156  0.665 1.170  0.520 1.193  0.373 1.193  0.226 1.183  0.079 1.180  -0.068 1.177  -0.215 1.166  -0.353 1.125  -0.434 1.014  -0.487 0.881  -0.487 0.734  -0.487 0.587  -0.487 0.440  -0.487 0.292  -0.466 0.148  -0.446 0.004  -0.433 -0.142  -0.419 -0.289  -0.419 -0.436  -0.419 -0.583  -0.446 -0.727  -0.446 -0.874  -0.446 -1.021  -0.460 -1.167  -0.499 -1.302  -0.439 -1.305  -0.328 -1.207  -0.218 -1.110  -0.108 -1.012  0.003 -0.915  0.113 -0.818  0.224 -0.720  0.334 -0.623  0.445 -0.525  0.555 -0.428  0.665 -0.330  0.561 -0.354  0.414 -0.364  0.269 -0.386  0.122 -0.399  -0.024 -0.410  -0.172 -0.412  -0.319 -0.412  -0.465 -0.425  -0.611 -0.440
2#aga#dawnmrsh/F  1.141 1.204  1.020 1.167  0.869 1.155  0.718 1.155  0.567 1.155  0.416 1.155  0.264 1.155  0.113 1.155  -0.038 1.155  -0.189 1.155  -0.341 1.155  -0.488 1.178  -0.626 1.163  -0.618 1.029  -0.606 0.880  -0.593 0.730  -0.571 0.580  -0.556 0.431  -0.539 0.281  -0.512 0.132  -0.486 -0.017  -0.459 -0.166  -0.445 -0.316  -0.441 -0.467  -0.408 -0.615  -0.394 -0.764  -0.369 -0.912  -0.360 -1.063  -0.356 -1.214  -0.356 -1.365  -0.366 -1.330  -0.248 -1.236  -0.131 -1.141  -0.013 -1.046  0.105 -0.951  0.223 -0.856  0.341 -0.761  0.458 -0.666  0.576 -0.571  0.694 -0.476  0.812 -0.381  0.842 -0.317  0.696 -0.342  0.545 -0.342  0.394 -0.342  0.243 -0.341  0.092 -0.325  -0.056 -0.298  -0.206 -0.278  -0.356 -0.268
3#app#app07#app0705/F  0.050 0.731  0.050 0.532  0.047 0.335  -0.042 0.157  -0.087 -0.031  -0.144 -0.216  -0.162 -0.412  -0.211 -0.605  -0.291 -0.779  -0.339 -0.958  -0.339 -1.156  -0.339 -1.355  -0.339 -1.554  -0.339 -1.752  -0.376 -1.654  -0.424 -1.462  -0.472 -1.269  -0.520 -1.076  -0.568 -0.884  -0.616 -0.691  -0.664 -0.498  -0.713 -0.306  -0.761 -0.113  -0.809 0.080  -0.734 0.238  -0.608 0.388  -0.504 0.551  -0.329 0.644  -0.189 0.784  -0.048 0.924  0.129 1.014  0.307 1.103  0.484 1.191  0.662 1.280  0.852 1.315  1.051 1.315  1.049 1.210  0.936 1.046  0.824 0.882  0.711 0.719  0.599 0.555  0.486 0.391  0.374 0.228  0.261 0.064  0.149 -0.099  0.075 -0.243  0.265 -0.222  0.432 -0.145  0.537 -0.052  0.635 -0.145
1b#app#app18#app1838/F  -0.374 0.566  -0.514 0.465  -0.374 0.281  -0.374 0.041  -0.374 -0.200  -0.374 -0.441  -0.374 -0.682  -0.374 -0.923  -0.374 -1.164  -0.374 -1.405  -0.292 -1.612  -0.256 -1.808  -0.374 -1.686  -0.374 -1.445  -0.374 -1.204  -0.374 -0.963  -0.451 -0.754  -0.514 -0.539  -0.514 -0.298  -0.514 -0.057  -0.514 0.184  -0.514 0.425  -0.514 0.666  -0.453 0.845  -0.212 0.845  -0.007 0.933  0.204 1.005  0.396 1.124  0.586 1.247  0.797 1.318  1.003 1.404  1.022 1.461  0.995 1.229  0.848 1.038  0.702 0.848  0.555 0.657  0.408 0.466  0.261 0.275  0.114 0.084  -0.033 -0.107  -0.180 -0.298  -0.327 -0.489  -0.235 -0.528  -0.110 -0.412  0.073 -0.272  0.184 -0.143  0.415 -0.132  0.599 0.004  0.839 0.007  1.022 0.147
2#pri#pri0#000/F  0.167 0.961  0.049 0.781  -0.018 0.574  -0.085 0.367  -0.163 0.165  -0.242 -0.038  -0.326 -0.239  -0.407 -0.440  -0.486 -0.643  -0.565 -0.845  -0.639 -1.050  -0.707 -1.256  -0.764 -1.466  -0.793 -1.681  -0.748 -1.552  -0.692 -1.342  -0.636 -1.131  -0.580 -0.921  -0.525 -0.711  -0.469 -0.501  -0.413 -0.291  -0.357 -0.081  -0.302 0.130  -0.246 0.340  -0.190 0.550  -0.072 0.713  0.096 0.851  0.278 0.969  0.473 1.064  0.680 1.132  0.888 1.195  1.101 1.234  1.318 1.249  1.293 1.156  1.131 1.011  0.970 0.865  0.808 0.719  0.647 0.574  0.485 0.428  0.324 0.283  0.162 0.137  0.001 -0.009  -0.161 -0.154  -0.322 -0.300  -0.484 -0.445  -0.330 -0.469  -0.113 -0.474  0.105 -0.474  0.322 -0.473  0.539 -0.465
1b#ibm#ibm0#r0112/F  -0.377 0.919  -0.377 0.959  -0.377 0.714  -0.377 0.470  -0.377 0.226  -0.377 -0.018  -0.377 -0.263  -0.377 -0.507  -0.377 -0.751  -0.377 -0.996  -0.377 -1.240  -0.377 -1.484  -0.377 -1.728  -0.382 -1.867  -0.406 -1.624  -0.431 -1.381  -0.455 -1.138  -0.479 -0.895  -0.504 -0.652  -0.528 -0.409  -0.552 -0.166  -0.576 0.078  -0.601 0.321  -0.625 0.564  -0.649 0.807  -0.529 0.919  -0.344 0.777  -0.099 0.777  0.117 0.845  0.330 0.919  0.575 0.919  0.759 0.979  0.901 1.081  1.023 1.203  1.043 0.978  1.043 0.733  1.039 0.775  0.847 0.625  0.654 0.475  0.461 0.325  0.268 0.175  0.075 0.025  -0.118 -0.125  -0.139 -0.216  0.105 -0.216  0.349 -0.216  0.594 -0.216  0.759 -0.296  0.759 -0.540  0.617 -0.642
1b#ibm#ibm0#r0112/F  -0.239 0.914  -0.239 0.693  -0.239 0.472  -0.239 0.251  -0.239 0.030  -0.258 -0.188  -0.307 -0.403  -0.307 -0.624  -0.307 -0.845  -0.307 -1.066  -0.307 -1.287  -0.307 -1.508  -0.307 -1.729  -0.314 -1.837  -0.340 -1.617  -0.366 -1.398  -0.392 -1.178  -0.419 -0.959  -0.445 -0.739  -0.471 -0.520  -0.497 -0.301  -0.523 -0.081  -0.549 0.138  -0.575 0.358  -0.602 0.577  -0.628 0.797  -0.617 0.975  -0.403 0.921  -0.183 0.914  0.028 0.967  0.234 1.049  0.454 1.051  0.675 1.051  0.867 1.125  1.064 1.224  1.131 1.110  1.112 0.891  1.069 0.674  0.908 0.535  0.726 0.410  0.543 0.286  0.361 0.161  0.178 0.036  -0.004 -0.089  -0.186 -0.214  -0.084 -0.219  0.133 -0.181  0.354 -0.181  0.574 -0.196  0.788 -0.249
