1b#ced#risn4711_s_1i/M  -0.418 -0.079  -0.418 0.163  -0.459 0.398  -0.479 0.638  -0.560 0.494  -0.620 0.260  -0.672 0.025  -0.723 -0.211  -0.767 -0.448  -0.832 -0.681  -0.878 -0.918  -0.928 -1.155  -0.920 -1.228  -0.860 -0.994  -0.812 -0.758  -0.754 -0.523  -0.723 -0.283  -0.665 -0.049  -0.599 0.184  -0.547 0.420  -0.507 0.658  -0.445 0.892  -0.382 1.125  -0.261 1.252  -0.191 1.022  -0.148 0.784  -0.104 0.546  -0.066 0.307  -0.021 0.070  0.073 -0.152  0.198 -0.345  0.382 -0.211  0.512 -0.008  0.628 0.204  0.726 0.425  0.808 0.652  0.877 0.883  0.984 1.098  1.005 0.950  0.984 0.711  0.962 0.470  0.930 0.230  0.902 -0.010  0.883 -0.251  0.870 -0.492  0.843 -0.732  0.813 -0.972  0.801 -1.214  0.797 -1.455  0.781 -1.695
1b#ced#risn4711_s_1i/L  0.043 0.949  0.065 1.052  0.058 1.157  0.043 1.261  0.043 1.366  0.065 1.468  0.043 1.494  0.020 1.392  0.005 1.288  -0.016 1.185  -0.042 1.083  -0.075 0.983  -0.108 0.882  -0.147 0.785  -0.194 0.690  -0.236 0.593  -0.276 0.496  -0.318 0.399  -0.365 0.305  -0.381 0.201  -0.411 0.101  -0.456 0.005  -0.503 -0.089  -0.544 -0.186  -0.592 -0.279  -0.636 -0.374  -0.673 -0.472  -0.720 -0.567  -0.748 -0.667  -0.706 -0.752  -0.609 -0.784  -0.506 -0.808  -0.401 -0.810  -0.296 -0.810  -0.190 -0.810  -0.085 -0.810  0.021 -0.810  0.126 -0.810  0.232 -0.810  0.337 -0.806  0.441 -0.791  0.546 -0.789  0.652 -0.789  0.757 -0.789  0.861 -0.771  0.966 -0.767  1.072 -0.767  1.175 -0.746  1.280 -0.746  1.382 -0.724
1b#ced#risn4711_s_1i/A  -0.935 0.344  -0.710 0.513  -0.501 0.698  -0.345 0.933  -0.429 0.676  -0.524 0.411  -0.602 0.141  -0.700 -0.123  -0.763 -0.397  -0.860 -0.661  -0.953 -0.927  -1.048 -1.190  -0.957 -0.979  -0.815 -0.736  -0.689 -0.484  -0.563 -0.232  -0.437 0.020  -0.297 0.264  -0.156 0.508  -0.012 0.749  0.167 0.966  0.352 1.178  0.572 1.354  0.819 1.488  1.050 1.386  1.113 1.113  1.113 0.832  1.083 0.552  1.061 0.272  1.000 -0.003  0.949 -0.279  0.866 -0.548  0.789 -0.819  0.712 -1.089  0.602 -1.345  0.473 -1.309  0.341 -1.060  0.209 -0.811  0.077 -0.562  -0.055 -0.313  -0.186 -0.064  -0.393 0.062  -0.663 0.004  -0.800 -0.126  -0.525 -0.117  -0.247 -0.087  0.035 -0.087  0.314 -0.057  0.593 -0.027  0.875 -0.027
1b#ced#risn4711_s_1i/N  -0.323 0.304  -0.364 0.479  -0.422 0.654  -0.517 0.671  -0.574 0.498  -0.638 0.329  -0.669 0.153  -0.726 -0.022  -0.763 -0.202  -0.821 -0.374  -0.889 -0.545  -0.933 -0.723  -0.983 -0.900  -1.100 -1.040  -1.115 -0.912  -1.064 -0.735  -1.010 -0.560  -0.942 -0.389  -0.872 -0.220  -0.793 -0.054  -0.712 0.110  -0.622 0.270  -0.529 0.429  -0.419 0.576  -0.310 0.723  -0.164 0.835  0.002 0.891  0.130 0.780  0.208 0.615  0.273 0.443  0.315 0.265  0.346 0.084  0.408 -0.087  0.440 -0.268  0.481 -0.447  0.543 -0.620  0.594 -0.796  0.667 -0.959  0.802 -0.881  0.894 -0.722  0.966 -0.553  1.024 -0.379  1.082 -0.204  1.137 -0.029  1.187 0.148  1.237 0.324  1.295 0.499  1.353 0.673  1.411 0.847  1.477 1.019
1b#ced#risn4711_s_1i/G  -0.188 0.924  -0.161 1.083  -0.161 1.253  -0.161 1.423  -0.193 1.515  -0.279 1.373  -0.362 1.226  -0.446 1.078  -0.491 0.916  -0.575 0.769  -0.638 0.611  -0.701 0.453  -0.759 0.294  -0.798 0.129  -0.827 -0.038  -0.857 -0.206  -0.889 -0.372  -0.892 -0.542  -0.858 -0.706  -0.779 -0.855  -0.641 -0.931  -0.471 -0.931  -0.319 -0.873  -0.191 -0.762  -0.087 -0.630  -0.004 -0.482  0.052 -0.323  0.056 -0.154  0.031 0.012  -0.025 0.173  -0.107 0.320  -0.191 0.422  -0.036 0.436  0.128 0.405  0.295 0.383  0.460 0.343  0.625 0.301  0.786 0.248  0.931 0.165  1.043 0.038  1.085 -0.124  1.056 -0.289  0.990 -0.445  0.937 -0.606  0.877 -0.763  0.842 -0.930  0.776 -1.085  0.728 -1.248  0.706 -1.416  0.679 -1.581
1b#ced#risn4711_s_1i/U  -0.948 0.348  -0.860 0.436  -0.784 0.533  -0.709 0.632  -0.635 0.732  -0.589 0.845  -0.550 0.962  -0.518 1.036  -0.588 0.934  -0.627 0.816  -0.635 0.693  -0.657 0.572  -0.662 0.448  -0.686 0.327  -0.687 0.203  -0.687 0.079  -0.674 -0.044  -0.651 -0.166  -0.635 -0.289  -0.632 -0.413  -0.607 -0.534  -0.583 -0.656  -0.559 -0.778  -0.490 -0.880  -0.408 -0.972  -0.317 -1.051  -0.199 -1.075  -0.077 -1.097  0.043 -1.075  0.154 -1.020  0.269 -0.974  0.360 -0.890  0.447 -0.802  0.528 -0.708  0.600 -0.607  0.668 -0.504  0.737 -0.401  0.800 -0.294  0.855 -0.183  0.904 -0.069  0.948 0.047  0.984 0.166  1.024 0.284  1.050 0.405  1.072 0.527  1.082 0.649  1.063 0.771  1.057 0.894  1.023 1.014  0.984 1.132
1b#ced#risn4711_s_1i/I  -0.230 0.637  -0.183 0.707  -0.136 0.778  -0.106 0.857  -0.080 0.937  -0.042 1.013  -0.015 1.093  0.005 1.175  0.027 1.256  0.054 1.337  0.078 1.368  0.099 1.286  0.120 1.204  0.123 1.119  0.123 1.035  0.135 0.952  0.162 0.872  0.185 0.790  0.206 0.708  0.223 0.626  0.223 0.541  0.216 0.457  0.196 0.375  0.175 0.293  0.158 0.210  0.142 0.127  0.125 0.044  0.110 -0.039  0.095 -0.122  0.079 -0.205  0.063 -0.289  0.047 -0.372  0.030 -0.455  0.014 -0.538  -0.003 -0.621  -0.020 -0.703  -0.041 -0.785  -0.068 -0.866  -0.094 -0.946  -0.121 -1.026  -0.139 -1.109  -0.153 -1.192  -0.167 -1.276  -0.181 -1.359  -0.197 -1.442  -0.214 -1.525  -0.231 -1.608  -0.247 -1.691  -0.264 -1.774  -0.280 -1.857
1b#ced#risn4711_s_1i/S  0.516 0.448  0.611 0.542  0.693 0.646  0.739 0.770  0.778 0.897  0.775 1.024  0.659 1.085  0.526 1.085  0.397 1.056  0.265 1.047  0.136 1.015  0.006 0.982  -0.123 0.949  -0.243 0.890  -0.362 0.830  -0.489 0.791  -0.602 0.724  -0.711 0.647  -0.827 0.581  -0.935 0.506  -1.028 0.411  -1.093 0.297  -1.084 0.166  -1.000 0.066  -0.882 0.005  -0.767 -0.061  -0.638 -0.095  -0.510 -0.132  -0.379 -0.158  -0.250 -0.191  -0.120 -0.223  0.009 -0.255  0.133 -0.304  0.261 -0.343  0.384 -0.392  0.509 -0.438  0.621 -0.511  0.728 -0.591  0.784 -0.707  0.769 -0.836  0.700 -0.951  0.599 -1.034  0.488 -1.108  0.363 -1.155  0.244 -1.214  0.124 -1.274  0.001 -1.324  -0.127 -1.361  -0.258 -1.387  -0.389 -1.413
1b#ced#risn4711_s_1i/H  -0.613 0.448  -0.536 0.631  -0.497 0.826  -0.457 1.021  -0.472 0.976  -0.517 0.782  -0.556 0.587  -0.589 0.390  -0.629 0.196  -0.677 0.003  -0.721 -0.190  -0.760 -0.385  -0.791 -0.582  -0.850 -0.772  -0.893 -0.966  -0.949 -1.156  -0.960 -1.082  -0.925 -0.888  -0.923 -0.689  -0.897 -0.493  -0.866 -0.298  -0.820 -0.105  -0.735 0.063  -0.540 0.087  -0.341 0.087  -0.142 0.087  0.056 0.099  0.253 0.113  0.450 0.138  0.648 0.144  0.843 0.177  1.021 0.261  1.140 0.414  1.160 0.610  1.159 0.806  1.140 1.003  1.082 1.060  1.001 0.884  0.940 0.695  0.880 0.505  0.822 0.315  0.766 0.124  0.703 -0.065  0.657 -0.259  0.597 -0.448  0.549 -0.641  0.508 -0.836  0.465 -1.031  0.422 -1.225  0.392 -1.422
1b#ced#risn4711_s_1i/P  -0.004 -0.120  -0.044 0.066  -0.059 0.255  -0.090 0.442  -0.091 0.633  -0.110 0.726  -0.163 0.543  -0.197 0.355  -0.253 0.173  -0.309 -0.010  -0.360 -0.194  -0.402 -0.381  -0.445 -0.567  -0.501 -0.749  -0.553 -0.933  -0.603 -1.117  -0.635 -1.305  -0.706 -1.483  -0.770 -1.662  -0.768 -1.551  -0.751 -1.362  -0.710 -1.175  -0.657 -0.992  -0.592 -0.813  -0.537 -0.630  -0.475 -0.450  -0.415 -0.268  -0.351 -0.088  -0.279 0.088  -0.195 0.260  -0.141 0.443  -0.044 0.605  0.051 0.771  0.148 0.936  0.259 1.091  0.400 1.218  0.562 1.317  0.753 1.317  0.928 1.263  1.064 1.131  1.128 0.957  1.128 0.766  1.110 0.576  1.046 0.397  0.965 0.225  0.845 0.076  0.695 -0.040  0.534 -0.141  0.380 -0.255  0.214 -0.348
1b#ced#risn4711_s_1i/I  0.172 0.699  0.214 0.769  0.256 0.839  0.262 0.919  0.281 0.998  0.320 1.068  0.369 1.134  0.383 1.210  0.410 1.284  0.439 1.314  0.419 1.235  0.377 1.167  0.326 1.104  0.287 1.034  0.271 0.954  0.255 0.874  0.239 0.794  0.208 0.720  0.166 0.650  0.132 0.576  0.110 0.498  0.087 0.420  0.063 0.342  0.037 0.264  0.013 0.186  -0.007 0.107  -0.026 0.028  -0.046 -0.051  -0.068 -0.130  -0.089 -0.209  -0.109 -0.287  -0.129 -0.367  -0.149 -0.446  -0.168 -0.525  -0.185 -0.605  -0.203 -0.684  -0.221 -0.764  -0.240 -0.843  -0.260 -0.922  -0.280 -1.001  -0.302 -1.080  -0.325 -1.158  -0.347 -1.237  -0.369 -1.315  -0.392 -1.394  -0.410 -1.473  -0.423 -1.554  -0.436 -1.634  -0.450 -1.715  -0.463 -1.795
1b#ced#risn4711_s_1i/Q  0.201 0.721  0.328 0.894  0.446 1.074  0.370 1.210  0.184 1.101  0.023 0.951  -0.141 0.806  -0.284 0.640  -0.411 0.462  -0.552 0.296  -0.637 0.095  -0.752 -0.089  -0.825 -0.296  -0.898 -0.503  -0.941 -0.717  -0.915 -0.934  -0.824 -1.127  -0.634 -1.212  -0.416 -1.198  -0.211 -1.119  -0.019 -1.014  0.151 -0.878  0.292 -0.710  0.421 -0.533  0.518 -0.336  0.601 -0.133  0.658 0.079  0.675 0.297  0.670 0.516  0.618 0.729  0.536 0.930  0.415 1.113  0.261 1.264  0.064 1.354  -0.133 1.270  -0.275 1.104  -0.337 0.894  -0.353 0.676  -0.299 0.464  -0.232 0.256  -0.158 0.049  -0.071 -0.153  0.012 -0.356  0.118 -0.548  0.215 -0.744  0.300 -0.945  0.401 -1.139  0.509 -1.330  0.613 -1.521  0.721 -1.710
1b#ced#risn4711_s_1i/U  -0.545 0.745  -0.491 0.854  -0.487 0.976  -0.464 1.095  -0.501 1.096  -0.548 0.984  -0.602 0.874  -0.626 0.758  -0.653 0.639  -0.677 0.519  -0.692 0.398  -0.706 0.276  -0.708 0.154  -0.708 0.032  -0.708 -0.090  -0.708 -0.213  -0.708 -0.335  -0.692 -0.456  -0.668 -0.575  -0.633 -0.691  -0.578 -0.801  -0.523 -0.910  -0.456 -1.010  -0.362 -1.088  -0.256 -1.147  -0.142 -1.191  -0.020 -1.188  0.093 -1.144  0.198 -1.081  0.289 -1.001  0.362 -0.903  0.435 -0.805  0.497 -0.700  0.554 -0.592  0.602 -0.480  0.636 -0.363  0.684 -0.251  0.732 -0.139  0.752 -0.018  0.779 0.101  0.807 0.220  0.809 0.342  0.823 0.463  0.836 0.584  0.836 0.706  0.836 0.828  0.836 0.950  0.836 1.073  0.819 1.193  0.809 1.314
1b#ced#risn4711_s_1i/E  -0.139 0.581  -0.150 0.751  -0.262 0.806  -0.313 0.634  -0.364 0.462  -0.445 0.301  -0.519 0.137  -0.604 -0.021  -0.660 -0.192  -0.741 -0.352  -0.804 -0.520  -0.871 -0.687  -0.930 -0.856  -0.994 -1.024  -0.943 -1.181  -0.771 -1.214  -0.594 -1.192  -0.419 -1.152  -0.245 -1.152  -0.068 -1.126  0.112 -1.126  0.290 -1.104  0.467 -1.085  0.593 -1.075  0.505 -0.918  0.418 -0.761  0.330 -0.604  0.242 -0.447  0.138 -0.302  -0.006 -0.201  -0.136 -0.078  -0.231 0.042  -0.064 0.096  0.113 0.118  0.288 0.148  0.462 0.194  0.509 0.347  0.522 0.526  0.535 0.706  0.491 0.858  0.339 0.954  0.182 1.039  0.008 1.082  0.143 1.152  0.321 1.171  0.500 1.186  0.677 1.220  0.854 1.251  1.032 1.280  1.204 1.329
