1c#apa#apa03#app0358/g  0.149 0.823  0.262 0.886  0.262 1.062  0.186 1.162  0.017 1.144  -0.120 1.049  -0.191 0.944  -0.343 0.897  -0.468 0.773  -0.530 0.622  -0.643 0.559  -0.643 0.383  -0.757 0.254  -0.690 0.144  -0.514 0.144  -0.337 0.144  -0.161 0.144  0.015 0.144  0.146 0.254  0.274 0.370  0.375 0.445  0.488 0.509  0.576 0.597  0.639 0.710  0.714 0.811  0.714 0.885  0.601 0.822  0.601 0.646  0.587 0.484  0.488 0.407  0.488 0.230  0.488 0.054  0.488 -0.122  0.488 -0.298  0.375 -0.428  0.375 -0.604  0.375 -0.780  0.375 -0.956  0.343 -1.101  0.262 -1.196  0.149 -1.259  0.041 -1.327  -0.136 -1.327  -0.312 -1.327  -0.488 -1.327  -0.664 -1.327  -0.841 -1.327  -1.017 -1.327  -1.165 -1.258  -1.322 -1.214
1c#val#yannis67/g  -0.202 0.885  -0.380 0.863  -0.554 0.824  -0.696 0.715  -0.775 0.558  -0.735 0.388  -0.608 0.266  -0.466 0.158  -0.286 0.144  -0.107 0.134  0.072 0.152  0.251 0.170  0.412 0.252  0.520 0.387  0.517 0.560  0.406 0.696  0.281 0.826  0.138 0.933  -0.017 1.024  -0.177 1.105  -0.342 1.179  -0.485 1.129  -0.437 1.002  -0.274 0.925  -0.111 0.849  0.052 0.772  0.215 0.696  0.378 0.619  0.498 0.506  0.565 0.340  0.613 0.166  0.656 -0.008  0.692 -0.184  0.709 -0.364  0.699 -0.542  0.675 -0.721  0.626 -0.893  0.572 -1.065  0.473 -1.214  0.365 -1.357  0.217 -1.460  0.041 -1.493  -0.137 -1.485  -0.315 -1.458  -0.492 -1.426  -0.660 -1.361  -0.763 -1.258  -0.669 -1.105  -0.542 -0.978  -0.415 -0.850
1c#val#yannis67/g  -0.094 0.909  -0.285 0.908  -0.469 0.854  -0.640 0.764  -0.791 0.649  -0.877 0.482  -0.828 0.303  -0.667 0.235  -0.474 0.214  -0.282 0.193  -0.090 0.214  0.102 0.238  0.292 0.268  0.471 0.341  0.650 0.414  0.789 0.540  0.698 0.692  0.520 0.756  0.330 0.791  0.140 0.823  -0.054 0.823  -0.247 0.823  -0.440 0.814  -0.630 0.780  -0.765 0.743  -0.579 0.688  -0.394 0.633  -0.208 0.578  -0.023 0.523  0.162 0.468  0.348 0.413  0.482 0.310  0.539 0.125  0.596 -0.060  0.651 -0.245  0.689 -0.434  0.718 -0.625  0.736 -0.817  0.730 -1.011  0.722 -1.204  0.660 -1.387  0.505 -1.493  0.319 -1.522  0.127 -1.493  -0.064 -1.463  -0.253 -1.425  -0.443 -1.387  -0.632 -1.349  -0.806 -1.267  -0.936 -1.132
1c#val#yannis67/g  -0.635 1.131  -0.752 0.962  -0.794 0.760  -0.749 0.560  -0.609 0.432  -0.419 0.354  -0.215 0.321  -0.010 0.319  0.196 0.338  0.369 0.442  0.458 0.607  0.409 0.801  0.290 0.962  0.115 1.073  -0.071 1.158  -0.269 1.219  -0.475 1.212  -0.636 1.104  -0.551 0.988  -0.371 0.886  -0.191 0.784  -0.012 0.682  0.168 0.580  0.348 0.478  0.528 0.376  0.634 0.218  0.670 0.015  0.684 -0.192  0.691 -0.398  0.698 -0.605  0.695 -0.812  0.680 -1.018  0.650 -1.222  0.605 -1.420  0.443 -1.547  0.240 -1.584  0.036 -1.551  -0.166 -1.511  -0.353 -1.422  -0.498 -1.284  -0.609 -1.112  -0.646 -0.908  -0.585 -0.718  -0.494 -0.532  -0.388 -0.361  -0.205 -0.265  -0.021 -0.170  0.176 -0.107  0.372 -0.043  0.568 0.025
1c#val#yannis67/g  -0.106 1.167  -0.251 1.103  -0.395 1.036  -0.528 0.953  -0.645 0.847  -0.721 0.714  -0.708 0.564  -0.625 0.445  -0.476 0.389  -0.326 0.344  -0.167 0.333  -0.011 0.340  0.144 0.374  0.288 0.424  0.362 0.561  0.363 0.718  0.306 0.862  0.206 0.979  0.068 1.056  -0.083 1.075  -0.209 1.002  -0.072 0.922  0.064 0.841  0.200 0.760  0.337 0.679  0.473 0.598  0.486 0.444  0.513 0.288  0.542 0.132  0.581 -0.021  0.612 -0.176  0.629 -0.334  0.635 -0.492  0.623 -0.650  0.602 -0.807  0.573 -0.962  0.533 -1.115  0.486 -1.267  0.376 -1.370  0.231 -1.426  0.075 -1.446  -0.082 -1.427  -0.231 -1.375  -0.379 -1.319  -0.527 -1.261  -0.652 -1.164  -0.756 -1.048  -0.838 -0.913  -0.787 -0.763  -0.735 -0.613
1c#val#yannis67/g  0.339 1.122  0.188 1.171  0.021 1.143  -0.119 1.049  -0.254 0.947  -0.387 0.842  -0.522 0.740  -0.653 0.635  -0.731 0.485  -0.696 0.324  -0.564 0.231  -0.414 0.151  -0.262 0.081  -0.093 0.072  0.074 0.085  0.237 0.128  0.352 0.245  0.447 0.385  0.531 0.532  0.540 0.698  0.465 0.840  0.355 0.969  0.197 1.023  0.034 1.010  -0.119 0.949  -0.233 0.824  -0.244 0.703  -0.118 0.590  0.007 0.476  0.132 0.362  0.257 0.248  0.364 0.122  0.422 -0.037  0.475 -0.198  0.526 -0.359  0.554 -0.525  0.569 -0.694  0.563 -0.862  0.533 -1.028  0.502 -1.195  0.389 -1.318  0.256 -1.421  0.098 -1.470  -0.070 -1.484  -0.239 -1.484  -0.408 -1.474  -0.576 -1.453  -0.744 -1.432  -0.909 -1.397  -1.071 -1.348
1c#val#yannis67/g  0.029 1.018  -0.174 0.988  -0.366 0.918  -0.553 0.832  -0.712 0.704  -0.813 0.533  -0.799 0.338  -0.652 0.202  -0.461 0.140  -0.258 0.116  -0.056 0.157  0.145 0.198  0.347 0.239  0.520 0.349  0.666 0.484  0.736 0.672  0.635 0.834  0.450 0.914  0.251 0.967  0.046 0.966  -0.160 0.964  -0.362 0.947  -0.544 0.852  -0.487 0.776  -0.292 0.711  -0.097 0.645  0.098 0.580  0.293 0.514  0.488 0.449  0.630 0.360  0.606 0.158  0.611 -0.047  0.631 -0.251  0.657 -0.455  0.685 -0.659  0.694 -0.865  0.699 -1.070  0.680 -1.275  0.604 -1.450  0.413 -1.512  0.210 -1.495  0.006 -1.468  -0.195 -1.424  -0.395 -1.376  -0.570 -1.276  -0.735 -1.153  -0.840 -0.977  -0.842 -0.776  -0.790 -0.583  -0.677 -0.411
1c#val#yannis67/g  -0.836 1.057  -0.917 0.906  -0.988 0.750  -1.005 0.586  -0.922 0.443  -0.786 0.345  -0.621 0.294  -0.453 0.275  -0.281 0.278  -0.112 0.296  0.052 0.347  0.216 0.398  0.375 0.458  0.504 0.571  0.554 0.721  0.434 0.840  0.278 0.911  0.119 0.978  -0.040 1.043  -0.210 1.031  -0.381 1.014  -0.276 0.932  -0.131 0.840  0.014 0.748  0.159 0.656  0.304 0.564  0.449 0.472  0.490 0.316  0.542 0.154  0.607 -0.005  0.669 -0.165  0.730 -0.326  0.780 -0.489  0.811 -0.658  0.841 -0.827  0.861 -0.996  0.836 -1.166  0.747 -1.313  0.580 -1.324  0.408 -1.327  0.241 -1.289  0.073 -1.252  -0.089 -1.195  -0.249 -1.135  -0.400 -1.055  -0.543 -0.960  -0.686 -0.864  -0.822 -0.760  -0.949 -0.645  -0.977 -0.476
1c#val#yannis67/g  -0.245 1.264  -0.428 1.229  -0.587 1.137  -0.704 0.989  -0.795 0.825  -0.868 0.653  -0.913 0.470  -0.798 0.334  -0.633 0.255  -0.451 0.209  -0.263 0.209  -0.077 0.224  0.103 0.277  0.262 0.373  0.373 0.513  0.422 0.695  0.366 0.871  0.244 1.012  0.106 1.140  -0.070 1.163  -0.040 1.079  0.104 0.957  0.247 0.836  0.391 0.714  0.534 0.592  0.579 0.434  0.582 0.246  0.609 0.061  0.653 -0.122  0.697 -0.305  0.710 -0.492  0.716 -0.680  0.689 -0.865  0.648 -1.049  0.573 -1.221  0.480 -1.381  0.333 -1.498  0.165 -1.571  -0.017 -1.582  -0.191 -1.512  -0.332 -1.388  -0.438 -1.234  -0.489 -1.056  -0.521 -0.870  -0.514 -0.683  -0.504 -0.495  -0.393 -0.343  -0.280 -0.194  -0.111 -0.119  0.076 -0.100
1c#val#yannis67/g  -0.377 1.134  -0.522 1.009  -0.660 0.875  -0.779 0.729  -0.828 0.543  -0.820 0.356  -0.760 0.183  -0.586 0.102  -0.404 0.046  -0.214 0.017  -0.024 0.019  0.166 0.045  0.344 0.114  0.462 0.237  0.487 0.428  0.475 0.615  0.410 0.796  0.303 0.948  0.158 1.074  0.006 1.191  -0.158 1.291  -0.329 1.304  -0.194 1.167  -0.059 1.030  0.076 0.893  0.210 0.756  0.345 0.619  0.467 0.476  0.519 0.292  0.576 0.108  0.636 -0.074  0.709 -0.252  0.765 -0.435  0.803 -0.623  0.786 -0.811  0.737 -0.996  0.639 -1.161  0.512 -1.301  0.352 -1.399  0.162 -1.432  -0.027 -1.455  -0.218 -1.435  -0.399 -1.372  -0.556 -1.268  -0.682 -1.126  -0.724 -0.947  -0.665 -0.764  -0.521 -0.638  -0.374 -0.514  -0.227 -0.390
1c#val#yannis67/g  -0.476 1.097  -0.647 1.034  -0.777 0.904  -0.816 0.729  -0.835 0.546  -0.832 0.362  -0.799 0.187  -0.692 0.037  -0.548 -0.060  -0.371 -0.109  -0.188 -0.093  -0.006 -0.070  0.145 0.033  0.293 0.142  0.394 0.286  0.451 0.461  0.485 0.637  0.445 0.817  0.324 0.950  0.176 1.054  0.002 1.115  -0.175 1.136  -0.357 1.110  -0.507 1.074  -0.362 0.960  -0.217 0.846  -0.072 0.733  0.073 0.619  0.217 0.505  0.362 0.391  0.471 0.258  0.511 0.079  0.568 -0.096  0.632 -0.269  0.698 -0.440  0.765 -0.612  0.800 -0.792  0.831 -0.974  0.821 -1.158  0.767 -1.328  0.625 -1.422  0.446 -1.433  0.267 -1.390  0.089 -1.343  -0.086 -1.284  -0.260 -1.226  -0.426 -1.146  -0.589 -1.061  -0.740 -0.957  -0.881 -0.839
1c#val#yannis67/g  0.271 1.151  0.087 1.211  -0.107 1.206  -0.278 1.112  -0.433 0.992  -0.570 0.853  -0.690 0.699  -0.755 0.514  -0.817 0.328  -0.813 0.139  -0.720 -0.032  -0.552 -0.107  -0.361 -0.151  -0.168 -0.154  0.025 -0.120  0.205 -0.053  0.374 0.047  0.477 0.214  0.501 0.404  0.437 0.587  0.333 0.751  0.198 0.891  0.033 0.996  -0.144 1.070  -0.325 1.041  -0.329 0.928  -0.171 0.813  -0.012 0.698  0.147 0.582  0.305 0.467  0.464 0.352  0.603 0.238  0.612 0.042  0.622 -0.154  0.648 -0.348  0.667 -0.544  0.685 -0.739  0.700 -0.934  0.710 -1.130  0.700 -1.325  0.594 -1.460  0.401 -1.447  0.209 -1.407  0.020 -1.356  -0.169 -1.304  -0.357 -1.250  -0.543 -1.187  -0.729 -1.124  -0.909 -1.046  -1.076 -0.948
1c#val#yannis67/g  -0.412 1.162  -0.530 1.040  -0.629 0.903  -0.680 0.741  -0.669 0.571  -0.575 0.433  -0.470 0.299  -0.329 0.211  -0.162 0.223  0.007 0.247  0.175 0.271  0.306 0.370  0.425 0.492  0.522 0.629  0.589 0.782  0.523 0.935  0.381 1.023  0.227 1.097  0.062 1.126  -0.108 1.136  -0.277 1.137  -0.443 1.099  -0.393 0.978  -0.294 0.840  -0.196 0.701  -0.097 0.562  0.002 0.423  0.101 0.285  0.199 0.146  0.298 0.007  0.397 -0.132  0.495 -0.271  0.540 -0.428  0.548 -0.598  0.558 -0.768  0.571 -0.938  0.579 -1.108  0.577 -1.278  0.576 -1.448  0.516 -1.578  0.355 -1.539  0.202 -1.465  0.052 -1.385  -0.085 -1.283  -0.222 -1.182  -0.360 -1.082  -0.501 -0.987  -0.643 -0.893  -0.785 -0.799  -0.927 -0.706
1c#val#yannis67/g  0.080 1.112  -0.105 1.085  -0.280 1.028  -0.433 0.919  -0.586 0.810  -0.722 0.681  -0.785 0.518  -0.719 0.354  -0.580 0.241  -0.398 0.192  -0.214 0.183  -0.028 0.207  0.158 0.232  0.325 0.300  0.471 0.418  0.555 0.583  0.560 0.760  0.427 0.890  0.265 0.984  0.080 1.015  -0.105 1.042  -0.292 1.027  -0.464 0.977  -0.596 0.843  -0.466 0.746  -0.303 0.655  -0.139 0.563  0.025 0.471  0.189 0.379  0.353 0.287  0.447 0.146  0.492 -0.037  0.536 -0.219  0.564 -0.405  0.583 -0.591  0.583 -0.779  0.575 -0.966  0.541 -1.151  0.510 -1.336  0.481 -1.521  0.426 -1.697  0.282 -1.746  0.124 -1.644  -0.010 -1.514  -0.139 -1.377  -0.267 -1.240  -0.388 -1.097  -0.506 -0.951  -0.572 -0.778  -0.536 -0.602
1c#val#yannis67/g  -0.461 1.139  -0.667 0.990  -0.862 0.828  -1.017 0.633  -1.086 0.389  -1.045 0.139  -0.873 -0.032  -0.663 -0.172  -0.412 -0.207  -0.159 -0.215  0.094 -0.190  0.342 -0.149  0.556 -0.013  0.707 0.171  0.776 0.415  0.834 0.660  0.689 0.854  0.465 0.973  0.217 1.029  -0.031 1.085  -0.280 1.121  -0.533 1.095  -0.757 1.003  -0.691 0.878  -0.455 0.782  -0.220 0.686  0.016 0.590  0.251 0.495  0.487 0.399  0.722 0.303  0.724 0.050  0.724 -0.204  0.728 -0.459  0.722 -0.713  0.712 -0.967  0.712 -1.221  0.708 -1.475  0.656 -1.719  0.450 -1.585  0.241 -1.440  0.029 -1.301  -0.178 -1.154  -0.369 -0.986  -0.544 -0.806  -0.651 -0.575  -0.589 -0.341  -0.380 -0.232  -0.133 -0.180  0.121 -0.183  0.376 -0.186
1c#val#yannis67/g  -0.652 1.227  -0.782 1.068  -0.875 0.884  -0.881 0.680  -0.794 0.492  -0.708 0.305  -0.533 0.203  -0.347 0.116  -0.140 0.116  0.062 0.137  0.249 0.225  0.409 0.342  0.512 0.521  0.556 0.717  0.500 0.896  0.347 1.035  0.176 1.138  -0.027 1.177  -0.232 1.184  -0.436 1.164  -0.549 1.075  -0.375 0.964  -0.201 0.852  -0.027 0.741  0.147 0.630  0.321 0.518  0.495 0.407  0.470 0.205  0.494 0.000  0.520 -0.205  0.546 -0.409  0.617 -0.603  0.672 -0.802  0.704 -1.006  0.657 -1.206  0.558 -1.383  0.425 -1.537  0.231 -1.610  0.028 -1.607  -0.158 -1.524  -0.319 -1.399  -0.455 -1.244  -0.485 -1.040  -0.513 -0.835  -0.472 -0.650  -0.339 -0.493  -0.154 -0.404  0.046 -0.361  0.252 -0.352  0.459 -0.352
1c#val#yannis67/g  -0.509 1.167  -0.616 0.986  -0.677 0.783  -0.726 0.575  -0.759 0.364  -0.728 0.154  -0.623 -0.024  -0.442 -0.074  -0.231 -0.046  -0.034 0.015  0.131 0.151  0.281 0.300  0.406 0.472  0.506 0.657  0.559 0.863  0.425 1.025  0.234 1.118  0.034 1.185  -0.178 1.214  -0.389 1.244  -0.593 1.214  -0.676 1.051  -0.482 0.964  -0.287 0.877  -0.092 0.790  0.103 0.703  0.297 0.616  0.460 0.520  0.392 0.319  0.373 0.108  0.370 -0.105  0.419 -0.312  0.469 -0.520  0.486 -0.731  0.492 -0.945  0.487 -1.156  0.428 -1.361  0.359 -1.563  0.271 -1.756  0.124 -1.660  -0.054 -1.543  -0.229 -1.422  -0.352 -1.248  -0.396 -1.043  -0.311 -0.854  -0.150 -0.718  0.042 -0.633  0.249 -0.584  0.462 -0.575  0.675 -0.566
1c#val#yannis67/g  0.043 1.303  -0.151 1.253  -0.334 1.176  -0.485 1.056  -0.579 0.879  -0.658 0.696  -0.690 0.499  -0.616 0.330  -0.470 0.215  -0.270 0.211  -0.080 0.272  0.101 0.352  0.256 0.478  0.388 0.623  0.481 0.800  0.479 0.994  0.330 1.109  0.155 1.203  -0.043 1.236  -0.240 1.256  -0.438 1.230  -0.412 1.062  -0.351 0.872  -0.289 0.682  -0.228 0.491  -0.167 0.301  -0.105 0.111  -0.044 -0.080  0.017 -0.270  0.079 -0.460  0.140 -0.650  0.201 -0.841  0.263 -1.031  0.324 -1.221  0.385 -1.412  0.447 -1.602  0.391 -1.705  0.246 -1.569  0.114 -1.419  -0.025 -1.275  -0.167 -1.134  -0.310 -0.995  -0.377 -0.833  -0.195 -0.756  -0.003 -0.700  0.191 -0.650  0.384 -0.600  0.578 -0.550  0.771 -0.499  0.962 -0.439
1c#val#yannis67/g  -0.271 1.011  -0.446 0.981  -0.605 0.901  -0.760 0.812  -0.870 0.678  -0.912 0.509  -0.850 0.348  -0.708 0.253  -0.546 0.180  -0.382 0.112  -0.204 0.107  -0.028 0.110  0.139 0.172  0.305 0.237  0.434 0.359  0.549 0.494  0.522 0.651  0.398 0.775  0.233 0.840  0.067 0.906  -0.105 0.949  -0.278 0.957  -0.356 0.894  -0.186 0.843  -0.015 0.792  0.156 0.742  0.326 0.691  0.497 0.640  0.647 0.579  0.642 0.401  0.647 0.223  0.654 0.045  0.671 -0.132  0.688 -0.310  0.707 -0.487  0.728 -0.664  0.748 -0.840  0.739 -1.018  0.686 -1.181  0.540 -1.269  0.368 -1.306  0.190 -1.301  0.013 -1.285  -0.165 -1.270  -0.342 -1.252  -0.519 -1.233  -0.696 -1.215  -0.873 -1.193  -1.046 -1.152  -1.130 -1.084
1c#val#yannis67/g  -0.759 0.926  -0.862 0.784  -0.921 0.619  -0.906 0.445  -0.818 0.301  -0.695 0.183  -0.521 0.161  -0.348 0.157  -0.179 0.201  -0.011 0.251  0.147 0.326  0.306 0.401  0.440 0.506  0.544 0.647  0.593 0.807  0.463 0.912  0.292 0.948  0.120 0.984  -0.055 0.988  -0.230 0.990  -0.403 0.964  -0.567 0.909  -0.608 0.823  -0.444 0.762  -0.279 0.700  -0.115 0.639  0.049 0.577  0.213 0.515  0.377 0.454  0.541 0.392  0.583 0.235  0.603 0.060  0.631 -0.113  0.664 -0.285  0.700 -0.457  0.735 -0.628  0.745 -0.802  0.738 -0.977  0.702 -1.147  0.623 -1.301  0.495 -1.417  0.330 -1.461  0.155 -1.476  -0.020 -1.461  -0.191 -1.432  -0.353 -1.365  -0.502 -1.277  -0.630 -1.157  -0.673 -0.992  -0.700 -0.819
1c#val#yannis67/g  -0.412 1.010  -0.532 0.883  -0.631 0.741  -0.692 0.578  -0.634 0.422  -0.489 0.332  -0.315 0.317  -0.147 0.341  0.016 0.403  0.180 0.465  0.343 0.527  0.480 0.633  0.614 0.746  0.705 0.891  0.628 1.004  0.466 1.065  0.297 1.110  0.123 1.120  -0.051 1.125  -0.222 1.091  -0.393 1.053  -0.526 0.951  -0.421 0.845  -0.279 0.744  -0.136 0.643  0.006 0.542  0.149 0.441  0.291 0.340  0.429 0.237  0.407 0.064  0.385 -0.109  0.379 -0.284  0.375 -0.458  0.371 -0.633  0.370 -0.807  0.386 -0.981  0.404 -1.155  0.427 -1.328  0.376 -1.485  0.212 -1.537  0.039 -1.556  -0.133 -1.527  -0.305 -1.497  -0.465 -1.435  -0.565 -1.304  -0.546 -1.139  -0.453 -0.995  -0.336 -0.866  -0.170 -0.812  -0.004 -0.757
1c#val#yannis67/g  -0.243 1.138  -0.398 1.066  -0.494 0.918  -0.585 0.765  -0.698 0.627  -0.745 0.460  -0.682 0.304  -0.543 0.227  -0.365 0.222  -0.192 0.259  -0.019 0.303  0.141 0.380  0.299 0.462  0.430 0.580  0.536 0.717  0.529 0.887  0.430 1.027  0.261 1.083  0.091 1.139  -0.085 1.138  -0.258 1.116  -0.393 0.999  -0.340 0.909  -0.178 0.835  -0.017 0.760  0.145 0.686  0.307 0.611  0.349 0.458  0.355 0.280  0.364 0.102  0.394 -0.073  0.424 -0.249  0.458 -0.424  0.493 -0.598  0.516 -0.774  0.519 -0.952  0.521 -1.130  0.462 -1.298  0.350 -1.429  0.213 -1.543  0.043 -1.594  -0.131 -1.629  -0.306 -1.631  -0.427 -1.509  -0.444 -1.332  -0.400 -1.160  -0.327 -1.000  -0.232 -0.849  -0.122 -0.710  -0.004 -0.576
1c#val#yannis67/g  0.028 1.255  -0.180 1.215  -0.374 1.131  -0.556 1.022  -0.706 0.872  -0.790 0.681  -0.828 0.479  -0.731 0.294  -0.563 0.163  -0.355 0.124  -0.144 0.092  0.066 0.078  0.274 0.122  0.457 0.221  0.584 0.384  0.636 0.586  0.618 0.796  0.537 0.993  0.361 1.104  0.174 1.207  -0.037 1.209  -0.244 1.185  -0.427 1.076  -0.322 0.930  -0.174 0.777  -0.025 0.624  0.123 0.472  0.272 0.319  0.420 0.166  0.524 0.001  0.482 -0.208  0.439 -0.416  0.396 -0.625  0.354 -0.834  0.331 -1.045  0.316 -1.257  0.309 -1.470  0.273 -1.662  0.066 -1.632  -0.136 -1.565  -0.332 -1.484  -0.520 -1.384  -0.587 -1.185  -0.524 -0.996  -0.402 -0.826  -0.219 -0.717  -0.029 -0.626  0.178 -0.573  0.386 -0.536  0.599 -0.536
1c#val#yannis67/g  -0.281 1.203  -0.463 1.103  -0.650 1.015  -0.808 0.883  -0.822 0.690  -0.705 0.521  -0.518 0.433  -0.331 0.344  -0.128 0.316  0.079 0.304  0.264 0.387  0.428 0.507  0.552 0.673  0.592 0.872  0.510 1.055  0.368 1.206  0.197 1.305  -0.006 1.306  -0.180 1.206  -0.132 1.055  0.002 0.897  0.136 0.739  0.270 0.581  0.404 0.423  0.441 0.220  0.475 0.016  0.498 -0.190  0.512 -0.397  0.491 -0.602  0.461 -0.807  0.391 -1.002  0.319 -1.196  0.185 -1.354  0.011 -1.455  -0.189 -1.487  -0.391 -1.453  -0.586 -1.382  -0.746 -1.251  -0.894 -1.108  -0.895 -0.927  -0.749 -0.788  -0.579 -0.670  -0.385 -0.600  -0.188 -0.539  0.010 -0.477  0.208 -0.416  0.408 -0.362  0.609 -0.310  0.811 -0.264  0.994 -0.219
3#app#app07#app0755/g  0.368 1.226  0.255 1.226  0.165 1.172  0.136 1.077  0.071 1.030  0.071 0.918  0.120 0.855  0.228 0.864  0.313 0.929  0.409 0.970  0.507 1.003  0.589 1.076  0.701 1.077  0.739 1.003  0.739 0.891  0.739 0.778  0.721 0.670  0.671 0.570  0.664 0.459  0.620 0.365  0.559 0.273  0.516 0.171  0.516 0.058  0.451 -0.027  0.397 -0.125  0.347 -0.225  0.297 -0.326  0.220 -0.407  0.169 -0.507  0.104 -0.597  0.025 -0.676  -0.055 -0.755  -0.134 -0.835  -0.214 -0.914  -0.293 -0.993  -0.391 -1.046  -0.497 -1.075  -0.606 -1.083  -0.691 -1.149  -0.803 -1.149  -0.887 -1.082  -0.969 -1.047  -0.969 -0.935  -0.969 -0.822  -0.969 -0.710  -0.894 -0.629  -0.844 -0.528  -0.820 -0.422  -0.751 -0.338  -0.672 -0.259
3#app#app07#app0755/g  0.815 1.162  0.716 1.113  0.608 1.106  0.509 1.080  0.415 1.042  0.324 0.994  0.225 0.951  0.200 0.856  0.281 0.827  0.391 0.827  0.501 0.827  0.591 0.846  0.665 0.883  0.719 0.939  0.749 0.873  0.703 0.782  0.673 0.685  0.639 0.587  0.591 0.488  0.590 0.379  0.521 0.295  0.475 0.195  0.449 0.089  0.421 -0.017  0.371 -0.116  0.296 -0.195  0.226 -0.279  0.165 -0.371  0.093 -0.453  0.022 -0.536  -0.030 -0.632  -0.107 -0.710  -0.199 -0.769  -0.286 -0.833  -0.366 -0.909  -0.464 -0.958  -0.562 -1.007  -0.661 -1.056  -0.767 -1.073  -0.877 -1.073  -0.973 -1.059  -1.037 -1.009  -1.085 -0.918  -1.085 -0.809  -1.085 -0.699  -1.043 -0.598  -0.959 -0.535  -0.873 -0.469  -0.792 -0.396  -0.694 -0.346
3#app#app19#app1986/g  -0.138 0.811  -0.104 0.870  -0.079 0.940  -0.079 1.035  -0.138 1.069  -0.177 1.148  -0.262 1.170  -0.357 1.170  -0.447 1.160  -0.497 1.086  -0.539 1.008  -0.557 0.921  -0.513 0.870  -0.419 0.870  -0.324 0.870  -0.230 0.870  -0.135 0.870  -0.079 0.832  -0.138 0.798  -0.138 0.703  -0.128 0.611  -0.086 0.526  -0.079 0.433  -0.055 0.344  -0.019 0.258  0.003 0.169  0.045 0.084  0.088 -0.000  0.114 -0.091  0.132 -0.183  0.151 -0.276  0.180 -0.365  0.223 -0.450  0.265 -0.534  0.307 -0.619  0.340 -0.706  0.340 -0.800  0.381 -0.885  0.400 -0.975  0.400 -1.070  0.400 -1.164  0.400 -1.259  0.400 -1.354  0.368 -1.435  0.340 -1.518  0.259 -1.544  0.180 -1.583  0.086 -1.583  -0.009 -1.583  -0.079 -1.523
3#app#app19#app1986/g  0.016 0.718  0.016 0.812  -0.046 0.844  -0.047 0.937  -0.108 0.969  -0.139 1.032  -0.233 1.032  -0.300 1.094  -0.384 1.118  -0.461 1.157  -0.553 1.152  -0.623 1.094  -0.673 1.051  -0.673 0.957  -0.643 0.876  -0.577 0.810  -0.511 0.744  -0.485 0.661  -0.406 0.616  -0.341 0.556  -0.299 0.472  -0.223 0.444  -0.181 0.360  -0.120 0.291  -0.039 0.245  0.034 0.191  0.086 0.113  0.138 0.035  0.203 -0.032  0.245 -0.115  0.266 -0.204  0.301 -0.289  0.350 -0.367  0.391 -0.444  0.393 -0.537  0.435 -0.621  0.454 -0.710  0.454 -0.803  0.454 -0.897  0.454 -0.991  0.454 -1.084  0.454 -1.178  0.454 -1.271  0.442 -1.360  0.391 -1.432  0.354 -1.510  0.329 -1.594  0.247 -1.617  0.172 -1.661  0.078 -1.661
3#app#app19#app1986/g  0.006 0.873  -0.014 0.942  -0.063 0.981  -0.063 1.070  -0.119 1.136  -0.201 1.150  -0.264 1.212  -0.350 1.219  -0.439 1.219  -0.478 1.169  -0.547 1.149  -0.547 1.061  -0.519 0.984  -0.478 0.912  -0.443 0.838  -0.409 0.764  -0.366 0.693  -0.288 0.666  -0.269 0.596  -0.207 0.533  -0.165 0.455  -0.121 0.379  -0.063 0.314  -0.042 0.237  0.032 0.188  0.106 0.139  0.144 0.071  0.188 0.000  0.213 -0.078  0.246 -0.159  0.282 -0.239  0.282 -0.328  0.282 -0.416  0.282 -0.505  0.320 -0.584  0.351 -0.666  0.351 -0.754  0.351 -0.843  0.351 -0.932  0.351 -1.020  0.351 -1.109  0.351 -1.198  0.338 -1.281  0.282 -1.346  0.282 -1.435  0.248 -1.509  0.213 -1.583  0.154 -1.614  0.089 -1.669  0.006 -1.683
3#app#app19#app1986/g  -0.255 1.153  -0.338 1.165  -0.399 1.226  -0.460 1.288  -0.544 1.295  -0.631 1.295  -0.680 1.258  -0.680 1.171  -0.631 1.104  -0.610 1.026  -0.558 0.961  -0.539 0.882  -0.468 0.866  -0.454 0.785  -0.392 0.724  -0.331 0.662  -0.269 0.601  -0.208 0.539  -0.147 0.478  -0.085 0.417  -0.024 0.355  0.038 0.294  0.099 0.232  0.114 0.155  0.191 0.116  0.240 0.059  0.240 -0.028  0.286 -0.096  0.347 -0.157  0.408 -0.219  0.453 -0.287  0.465 -0.372  0.493 -0.454  0.520 -0.537  0.524 -0.623  0.524 -0.710  0.524 -0.797  0.524 -0.883  0.524 -0.970  0.524 -1.057  0.501 -1.135  0.435 -1.183  0.351 -1.199  0.274 -1.237  0.205 -1.289  0.133 -1.325  0.062 -1.362  -0.011 -1.396  -0.098 -1.396  -0.185 -1.396
