1b#ced#racy0978_s_0l/M  -0.484 0.159  -0.537 0.367  -0.583 0.574  -0.692 0.518  -0.732 0.310  -0.732 0.096  -0.732 -0.119  -0.732 -0.333  -0.732 -0.547  -0.750 -0.760  -0.757 -0.973  -0.823 -1.143  -0.874 -0.964  -0.881 -0.751  -0.881 -0.537  -0.868 -0.323  -0.856 -0.110  -0.820 0.101  -0.785 0.313  -0.750 0.524  -0.711 0.735  -0.638 0.934  -0.484 0.928  -0.389 0.738  -0.307 0.540  -0.247 0.335  -0.190 0.130  -0.110 -0.069  -0.043 -0.272  0.027 -0.471  0.150 -0.612  0.270 -0.443  0.360 -0.249  0.439 -0.050  0.519 0.149  0.589 0.352  0.656 0.555  0.740 0.752  0.841 0.939  0.990 0.920  1.051 0.715  1.091 0.505  1.126 0.293  1.160 0.082  1.203 -0.128  1.267 -0.332  1.304 -0.542  1.375 -0.744  1.439 -0.949  1.525 -1.143
1b#ced#racy0978_s_0l/G  0.361 0.148  0.367 0.314  0.400 0.478  0.400 0.644  0.424 0.808  0.419 0.970  0.400 1.135  0.387 1.299  0.314 1.447  0.177 1.528  0.016 1.494  -0.118 1.398  -0.210 1.259  -0.302 1.120  -0.384 0.976  -0.468 0.833  -0.548 0.687  -0.595 0.528  -0.633 0.366  -0.675 0.205  -0.708 0.042  -0.741 -0.121  -0.749 -0.287  -0.749 -0.453  -0.742 -0.619  -0.702 -0.780  -0.654 -0.939  -0.571 -1.083  -0.503 -1.234  -0.380 -1.341  -0.227 -1.399  -0.146 -1.294  -0.071 -1.145  -0.036 -0.982  -0.028 -0.817  -0.028 -0.650  -0.028 -0.484  -0.028 -0.317  -0.028 -0.151  0.049 -0.008  0.192 0.070  0.356 0.052  0.506 -0.013  0.632 -0.122  0.749 -0.240  0.861 -0.363  0.954 -0.500  1.006 -0.658  1.024 -0.821  1.062 -0.981
1b#ced#racy0978_s_0l/U  -0.559 0.015  -0.593 0.150  -0.602 0.289  -0.602 0.429  -0.602 0.568  -0.602 0.708  -0.602 0.847  -0.602 0.987  -0.602 1.126  -0.613 1.171  -0.647 1.036  -0.681 0.900  -0.666 0.763  -0.644 0.625  -0.644 0.486  -0.644 0.346  -0.640 0.207  -0.613 0.070  -0.581 -0.066  -0.550 -0.202  -0.522 -0.339  -0.490 -0.474  -0.460 -0.610  -0.431 -0.747  -0.354 -0.863  -0.276 -0.979  -0.199 -1.095  -0.093 -1.182  0.032 -1.243  0.162 -1.292  0.294 -1.246  0.419 -1.184  0.509 -1.083  0.587 -0.967  0.641 -0.840  0.683 -0.708  0.745 -0.583  0.775 -0.447  0.791 -0.309  0.796 -0.170  0.824 -0.033  0.851 0.104  0.875 0.241  0.875 0.380  0.875 0.520  0.875 0.660  0.875 0.799  0.875 0.939  0.875 1.078  0.875 1.218
1b#ced#racy0978_s_0l/I  -0.636 -0.090  -0.611 0.007  -0.587 0.105  -0.558 0.201  -0.526 0.296  -0.495 0.392  -0.463 0.487  -0.443 0.586  -0.423 0.684  -0.403 0.783  -0.371 0.878  -0.341 0.974  -0.316 1.071  -0.292 1.169  -0.261 1.265  -0.229 1.358  -0.158 1.287  -0.087 1.216  -0.047 1.129  -0.030 1.030  -0.014 0.931  0.002 0.832  0.002 0.731  0.012 0.632  0.044 0.537  0.076 0.441  0.108 0.346  0.131 0.249  0.151 0.150  0.171 0.051  0.176 -0.049  0.176 -0.149  0.176 -0.250  0.187 -0.349  0.207 -0.448  0.226 -0.546  0.249 -0.644  0.273 -0.742  0.297 -0.840  0.316 -0.938  0.336 -1.037  0.357 -1.135  0.382 -1.233  0.406 -1.330  0.430 -1.428  0.455 -1.525  0.466 -1.624  0.466 -1.725  0.492 -1.821  0.524 -1.916
1b#ced#racy0978_s_0l/S  0.095 0.670  0.147 0.775  0.190 0.883  0.205 0.997  0.191 1.112  0.144 1.218  0.073 1.309  -0.021 1.379  -0.130 1.402  -0.230 1.351  -0.321 1.279  -0.404 1.196  -0.471 1.103  -0.515 0.995  -0.558 0.886  -0.601 0.778  -0.637 0.667  -0.633 0.551  -0.590 0.442  -0.538 0.338  -0.468 0.245  -0.386 0.163  -0.289 0.097  -0.209 0.012  -0.123 -0.063  -0.018 -0.115  0.086 -0.167  0.191 -0.220  0.296 -0.269  0.405 -0.311  0.502 -0.376  0.599 -0.441  0.696 -0.505  0.794 -0.570  0.851 -0.665  0.839 -0.776  0.763 -0.859  0.669 -0.929  0.572 -0.994  0.462 -1.031  0.348 -1.060  0.235 -1.088  0.122 -1.116  0.008 -1.145  -0.105 -1.173  -0.221 -1.178  -0.335 -1.199  -0.447 -1.198  -0.560 -1.186  -0.674 -1.214
1b#ced#racy0978_s_0l/H  -1.000 0.624  -0.931 0.829  -0.850 1.030  -0.800 1.240  -0.779 1.454  -0.711 1.660  -0.618 1.509  -0.576 1.296  -0.576 1.080  -0.542 0.867  -0.498 0.655  -0.488 0.440  -0.449 0.228  -0.433 0.013  -0.407 -0.202  -0.407 -0.419  -0.407 -0.635  -0.383 -0.849  -0.365 -1.063  -0.313 -1.084  -0.205 -0.896  -0.098 -0.708  0.010 -0.520  0.117 -0.332  0.210 -0.136  0.262 0.073  0.304 0.286  0.367 0.493  0.465 0.684  0.553 0.880  0.674 0.865  0.693 0.654  0.699 0.439  0.760 0.231  0.778 0.017  0.828 -0.193  0.842 -0.408  0.884 -0.619  0.897 -0.834  0.956 -1.042  0.928 -1.252  0.733 -1.180  0.533 -1.097  0.333 -1.014  0.156 -0.891  0.006 -0.736  -0.135 -0.575  -0.300 -0.435  -0.434 -0.267  -0.280 -0.159
1b#ced#racy0978_s_0l/F  -0.052 0.593  -0.260 0.764  -0.408 0.987  -0.352 0.854  -0.314 0.586  -0.314 0.315  -0.277 0.050  -0.277 -0.221  -0.277 -0.492  -0.277 -0.763  -0.259 -1.031  -0.239 -1.300  -0.239 -1.571  -0.202 -1.838  -0.229 -1.690  -0.264 -1.421  -0.299 -1.152  -0.334 -0.884  -0.369 -0.615  -0.404 -0.346  -0.439 -0.077  -0.474 0.191  -0.553 0.423  -0.791 0.549  -0.705 0.711  -0.442 0.777  -0.185 0.861  0.076 0.935  0.343 0.968  0.608 1.021  0.876 1.050  1.139 1.116  1.409 1.118  1.392 1.028  1.170 0.873  0.947 0.719  0.724 0.565  0.502 0.410  0.279 0.256  0.056 0.101  -0.166 -0.053  -0.378 -0.220  -0.577 -0.400  -0.684 -0.582  -0.417 -0.606  -0.149 -0.573  0.119 -0.544  0.384 -0.493  0.655 -0.493  0.923 -0.456
1b#ced#racy0978_s_0l/I  0.046 0.162  0.069 0.256  0.093 0.349  0.096 0.445  0.096 0.542  0.096 0.639  0.101 0.735  0.124 0.828  0.147 0.922  0.147 1.019  0.147 1.116  0.147 1.212  0.127 1.303  0.073 1.383  0.046 1.377  0.046 1.281  0.046 1.184  0.046 1.088  0.030 0.993  0.011 0.898  -0.005 0.803  -0.005 0.706  -0.005 0.610  -0.005 0.513  -0.005 0.416  -0.005 0.320  -0.005 0.223  -0.026 0.129  -0.049 0.035  -0.055 -0.061  -0.055 -0.157  -0.055 -0.254  -0.055 -0.350  -0.055 -0.447  -0.055 -0.544  -0.055 -0.640  -0.055 -0.737  -0.055 -0.833  -0.055 -0.930  -0.055 -1.027  -0.070 -1.121  -0.101 -1.213  -0.106 -1.308  -0.106 -1.405  -0.106 -1.502  -0.106 -1.598  -0.106 -1.695  -0.106 -1.791  -0.106 -1.888  -0.106 -1.985
1b#ced#racy0978_s_0l/Z  -0.528 1.152  -0.626 1.217  -0.727 1.275  -0.688 1.316  -0.573 1.331  -0.456 1.331  -0.341 1.317  -0.233 1.273  -0.128 1.221  -0.020 1.178  0.083 1.124  0.177 1.054  0.261 0.973  0.318 0.874  0.350 0.762  0.361 0.648  0.338 0.533  0.305 0.421  0.245 0.321  0.203 0.213  0.148 0.113  0.075 0.021  -0.004 -0.065  -0.087 -0.147  -0.170 -0.230  -0.253 -0.313  -0.323 -0.406  -0.398 -0.494  -0.481 -0.577  -0.564 -0.660  -0.636 -0.751  -0.696 -0.851  -0.683 -0.936  -0.579 -0.978  -0.465 -0.950  -0.354 -0.913  -0.241 -0.885  -0.125 -0.876  -0.008 -0.876  0.109 -0.876  0.223 -0.849  0.334 -0.815  0.450 -0.804  0.566 -0.796  0.682 -0.780  0.798 -0.768  0.915 -0.768  1.032 -0.768  1.149 -0.768  1.266 -0.768
1b#ced#racy0978_s_0l/Z  -1.032 0.808  -1.149 0.843  -1.211 0.861  -1.105 0.919  -0.986 0.950  -0.868 0.980  -0.746 0.980  -0.623 0.980  -0.507 1.012  -0.389 0.984  -0.269 1.004  -0.149 1.000  -0.029 0.980  0.094 0.980  0.213 0.956  0.321 0.899  0.420 0.830  0.475 0.721  0.483 0.600  0.462 0.481  0.417 0.367  0.376 0.252  0.308 0.150  0.240 0.048  0.185 -0.062  0.111 -0.159  0.037 -0.256  -0.040 -0.351  -0.130 -0.432  -0.224 -0.509  -0.300 -0.603  -0.395 -0.678  -0.469 -0.776  -0.538 -0.877  -0.466 -0.951  -0.350 -0.945  -0.229 -0.930  -0.106 -0.930  0.017 -0.930  0.139 -0.930  0.260 -0.913  0.381 -0.896  0.502 -0.882  0.621 -0.853  0.740 -0.823  0.859 -0.793  0.981 -0.792  1.104 -0.792  1.222 -0.764  1.343 -0.758
1b#ced#racy0978_s_0l/E  -0.855 0.484  -0.775 0.681  -0.667 0.874  -0.572 1.071  -0.398 1.197  -0.421 0.997  -0.445 0.780  -0.460 0.562  -0.460 0.341  -0.460 0.120  -0.460 -0.101  -0.460 -0.322  -0.460 -0.543  -0.458 -0.763  -0.398 -0.976  -0.216 -1.077  0.005 -1.077  0.220 -1.041  0.433 -0.989  0.638 -0.910  0.852 -0.856  1.066 -0.803  1.284 -0.782  1.494 -0.712  1.676 -0.679  1.460 -0.634  1.243 -0.589  1.027 -0.544  0.811 -0.500  0.594 -0.455  0.378 -0.410  0.162 -0.365  -0.054 -0.321  -0.271 -0.276  -0.484 -0.220  -0.602 -0.125  -0.399 -0.040  -0.189 0.010  0.028 0.036  0.233 0.113  0.127 0.269  -0.022 0.432  -0.189 0.573  -0.389 0.664  -0.575 0.778  -0.711 0.950  -0.755 1.145  -0.578 1.269  -0.372 1.345  -0.173 1.417
1b#ced#racy0978_s_0l/D  -0.545 0.679  -0.486 0.857  -0.430 1.035  -0.430 1.223  -0.391 1.109  -0.391 0.921  -0.391 0.733  -0.391 0.546  -0.391 0.358  -0.353 0.177  -0.369 -0.009  -0.391 -0.194  -0.404 -0.380  -0.451 -0.561  -0.499 -0.742  -0.545 -0.840  -0.545 -0.652  -0.535 -0.466  -0.507 -0.283  -0.535 -0.098  -0.545 0.089  -0.545 0.277  -0.551 0.463  -0.610 0.641  -0.633 0.825  -0.661 1.008  -0.539 0.907  -0.369 0.833  -0.186 0.803  -0.024 0.712  0.151 0.651  0.321 0.578  0.486 0.492  0.652 0.407  0.807 0.300  0.952 0.182  1.070 0.038  1.136 -0.136  1.223 -0.299  1.210 -0.484  1.157 -0.664  1.109 -0.845  0.992 -0.991  0.847 -1.108  0.691 -1.212  0.529 -1.306  0.352 -1.364  0.171 -1.412  -0.015 -1.418  -0.199 -1.382
1b#ced#racy0978_s_0l/P  0.062 -1.711  -0.051 -1.648  -0.077 -1.509  -0.142 -1.380  -0.206 -1.250  -0.255 -1.114  -0.302 -0.977  -0.315 -0.834  -0.346 -0.694  -0.392 -0.557  -0.427 -0.416  -0.428 -0.271  -0.428 -0.127  -0.450 0.015  -0.466 0.158  -0.466 0.303  -0.466 0.448  -0.466 0.593  -0.466 0.738  -0.466 0.883  -0.436 1.024  -0.428 1.168  -0.376 1.302  -0.289 1.417  -0.173 1.503  -0.034 1.476  0.074 1.383  0.166 1.272  0.240 1.148  0.339 1.043  0.424 0.927  0.492 0.799  0.537 0.662  0.599 0.533  0.645 0.399  0.676 0.257  0.711 0.117  0.740 -0.025  0.740 -0.170  0.723 -0.312  0.673 -0.448  0.607 -0.571  0.473 -0.624  0.338 -0.678  0.203 -0.729  0.062 -0.751  -0.083 -0.745  -0.225 -0.716  -0.363 -0.673  -0.503 -0.638
1b#ced#racy0978_s_0l/I  -0.111 0.222  -0.111 0.317  -0.103 0.412  -0.085 0.505  -0.066 0.598  -0.061 0.693  -0.061 0.788  -0.061 0.883  -0.044 0.975  -0.014 1.066  -0.011 1.160  -0.011 1.255  -0.011 1.350  -0.005 1.411  0.025 1.320  0.028 1.229  0.005 1.137  -0.011 1.044  -0.011 0.949  -0.022 0.854  -0.038 0.761  -0.054 0.667  -0.061 0.572  -0.061 0.477  -0.061 0.382  -0.061 0.287  -0.061 0.192  -0.061 0.097  -0.061 0.002  -0.045 -0.091  -0.022 -0.184  -0.011 -0.277  -0.011 -0.372  -0.011 -0.467  0.003 -0.561  0.026 -0.653  0.040 -0.747  0.040 -0.842  0.040 -0.937  0.040 -1.032  0.044 -1.126  0.067 -1.219  0.090 -1.311  0.090 -1.406  0.103 -1.499  0.133 -1.589  0.140 -1.683  0.144 -1.778  0.167 -1.870  0.190 -1.962
1b#ced#racy0978_s_0l/Q  -0.024 0.722  0.086 0.902  0.134 1.099  0.061 1.279  -0.120 1.257  -0.263 1.101  -0.389 0.931  -0.486 0.744  -0.572 0.551  -0.638 0.351  -0.739 0.166  -0.805 -0.035  -0.843 -0.243  -0.845 -0.454  -0.845 -0.666  -0.790 -0.869  -0.669 -1.034  -0.482 -1.117  -0.275 -1.095  -0.079 -1.028  0.110 -0.934  0.271 -0.800  0.421 -0.651  0.562 -0.494  0.672 -0.314  0.769 -0.126  0.856 0.066  0.893 0.266  0.924 0.474  0.895 0.682  0.836 0.885  0.711 1.050  0.534 1.162  0.331 1.187  0.143 1.093  -0.014 0.952  -0.133 0.778  -0.223 0.588  -0.276 0.384  -0.276 0.173  -0.253 -0.036  -0.245 -0.247  -0.215 -0.454  -0.149 -0.655  -0.078 -0.854  0.056 -1.017  0.184 -1.180  0.316 -1.340  0.449 -1.504  0.514 -1.695
1b#ced#racy0978_s_0l/U  -0.625 -0.287  -0.625 -0.141  -0.605 0.004  -0.577 0.148  -0.575 0.295  -0.539 0.437  -0.528 0.583  -0.528 0.730  -0.528 0.877  -0.528 1.023  -0.564 1.164  -0.611 1.099  -0.649 0.958  -0.673 0.814  -0.673 0.667  -0.673 0.520  -0.669 0.374  -0.625 0.234  -0.625 0.088  -0.625 -0.059  -0.598 -0.203  -0.564 -0.346  -0.532 -0.489  -0.497 -0.631  -0.455 -0.772  -0.391 -0.903  -0.302 -1.019  -0.198 -1.122  -0.075 -1.190  0.069 -1.219  0.216 -1.224  0.341 -1.172  0.445 -1.068  0.548 -0.964  0.652 -0.860  0.738 -0.741  0.810 -0.614  0.870 -0.480  0.902 -0.337  0.943 -0.196  0.961 -0.052  0.961 0.095  0.961 0.241  0.961 0.388  0.961 0.535  0.935 0.679  0.896 0.820  0.853 0.960  0.817 1.103  0.816 1.250
1b#ced#racy0978_s_0l/E  -0.887 0.705  -0.788 0.921  -0.800 1.054  -0.885 0.831  -0.937 0.594  -1.006 0.363  -1.006 0.121  -0.970 -0.117  -0.938 -0.354  -0.887 -0.589  -0.782 -0.802  -0.581 -0.932  -0.360 -1.028  -0.124 -1.065  0.119 -1.065  0.360 -1.060  0.597 -1.025  0.835 -0.985  1.062 -0.918  1.278 -0.811  1.513 -0.752  1.336 -0.673  1.108 -0.590  0.880 -0.507  0.652 -0.424  0.424 -0.341  0.195 -0.263  -0.044 -0.230  -0.281 -0.190  -0.520 -0.174  -0.473 -0.082  -0.248 -0.011  -0.010 0.030  0.227 0.069  0.462 0.108  0.698 0.148  0.934 0.188  0.876 0.241  0.648 0.323  0.420 0.405  0.192 0.488  -0.036 0.570  -0.264 0.652  -0.497 0.705  -0.721 0.778  -0.596 0.959  -0.380 1.067  -0.169 1.183  0.068 1.222  0.306 1.262
