1c#kai#kai1#jhjung5/g  0.216 1.333  0.024 1.391  -0.178 1.391  -0.375 1.368  -0.566 1.304  -0.713 1.182  -0.800 1.002  -0.824 0.805  -0.824 0.604  -0.822 0.403  -0.758 0.212  -0.672 0.038  -0.498 -0.053  -0.297 -0.053  -0.100 -0.023  0.078 0.067  0.191 0.220  0.284 0.397  0.331 0.584  0.377 0.778  0.441 0.969  0.444 1.151  0.389 0.959  0.389 0.758  0.389 0.556  0.389 0.355  0.389 0.154  0.389 -0.048  0.389 -0.249  0.389 -0.451  0.342 -0.646  0.331 -0.846  0.331 -1.048  0.318 -1.247  0.274 -1.441  0.246 -1.638  0.115 -1.762  -0.061 -1.717  -0.196 -1.573  -0.281 -1.392  -0.304 -1.194  -0.266 -0.998  -0.208 -0.805  -0.144 -0.614  -0.060 -0.431  0.041 -0.258  0.167 -0.102  0.302 0.047  0.420 0.209  0.562 0.351
1c#kai#kai1#jhjung5/u  -0.493 1.510  -0.547 1.346  -0.602 1.183  -0.656 1.019  -0.711 0.856  -0.765 0.692  -0.775 0.521  -0.785 0.351  -0.839 0.187  -0.869 0.020  -0.869 -0.153  -0.869 -0.325  -0.869 -0.497  -0.869 -0.670  -0.869 -0.842  -0.869 -1.015  -0.741 -1.118  -0.597 -1.214  -0.454 -1.132  -0.311 -1.037  -0.213 -0.895  -0.117 -0.752  -0.022 -0.608  0.074 -0.465  0.169 -0.322  0.261 -0.177  0.261 -0.004  0.300 0.156  0.395 0.299  0.473 0.452  0.527 0.615  0.582 0.779  0.636 0.942  0.691 1.106  0.731 1.183  0.731 1.010  0.698 0.844  0.643 0.680  0.589 0.517  0.543 0.352  0.543 0.179  0.543 0.007  0.543 -0.165  0.543 -0.338  0.543 -0.510  0.543 -0.683  0.601 -0.837  0.697 -0.981  0.841 -1.032  1.014 -1.032
1c#kai#kai1#jhjung5/e  -0.760 -1.363  -0.637 -1.281  -0.514 -1.199  -0.395 -1.113  -0.313 -0.990  -0.231 -0.867  -0.149 -0.744  -0.067 -0.621  0.015 -0.498  0.097 -0.375  0.179 -0.252  0.261 -0.129  0.343 -0.006  0.425 0.117  0.507 0.240  0.553 0.373  0.553 0.521  0.554 0.669  0.601 0.809  0.647 0.949  0.651 1.090  0.604 1.230  0.558 1.370  0.426 1.426  0.286 1.473  0.152 1.474  0.029 1.392  -0.094 1.310  -0.184 1.203  -0.230 1.063  -0.277 0.923  -0.324 0.782  -0.371 0.642  -0.402 0.499  -0.402 0.352  -0.402 0.204  -0.402 0.056  -0.402 -0.092  -0.402 -0.240  -0.402 -0.388  -0.402 -0.535  -0.382 -0.677  -0.300 -0.800  -0.218 -0.923  -0.122 -1.032  0.001 -1.114  0.124 -1.196  0.258 -1.243  0.405 -1.243  0.553 -1.243
1c#kai#kai1#jhjung5/s  -1.338 -0.768  -1.215 -0.645  -1.092 -0.522  -0.994 -0.380  -0.916 -0.225  -0.838 -0.069  -0.742 0.076  -0.645 0.221  -0.549 0.366  -0.452 0.511  -0.356 0.655  -0.259 0.800  -0.162 0.945  -0.066 1.090  0.031 1.235  0.127 1.380  0.265 1.471  0.430 1.526  0.542 1.425  0.638 1.280  0.706 1.120  0.761 0.955  0.767 0.782  0.767 0.608  0.767 0.434  0.743 0.264  0.688 0.099  0.633 -0.066  0.578 -0.232  0.491 -0.381  0.394 -0.526  0.249 -0.607  0.083 -0.662  -0.082 -0.717  -0.247 -0.768  -0.422 -0.768  -0.569 -0.718  -0.666 -0.573  -0.690 -0.467  -0.516 -0.467  -0.369 -0.533  -0.246 -0.657  -0.119 -0.773  0.046 -0.828  0.214 -0.868  0.388 -0.868  0.557 -0.838  0.722 -0.783  0.894 -0.768  1.068 -0.768
1c#kai#kai1#jhjung5/t  -0.600 -1.494  -0.494 -1.283  -0.407 -1.064  -0.332 -0.840  -0.257 -0.615  -0.200 -0.386  -0.153 -0.155  -0.079 0.070  -0.004 0.294  0.071 0.518  0.128 0.748  0.198 0.974  0.220 1.206  0.276 1.434  0.351 1.658  0.426 1.882  0.345 1.788  0.249 1.574  0.174 1.350  0.099 1.125  0.024 0.901  -0.040 0.673  -0.103 0.446  -0.177 0.221  -0.227 -0.007  -0.249 -0.241  -0.302 -0.471  -0.302 -0.707  -0.302 -0.943  -0.269 -1.170  -0.128 -1.353  0.096 -1.428  0.322 -1.494  0.271 -1.333  0.148 -1.131  0.025 -0.929  -0.098 -0.727  -0.220 -0.525  -0.343 -0.323  -0.466 -0.121  -0.589 0.081  -0.606 0.198  -0.378 0.147  -0.142 0.147  0.086 0.201  0.319 0.221  0.555 0.221  0.792 0.221  1.028 0.221  1.265 0.221
1c#kai#kai1#jhjung5/u  -0.957 0.903  -0.957 0.749  -0.958 0.596  -1.007 0.450  -1.055 0.304  -1.058 0.150  -1.058 -0.003  -1.058 -0.157  -1.058 -0.311  -1.058 -0.465  -1.057 -0.619  -1.008 -0.765  -0.960 -0.911  -0.837 -1.000  -0.709 -1.085  -0.566 -1.122  -0.412 -1.122  -0.285 -1.058  -0.176 -0.949  -0.067 -0.840  0.023 -0.716  0.108 -0.588  0.194 -0.460  0.279 -0.332  0.362 -0.203  0.411 -0.057  0.460 0.089  0.508 0.235  0.557 0.381  0.606 0.527  0.654 0.673  0.703 0.819  0.752 0.965  0.800 1.111  0.849 1.257  0.811 1.226  0.725 1.098  0.650 0.965  0.602 0.819  0.562 0.671  0.562 0.517  0.552 0.365  0.503 0.219  0.461 0.072  0.461 -0.082  0.469 -0.234  0.518 -0.380  0.574 -0.518  0.720 -0.567  0.866 -0.616
1c#kai#kai1#jhjung5/n  -0.468 1.371  -0.370 1.224  -0.277 1.075  -0.277 0.899  -0.301 0.726  -0.357 0.558  -0.372 0.384  -0.382 0.210  -0.480 0.063  -0.572 -0.087  -0.628 -0.255  -0.684 -0.422  -0.740 -0.590  -0.795 -0.758  -0.852 -0.925  -0.951 -1.072  -1.033 -1.196  -0.935 -1.049  -0.843 -0.899  -0.787 -0.732  -0.713 -0.573  -0.615 -0.426  -0.537 -0.269  -0.481 -0.101  -0.387 0.047  -0.281 0.188  -0.175 0.330  -0.077 0.477  0.026 0.618  0.173 0.716  0.320 0.814  0.467 0.912  0.619 1.001  0.786 1.057  0.897 1.000  0.953 0.832  0.965 0.657  0.955 0.482  0.899 0.314  0.823 0.156  0.725 0.009  0.678 -0.153  0.678 -0.330  0.628 -0.499  0.583 -0.668  0.583 -0.845  0.666 -0.977  0.813 -1.075  0.979 -1.112  1.156 -1.112
1c#kai#kai1#jhjung5/a  0.180 1.437  0.032 1.338  -0.115 1.240  -0.263 1.141  -0.391 1.022  -0.490 0.875  -0.588 0.727  -0.687 0.579  -0.751 0.414  -0.807 0.245  -0.864 0.077  -0.883 -0.098  -0.883 -0.276  -0.883 -0.454  -0.883 -0.631  -0.883 -0.809  -0.883 -0.987  -0.845 -1.158  -0.777 -1.316  -0.608 -1.372  -0.450 -1.346  -0.303 -1.248  -0.171 -1.129  -0.045 -1.004  0.064 -0.864  0.162 -0.716  0.226 -0.551  0.293 -0.388  0.392 -0.240  0.446 -0.079  0.446 0.099  0.540 0.248  0.632 0.400  0.688 0.568  0.712 0.742  0.717 0.919  0.773 1.088  0.751 1.096  0.652 0.948  0.584 0.786  0.527 0.617  0.471 0.448  0.446 0.275  0.446 0.097  0.446 -0.081  0.446 -0.259  0.450 -0.436  0.506 -0.604  0.623 -0.690  0.801 -0.690
1c#kai#kai1#jhjung5/m  -0.808 0.950  -0.577 1.027  -0.563 0.803  -0.635 0.571  -0.645 0.329  -0.712 0.096  -0.789 -0.135  -0.852 -0.370  -0.918 -0.604  -0.995 -0.835  -1.054 -1.069  -1.054 -1.201  -1.024 -0.967  -0.889 -0.764  -0.812 -0.533  -0.705 -0.314  -0.584 -0.103  -0.455 0.103  -0.346 0.321  -0.218 0.527  -0.083 0.730  0.033 0.794  0.071 0.563  0.009 0.329  -0.006 0.088  -0.081 -0.143  -0.140 -0.380  -0.212 -0.612  -0.289 -0.843  -0.270 -0.786  -0.193 -0.555  -0.125 -0.321  -0.057 -0.089  0.078 0.114  0.213 0.316  0.308 0.539  0.465 0.709  0.667 0.844  0.876 0.966  1.092 1.000  1.227 0.797  1.107 0.594  1.028 0.367  0.989 0.128  1.016 -0.111  1.071 -0.345  1.127 -0.559  1.333 -0.685  1.575 -0.680  1.806 -0.603
1c#kai#kai1#jhjung5/e  -0.492 -0.761  -0.369 -0.700  -0.246 -0.639  -0.124 -0.577  -0.027 -0.480  0.069 -0.383  0.166 -0.286  0.263 -0.189  0.360 -0.092  0.438 0.016  0.481 0.146  0.533 0.272  0.609 0.386  0.685 0.500  0.733 0.628  0.776 0.758  0.787 0.893  0.787 1.030  0.787 1.167  0.787 1.304  0.685 1.339  0.548 1.339  0.428 1.283  0.314 1.207  0.206 1.124  0.109 1.027  0.012 0.930  -0.074 0.824  -0.150 0.710  -0.226 0.596  -0.302 0.482  -0.378 0.368  -0.444 0.248  -0.505 0.125  -0.566 0.003  -0.583 -0.130  -0.583 -0.267  -0.614 -0.399  -0.658 -0.529  -0.674 -0.663  -0.674 -0.800  -0.647 -0.933  -0.604 -1.063  -0.544 -1.185  -0.468 -1.299  -0.386 -1.405  -0.256 -1.449  -0.126 -1.492  0.011 -1.492  0.148 -1.492
1c#kai#kai1#jhjung5/h  -0.661 -0.879  -0.503 -0.721  -0.361 -0.549  -0.232 -0.366  -0.108 -0.180  0.017 0.006  0.101 0.211  0.205 0.407  0.276 0.619  0.344 0.832  0.401 1.048  0.472 1.260  0.493 1.481  0.493 1.704  0.419 1.905  0.248 1.859  0.158 1.659  0.073 1.461  0.073 1.238  0.025 1.022  -0.042 0.809  -0.096 0.592  -0.155 0.376  -0.189 0.158  -0.233 -0.060  -0.294 -0.274  -0.316 -0.495  -0.390 -0.704  -0.451 -0.914  -0.520 -1.121  -0.601 -1.329  -0.650 -1.475  -0.579 -1.263  -0.508 -1.051  -0.410 -0.850  -0.336 -0.639  -0.244 -0.438  -0.134 -0.244  -0.048 -0.038  0.063 0.154  0.247 0.274  0.434 0.205  0.493 -0.000  0.486 -0.223  0.429 -0.439  0.388 -0.656  0.338 -0.872  0.299 -1.084  0.438 -1.228  0.650 -1.193
1c#kai#kai1#jhjung5/a  -0.005 1.433  -0.106 1.281  -0.208 1.128  -0.310 0.975  -0.405 0.819  -0.463 0.645  -0.542 0.482  -0.643 0.329  -0.721 0.164  -0.779 -0.010  -0.837 -0.184  -0.895 -0.358  -0.953 -0.532  -0.981 -0.710  -0.981 -0.894  -0.981 -1.077  -0.927 -1.222  -0.753 -1.280  -0.593 -1.237  -0.440 -1.136  -0.323 -0.998  -0.222 -0.845  -0.126 -0.689  -0.031 -0.532  0.063 -0.374  0.133 -0.206  0.191 -0.032  0.273 0.132  0.355 0.297  0.386 0.473  0.388 0.656  0.470 0.820  0.552 0.984  0.618 1.154  0.676 1.328  0.623 1.169  0.581 0.992  0.581 0.809  0.542 0.632  0.484 0.458  0.484 0.275  0.484 0.091  0.484 -0.092  0.484 -0.276  0.495 -0.457  0.553 -0.631  0.634 -0.794  0.736 -0.947  0.886 -1.008  1.070 -1.008
1c#kai#kai1#jhjung5/l  -0.909 -1.608  -0.811 -1.510  -0.717 -1.409  -0.640 -1.294  -0.563 -1.179  -0.484 -1.066  -0.368 -0.990  -0.273 -0.893  -0.196 -0.778  -0.120 -0.663  -0.043 -0.547  0.034 -0.432  0.082 -0.303  0.140 -0.178  0.211 -0.060  0.282 0.059  0.326 0.190  0.370 0.322  0.413 0.453  0.457 0.584  0.531 0.701  0.590 0.824  0.617 0.959  0.640 1.096  0.640 1.234  0.640 1.372  0.571 1.474  0.458 1.543  0.381 1.428  0.294 1.322  0.196 1.224  0.134 1.104  0.090 0.972  0.047 0.841  0.003 0.710  -0.035 0.577  -0.069 0.442  -0.110 0.310  -0.150 0.178  -0.183 0.044  -0.194 -0.094  -0.194 -0.232  -0.194 -0.370  -0.223 -0.504  -0.254 -0.638  -0.254 -0.776  -0.298 -0.907  -0.313 -1.043  -0.297 -1.179  -0.254 -1.310
1c#kai#kai1#jhjung5/l  -1.076 -1.157  -0.941 -1.111  -0.805 -1.066  -0.669 -1.021  -0.532 -0.979  -0.393 -0.945  -0.285 -0.857  -0.184 -0.756  -0.082 -0.655  0.007 -0.544  0.086 -0.424  0.165 -0.305  0.233 -0.179  0.295 -0.051  0.340 0.085  0.376 0.224  0.424 0.356  0.504 0.475  0.542 0.613  0.580 0.751  0.625 0.886  0.671 1.022  0.716 1.158  0.761 1.294  0.760 1.429  0.686 1.509  0.556 1.457  0.477 1.338  0.398 1.219  0.318 1.100  0.239 0.980  0.138 0.879  0.060 0.765  0.025 0.626  -0.044 0.502  -0.106 0.375  -0.140 0.237  -0.184 0.100  -0.229 -0.036  -0.274 -0.171  -0.323 -0.306  -0.387 -0.434  -0.420 -0.569  -0.435 -0.709  -0.475 -0.846  -0.475 -0.989  -0.475 -1.132  -0.437 -1.269  -0.357 -1.383  -0.256 -1.485
1c#kai#kai1#jhjung5/a  0.372 1.604  0.188 1.543  0.057 1.411  -0.057 1.255  -0.195 1.117  -0.318 0.968  -0.426 0.806  -0.534 0.645  -0.619 0.472  -0.677 0.286  -0.724 0.098  -0.779 -0.089  -0.828 -0.275  -0.828 -0.470  -0.828 -0.664  -0.828 -0.859  -0.797 -1.048  -0.712 -1.209  -0.527 -1.270  -0.363 -1.180  -0.223 -1.050  -0.116 -0.888  -0.008 -0.726  0.080 -0.554  0.141 -0.370  0.203 -0.186  0.264 -0.001  0.326 0.183  0.387 0.368  0.449 0.552  0.510 0.737  0.532 0.928  0.557 1.118  0.604 1.267  0.517 1.093  0.452 0.914  0.451 0.719  0.389 0.535  0.372 0.343  0.342 0.154  0.292 -0.033  0.292 -0.227  0.259 -0.416  0.212 -0.603  0.212 -0.797  0.212 -0.992  0.212 -1.186  0.311 -1.309  0.498 -1.356  0.692 -1.356
1c#kai#kai1#jhjung5/k  -0.549 -0.336  -0.393 -0.145  -0.218 0.029  -0.098 0.250  0.023 0.470  0.147 0.688  0.277 0.903  0.392 1.126  0.495 1.353  0.627 1.564  0.659 1.810  0.576 1.947  0.379 1.800  0.232 1.597  0.100 1.383  -0.000 1.153  -0.080 0.914  -0.152 0.674  -0.182 0.426  -0.226 0.179  -0.287 -0.063  -0.320 -0.311  -0.381 -0.554  -0.444 -0.796  -0.518 -1.025  -0.656 -1.235  -0.707 -1.295  -0.707 -1.044  -0.649 -0.801  -0.532 -0.581  -0.463 -0.340  -0.337 -0.124  -0.155 0.049  0.065 0.166  0.313 0.189  0.558 0.152  0.711 -0.033  0.686 -0.281  0.581 -0.506  0.438 -0.711  0.228 -0.851  -0.004 -0.914  -0.243 -0.841  -0.423 -0.684  -0.265 -0.554  -0.020 -0.599  0.141 -0.768  0.280 -0.977  0.441 -1.169  0.659 -1.282
1c#kai#kai1#jhjung5/e  -0.323 -0.933  -0.200 -0.851  -0.077 -0.769  0.034 -0.674  0.139 -0.569  0.243 -0.465  0.329 -0.346  0.411 -0.223  0.486 -0.096  0.552 0.036  0.618 0.168  0.675 0.303  0.722 0.443  0.751 0.586  0.751 0.734  0.734 0.878  0.687 1.018  0.618 1.142  0.495 1.223  0.373 1.305  0.227 1.313  0.080 1.313  -0.061 1.270  -0.201 1.224  -0.327 1.148  -0.449 1.066  -0.539 0.959  -0.585 0.819  -0.632 0.679  -0.679 0.539  -0.714 0.397  -0.714 0.249  -0.714 0.102  -0.714 -0.046  -0.714 -0.193  -0.714 -0.341  -0.714 -0.489  -0.684 -0.631  -0.637 -0.771  -0.549 -0.880  -0.426 -0.962  -0.301 -1.038  -0.161 -1.085  -0.021 -1.128  0.127 -1.128  0.274 -1.125  0.414 -1.078  0.554 -1.031  0.702 -1.031  0.849 -1.031
1c#kai#kai1#jhjung5/h  -0.959 -0.684  -0.764 -0.606  -0.598 -0.477  -0.440 -0.339  -0.277 -0.206  -0.116 -0.071  0.045 0.064  0.164 0.235  0.273 0.415  0.397 0.586  0.515 0.761  0.605 0.950  0.672 1.150  0.723 1.353  0.723 1.564  0.632 1.747  0.431 1.750  0.252 1.648  0.125 1.483  0.039 1.290  -0.019 1.088  -0.070 0.883  -0.116 0.677  -0.166 0.472  -0.224 0.269  -0.284 0.067  -0.350 -0.134  -0.398 -0.339  -0.420 -0.546  -0.487 -0.747  -0.541 -0.951  -0.592 -1.156  -0.653 -1.337  -0.649 -1.126  -0.596 -0.922  -0.513 -0.730  -0.449 -0.538  -0.341 -0.372  -0.214 -0.204  -0.048 -0.077  0.162 -0.073  0.367 -0.107  0.468 -0.274  0.403 -0.474  0.366 -0.679  0.366 -0.891  0.386 -1.099  0.522 -1.159  0.722 -1.093  0.927 -1.041
1c#kai#kai1#jhjung5/a  0.551 1.239  0.367 1.178  0.177 1.155  -0.006 1.120  -0.168 1.012  -0.310 0.882  -0.447 0.745  -0.557 0.585  -0.647 0.416  -0.709 0.232  -0.770 0.048  -0.831 -0.136  -0.892 -0.320  -0.954 -0.503  -0.960 -0.696  -0.960 -0.890  -0.960 -1.084  -0.960 -1.278  -0.778 -1.340  -0.608 -1.296  -0.449 -1.187  -0.312 -1.050  -0.181 -0.908  -0.074 -0.746  0.034 -0.585  0.137 -0.422  0.198 -0.238  0.259 -0.054  0.337 0.122  0.445 0.283  0.515 0.462  0.551 0.650  0.564 0.840  0.672 1.001  0.718 1.181  0.718 1.271  0.718 1.078  0.659 0.894  0.606 0.707  0.559 0.519  0.501 0.335  0.440 0.151  0.378 -0.033  0.317 -0.217  0.299 -0.408  0.299 -0.602  0.299 -0.795  0.299 -0.989  0.367 -1.134  0.551 -1.195
1c#kai#kai1#jhjung5/n  -0.392 0.822  -0.238 0.925  -0.123 0.954  -0.123 0.768  -0.171 0.591  -0.229 0.415  -0.288 0.239  -0.347 0.063  -0.408 -0.112  -0.476 -0.284  -0.545 -0.456  -0.635 -0.617  -0.738 -0.771  -0.802 -0.944  -0.876 -1.112  -0.979 -1.266  -1.019 -1.212  -1.002 -1.032  -0.899 -0.878  -0.815 -0.715  -0.756 -0.539  -0.658 -0.382  -0.555 -0.228  -0.453 -0.074  -0.350 0.080  -0.247 0.234  -0.144 0.388  -0.041 0.543  0.069 0.691  0.180 0.839  0.302 0.979  0.433 1.110  0.584 1.207  0.760 1.266  0.894 1.147  1.025 1.016  0.988 0.846  0.930 0.670  0.871 0.494  0.813 0.318  0.741 0.149  0.638 -0.005  0.560 -0.171  0.503 -0.347  0.503 -0.533  0.537 -0.712  0.596 -0.888  0.655 -1.064  0.775 -1.178  0.951 -1.236
1c#kai#kai1#jhjung5/r  -1.610 -0.376  -1.486 -0.335  -1.362 -0.293  -1.251 -0.225  -1.142 -0.152  -1.041 -0.070  -0.949 0.023  -0.856 0.115  -0.763 0.208  -0.671 0.300  -0.578 0.393  -0.558 0.515  -0.558 0.646  -0.590 0.772  -0.631 0.896  -0.560 0.939  -0.430 0.939  -0.303 0.913  -0.179 0.871  -0.055 0.830  0.070 0.788  0.194 0.747  0.318 0.706  0.442 0.664  0.566 0.623  0.692 0.588  0.822 0.588  0.921 0.571  0.849 0.462  0.776 0.353  0.703 0.245  0.631 0.136  0.546 0.039  0.438 -0.034  0.329 -0.107  0.281 -0.226  0.240 -0.350  0.231 -0.480  0.231 -0.611  0.231 -0.742  0.231 -0.872  0.263 -0.998  0.304 -1.122  0.400 -1.192  0.524 -1.234  0.640 -1.214  0.749 -1.142  0.860 -1.073  0.984 -1.031  1.108 -0.990
1c#kai#kai1#jhjung5/y  -0.714 0.595  -0.654 0.776  -0.525 0.915  -0.467 1.082  -0.471 0.892  -0.529 0.710  -0.529 0.519  -0.529 0.328  -0.503 0.162  -0.314 0.172  -0.139 0.243  -0.003 0.378  0.150 0.491  0.250 0.642  0.337 0.810  0.446 0.967  0.561 1.120  0.585 1.303  0.585 1.494  0.450 1.433  0.399 1.268  0.399 1.077  0.399 0.886  0.399 0.695  0.399 0.504  0.369 0.317  0.308 0.136  0.276 -0.050  0.266 -0.240  0.214 -0.422  0.206 -0.612  0.159 -0.798  0.101 -0.980  0.090 -1.169  0.039 -1.352  -0.022 -1.534  -0.118 -1.697  -0.258 -1.689  -0.406 -1.569  -0.534 -1.430  -0.587 -1.248  -0.541 -1.062  -0.484 -0.880  -0.353 -0.752  -0.194 -0.646  -0.035 -0.540  0.124 -0.434  0.284 -0.330  0.465 -0.270  0.647 -0.209
1c#kai#kai1#jhjung5/n  -0.776 0.783  -0.641 0.918  -0.511 1.056  -0.406 1.214  -0.300 1.187  -0.197 1.028  -0.197 0.837  -0.197 0.647  -0.221 0.461  -0.279 0.280  -0.279 0.089  -0.324 -0.094  -0.384 -0.274  -0.444 -0.455  -0.490 -0.640  -0.539 -0.823  -0.599 -1.004  -0.660 -1.185  -0.720 -1.365  -0.772 -1.522  -0.712 -1.341  -0.652 -1.161  -0.591 -0.980  -0.531 -0.800  -0.471 -0.619  -0.397 -0.444  -0.312 -0.274  -0.279 -0.091  -0.246 0.089  -0.140 0.247  -0.035 0.405  0.063 0.568  0.123 0.748  0.243 0.892  0.378 1.026  0.566 1.031  0.756 1.031  0.900 0.967  0.961 0.787  0.962 0.597  0.921 0.413  0.861 0.232  0.801 0.052  0.741 -0.129  0.714 -0.315  0.714 -0.505  0.714 -0.695  0.813 -0.856  0.947 -0.977  1.127 -1.037
1c#kai#kai1#jhjung5/d  -0.190 0.524  -0.366 0.501  -0.496 0.370  -0.598 0.216  -0.663 0.043  -0.759 -0.115  -0.813 -0.291  -0.851 -0.472  -0.851 -0.657  -0.851 -0.842  -0.851 -1.028  -0.800 -1.205  -0.725 -1.357  -0.556 -1.316  -0.422 -1.189  -0.276 -1.079  -0.180 -0.921  -0.115 -0.748  -0.033 -0.582  0.034 -0.411  0.115 -0.250  0.132 -0.067  0.181 0.112  0.239 0.288  0.298 0.463  0.385 0.625  0.420 0.800  0.469 0.977  0.522 1.153  0.538 1.336  0.597 1.512  0.623 1.693  0.581 1.618  0.573 1.435  0.539 1.254  0.485 1.076  0.437 0.898  0.384 0.720  0.369 0.538  0.338 0.360  0.259 0.193  0.217 0.014  0.196 -0.168  0.166 -0.350  0.143 -0.532  0.115 -0.714  0.115 -0.899  0.158 -1.078  0.298 -1.191  0.471 -1.255
1c#kai#kai1#jhjung5/e  -0.125 -0.690  -0.081 -0.559  -0.038 -0.429  0.035 -0.312  0.111 -0.198  0.172 -0.076  0.216 0.055  0.259 0.186  0.303 0.316  0.336 0.449  0.336 0.586  0.336 0.724  0.336 0.862  0.336 1.000  0.312 1.133  0.268 1.264  0.187 1.357  0.056 1.400  -0.070 1.405  -0.184 1.329  -0.299 1.252  -0.379 1.141  -0.455 1.027  -0.515 0.904  -0.559 0.774  -0.598 0.642  -0.632 0.508  -0.665 0.375  -0.678 0.239  -0.678 0.101  -0.678 -0.037  -0.678 -0.175  -0.652 -0.308  -0.608 -0.439  -0.549 -0.562  -0.472 -0.676  -0.393 -0.788  -0.278 -0.864  -0.164 -0.941  -0.039 -0.995  0.092 -1.039  0.223 -1.082  0.353 -1.126  0.487 -1.151  0.625 -1.151  0.762 -1.151  0.900 -1.151  1.028 -1.119  1.143 -1.043  1.257 -0.967
1c#kai#kai1#jhjung5/r  -0.823 -1.033  -0.780 -0.907  -0.738 -0.780  -0.696 -0.653  -0.654 -0.527  -0.645 -0.395  -0.645 -0.261  -0.645 -0.128  -0.645 0.006  -0.645 0.140  -0.645 0.273  -0.611 0.401  -0.569 0.528  -0.527 0.654  -0.485 0.781  -0.442 0.908  -0.400 1.035  -0.318 1.121  -0.191 1.163  -0.065 1.175  0.062 1.132  0.191 1.101  0.324 1.101  0.456 1.090  0.582 1.048  0.701 0.995  0.775 0.884  0.849 0.773  0.796 0.674  0.702 0.580  0.607 0.485  0.561 0.361  0.519 0.234  0.451 0.120  0.377 0.009  0.316 -0.108  0.274 -0.235  0.231 -0.362  0.189 -0.488  0.147 -0.615  0.105 -0.742  0.067 -0.869  0.067 -1.003  0.067 -1.136  0.067 -1.270  0.080 -1.394  0.207 -1.436  0.333 -1.478  0.467 -1.478  0.600 -1.478
1c#kai#kai1#jhjung5/p  -0.074 0.962  0.056 1.135  0.175 1.315  0.267 1.508  0.199 1.350  0.107 1.156  0.056 0.949  0.011 0.740  -0.057 0.535  -0.125 0.330  -0.186 0.123  -0.249 -0.083  -0.311 -0.290  -0.363 -0.499  -0.378 -0.713  -0.408 -0.926  -0.457 -1.136  -0.510 -1.346  -0.572 -1.552  -0.596 -1.765  -0.683 -1.862  -0.641 -1.653  -0.586 -1.444  -0.526 -1.237  -0.474 -1.027  -0.421 -0.818  -0.359 -0.611  -0.298 -0.404  -0.244 -0.195  -0.188 0.013  -0.129 0.220  -0.042 0.417  0.030 0.621  0.129 0.810  0.230 0.991  0.429 1.049  0.645 1.049  0.847 0.994  0.926 0.802  0.917 0.588  0.857 0.381  0.738 0.209  0.564 0.083  0.384 -0.037  0.182 -0.081  -0.013 -0.042  0.014 -0.010  0.173 -0.155  0.374 -0.231  0.578 -0.212
1c#kai#kai1#jhjung5/s  -1.514 -0.643  -1.426 -0.511  -1.337 -0.378  -1.249 -0.246  -1.160 -0.113  -1.083 0.026  -1.012 0.168  -0.941 0.311  -0.830 0.425  -0.717 0.538  -0.614 0.658  -0.526 0.791  -0.424 0.905  -0.272 0.956  -0.127 1.018  0.005 1.106  0.142 1.182  0.301 1.182  0.458 1.166  0.609 1.115  0.696 1.019  0.696 0.859  0.727 0.705  0.777 0.554  0.792 0.397  0.792 0.238  0.747 0.086  0.696 -0.065  0.646 -0.217  0.587 -0.359  0.436 -0.410  0.288 -0.467  0.156 -0.555  0.023 -0.643  -0.136 -0.643  -0.291 -0.626  -0.423 -0.538  -0.550 -0.451  -0.391 -0.451  -0.237 -0.470  -0.104 -0.558  0.029 -0.645  0.180 -0.695  0.331 -0.746  0.482 -0.796  0.635 -0.835  0.794 -0.835  0.954 -0.835  1.113 -0.835  1.272 -0.835
1c#kai#kai1#jhjung5/e  -0.816 -0.836  -0.649 -0.836  -0.485 -0.825  -0.346 -0.733  -0.207 -0.640  -0.068 -0.547  0.070 -0.455  0.183 -0.335  0.275 -0.196  0.368 -0.058  0.461 0.081  0.553 0.220  0.646 0.359  0.738 0.498  0.759 0.659  0.759 0.826  0.759 0.993  0.759 1.160  0.621 1.252  0.482 1.345  0.322 1.370  0.155 1.370  0.012 1.292  -0.127 1.199  -0.254 1.092  -0.372 0.974  -0.490 0.856  -0.549 0.701  -0.602 0.543  -0.691 0.402  -0.784 0.263  -0.850 0.112  -0.903 -0.047  -0.921 -0.211  -0.921 -0.378  -0.880 -0.538  -0.827 -0.697  -0.692 -0.772  -0.533 -0.825  -0.368 -0.836  -0.201 -0.836  -0.034 -0.836  0.133 -0.836  0.300 -0.836  0.460 -0.795  0.619 -0.743  0.784 -0.731  0.951 -0.731  1.118 -0.731  1.285 -0.731
