2#kai#kai0#jhkim1/A  -1.107 -1.580  -1.050 -1.397  -1.050 -1.205  -0.999 -1.024  -0.928 -0.848  -0.897 -0.658  -0.851 -0.472  -0.790 -0.290  -0.714 -0.113  -0.622 0.055  -0.520 0.218  -0.434 0.390  -0.322 0.545  -0.230 0.711  -0.150 0.885  -0.051 1.050  0.090 1.176  0.224 1.309  0.310 1.481  0.371 1.646  0.425 1.463  0.425 1.270  0.441 1.080  0.488 0.894  0.534 0.707  0.539 0.515  0.585 0.337  0.652 0.165  0.675 -0.024  0.719 -0.211  0.757 -0.400  0.766 -0.591  0.819 -0.775  0.880 -0.957  0.880 -1.032  0.721 -0.924  0.562 -0.816  0.403 -0.708  0.244 -0.600  0.085 -0.492  -0.074 -0.384  -0.233 -0.276  -0.392 -0.168  -0.551 -0.060  -0.584 0.009  -0.391 0.009  -0.199 0.009  -0.007 0.009  0.185 0.009  0.368 0.066
2#kai#kai0#jhkim1/X  0.720 1.537  0.616 1.381  0.549 1.205  0.446 1.049  0.343 0.893  0.283 0.714  0.226 0.535  0.180 0.352  0.103 0.181  0.028 0.008  -0.047 -0.163  -0.144 -0.324  -0.209 -0.500  -0.306 -0.661  -0.377 -0.830  -0.417 -1.002  -0.550 -1.135  -0.560 -1.320  -0.561 -1.391  -0.566 -1.202  -0.570 -1.014  -0.574 -0.825  -0.578 -0.637  -0.583 -0.449  -0.587 -0.260  -0.591 -0.072  -0.595 0.117  -0.600 0.305  -0.604 0.494  -0.608 0.682  -0.613 0.871  -0.617 1.059  -0.613 1.220  -0.516 1.058  -0.408 0.908  -0.253 0.801  -0.169 0.633  -0.042 0.501  0.105 0.385  0.238 0.251  0.358 0.106  0.479 -0.039  0.606 -0.177  0.739 -0.311  0.853 -0.460  0.958 -0.617  1.081 -0.755  1.228 -0.870  1.331 -1.027  1.391 -1.206
2#kai#kai0#jhkim1/Y  -0.955 0.863  -0.906 0.717  -0.842 0.578  -0.773 0.440  -0.724 0.294  -0.661 0.155  -0.592 0.017  -0.508 -0.111  -0.403 -0.220  -0.280 -0.312  -0.140 -0.354  -0.002 -0.314  0.106 -0.205  0.174 -0.071  0.241 0.065  0.334 0.188  0.415 0.318  0.484 0.455  0.569 0.583  0.661 0.706  0.748 0.832  0.823 0.965  0.871 1.111  0.909 1.260  0.912 1.291  0.858 1.148  0.772 1.020  0.679 0.898  0.583 0.778  0.487 0.658  0.391 0.538  0.295 0.418  0.199 0.298  0.103 0.178  0.007 0.058  -0.089 -0.062  -0.185 -0.182  -0.281 -0.302  -0.377 -0.422  -0.466 -0.544  -0.429 -0.693  -0.407 -0.844  -0.407 -0.998  -0.366 -1.145  -0.346 -1.295  -0.331 -1.447  -0.294 -1.596  -0.285 -1.749  -0.285 -1.903  -0.285 -2.057
2#kai#kai0#jhkim1/E  -0.720 0.826  -0.523 0.826  -0.325 0.826  -0.128 0.826  0.065 0.860  0.259 0.898  0.452 0.937  0.643 0.984  0.831 1.044  0.918 0.964  0.756 0.851  0.595 0.739  0.433 0.626  0.271 0.514  0.109 0.401  -0.052 0.289  -0.214 0.176  -0.268 0.098  -0.073 0.080  0.120 0.042  0.317 0.042  0.515 0.042  0.712 0.042  0.691 0.095  0.516 0.186  0.341 0.277  0.166 0.368  -0.009 0.458  -0.184 0.549  -0.358 0.640  -0.533 0.731  -0.608 0.657  -0.608 0.459  -0.608 0.262  -0.608 0.065  -0.608 -0.132  -0.608 -0.329  -0.608 -0.526  -0.608 -0.723  -0.608 -0.920  -0.608 -1.117  -0.601 -1.312  -0.490 -1.475  -0.326 -1.583  -0.129 -1.583  0.068 -1.583  0.265 -1.583  0.462 -1.583  0.658 -1.591  0.849 -1.639
2#kai#kai0#jhkim1/F  -0.502 1.022  -0.352 0.984  -0.210 0.926  -0.068 0.871  0.087 0.871  0.241 0.871  0.396 0.871  0.551 0.871  0.704 0.891  0.855 0.921  1.002 0.970  0.857 0.962  0.703 0.951  0.549 0.941  0.394 0.931  0.240 0.921  0.086 0.910  -0.069 0.900  -0.223 0.890  -0.378 0.879  -0.502 0.841  -0.502 0.687  -0.502 0.532  -0.489 0.379  -0.452 0.231  -0.429 0.083  -0.351 -0.048  -0.351 -0.203  -0.334 -0.356  -0.295 -0.505  -0.246 -0.652  -0.200 -0.799  -0.200 -0.954  -0.200 -1.109  -0.200 -1.263  -0.200 -1.418  -0.200 -1.573  -0.199 -1.661  -0.191 -1.506  -0.183 -1.352  -0.176 -1.197  -0.168 -1.043  -0.160 -0.888  -0.152 -0.734  -0.041 -0.688  0.114 -0.688  0.268 -0.688  0.417 -0.650  0.561 -0.595  0.705 -0.537
2#kai#kai0#jhkim1/H  -0.879 1.085  -0.879 0.917  -0.879 0.748  -0.879 0.580  -0.879 0.412  -0.879 0.243  -0.879 0.075  -0.879 -0.094  -0.870 -0.261  -0.829 -0.424  -0.822 -0.592  -0.815 -0.759  -0.765 -0.919  -0.765 -1.070  -0.747 -0.902  -0.729 -0.735  -0.712 -0.567  -0.694 -0.400  -0.676 -0.232  -0.659 -0.065  -0.596 0.086  -0.475 0.174  -0.308 0.186  -0.142 0.219  0.019 0.265  0.182 0.307  0.347 0.340  0.515 0.345  0.676 0.389  0.715 0.529  0.715 0.698  0.715 0.866  0.715 1.034  0.715 1.195  0.715 1.027  0.715 0.858  0.715 0.690  0.715 0.521  0.715 0.353  0.715 0.185  0.746 0.019  0.772 -0.146  0.772 -0.315  0.772 -0.483  0.772 -0.652  0.816 -0.813  0.829 -0.979  0.829 -1.147  0.845 -1.314  0.886 -1.477
2#kai#kai0#jhkim1/J  -0.804 0.827  -0.693 0.753  -0.567 0.722  -0.434 0.707  -0.302 0.692  -0.169 0.684  -0.036 0.684  0.097 0.684  0.228 0.704  0.357 0.738  0.483 0.780  0.617 0.780  0.744 0.819  0.875 0.827  0.910 0.830  0.776 0.835  0.643 0.841  0.510 0.847  0.377 0.853  0.244 0.858  0.111 0.864  -0.022 0.870  -0.137 0.856  -0.137 0.723  -0.137 0.590  -0.105 0.461  -0.072 0.331  -0.041 0.202  -0.041 0.069  -0.010 -0.061  0.043 -0.181  0.110 -0.295  0.155 -0.420  0.229 -0.531  0.244 -0.659  0.263 -0.791  0.289 -0.921  0.292 -1.054  0.231 -1.169  0.136 -1.258  0.022 -1.326  -0.098 -1.383  -0.226 -1.412  -0.360 -1.412  -0.493 -1.412  -0.624 -1.405  -0.735 -1.331  -0.832 -1.241  -0.920 -1.142  -0.994 -1.031
2#kai#kai0#jhkim1/K  -0.547 1.828  -0.547 1.608  -0.547 1.389  -0.547 1.169  -0.547 0.950  -0.547 0.730  -0.547 0.511  -0.547 0.291  -0.547 0.072  -0.533 -0.146  -0.467 -0.354  -0.467 -0.574  -0.426 -0.787  -0.387 -1.000  -0.387 -1.220  -0.362 -1.344  -0.254 -1.153  -0.146 -0.962  -0.039 -0.770  0.069 -0.579  0.176 -0.388  0.284 -0.196  0.392 -0.005  0.499 0.186  0.607 0.378  0.715 0.569  0.822 0.760  0.930 0.952  1.037 1.143  0.939 1.063  0.771 0.931  0.558 0.878  0.410 0.731  0.254 0.594  0.049 0.518  -0.148 0.419  -0.319 0.287  -0.473 0.131  -0.605 -0.045  -0.708 -0.230  -0.685 -0.435  -0.488 -0.533  -0.286 -0.618  -0.078 -0.687  0.128 -0.761  0.325 -0.860  0.525 -0.949  0.729 -1.030  0.906 -1.153  1.061 -1.308
2#kai#kai0#jhkim1/N  -0.746 1.206  -0.746 1.028  -0.746 0.851  -0.782 0.679  -0.806 0.505  -0.837 0.332  -0.866 0.159  -0.886 -0.016  -0.925 -0.189  -0.925 -0.366  -0.925 -0.544  -0.925 -0.722  -0.854 -0.878  -0.786 -0.864  -0.748 -0.690  -0.709 -0.517  -0.670 -0.343  -0.632 -0.170  -0.593 0.004  -0.555 0.177  -0.516 0.350  -0.478 0.524  -0.434 0.638  -0.368 0.473  -0.291 0.314  -0.188 0.169  -0.062 0.043  0.059 -0.086  0.165 -0.228  0.244 -0.385  0.355 -0.499  0.506 -0.584  0.631 -0.710  0.733 -0.853  0.813 -1.011  0.982 -1.068  0.992 -0.905  0.992 -0.727  0.992 -0.549  0.992 -0.372  0.961 -0.199  0.932 -0.026  0.932 0.152  0.932 0.329  0.932 0.507  0.932 0.685  0.932 0.862  0.932 1.040  0.944 1.210  1.112 1.266
2#kai#kai0#jhkim1/P  -0.439 1.226  -0.439 1.017  -0.439 0.809  -0.439 0.600  -0.439 0.391  -0.468 0.185  -0.501 -0.020  -0.531 -0.224  -0.563 -0.427  -0.563 -0.636  -0.563 -0.845  -0.563 -1.054  -0.529 -1.259  -0.424 -1.423  -0.250 -1.539  -0.137 -1.554  -0.157 -1.346  -0.178 -1.138  -0.199 -0.930  -0.220 -0.723  -0.241 -0.515  -0.261 -0.307  -0.282 -0.099  -0.303 0.109  -0.324 0.317  -0.345 0.525  -0.365 0.733  -0.350 0.937  -0.233 1.096  -0.045 1.165  0.164 1.165  0.372 1.163  0.575 1.112  0.765 1.026  0.957 0.946  1.127 0.835  1.250 0.672  1.292 0.470  1.292 0.261  1.243 0.076  1.076 -0.049  0.880 -0.114  0.680 -0.173  0.485 -0.247  0.290 -0.322  0.085 -0.363  -0.122 -0.382  -0.331 -0.382  -0.540 -0.382  -0.749 -0.382
2#kai#kai0#jhkim1/Q  0.236 1.218  0.032 1.209  -0.157 1.133  -0.327 1.019  -0.494 0.901  -0.639 0.756  -0.735 0.575  -0.826 0.392  -0.842 0.191  -0.945 0.017  -0.945 -0.188  -0.945 -0.393  -0.945 -0.598  -0.939 -0.802  -0.847 -0.985  -0.679 -1.085  -0.485 -1.144  -0.280 -1.141  -0.079 -1.101  0.121 -1.055  0.284 -0.954  0.417 -0.802  0.581 -0.679  0.706 -0.517  0.814 -0.343  0.886 -0.155  0.886 0.050  0.861 0.252  0.812 0.451  0.753 0.646  0.630 0.810  0.514 0.979  0.355 1.099  0.167 1.176  -0.033 1.218  -0.177 1.156  -0.177 0.951  -0.177 0.746  -0.177 0.541  -0.177 0.336  -0.177 0.131  -0.177 -0.074  -0.079 -0.239  0.066 -0.384  0.211 -0.529  0.372 -0.655  0.497 -0.806  0.613 -0.962  0.763 -1.098  0.886 -1.262
2#kai#kai0#jhkim1/T  -1.436 0.638  -1.307 0.612  -1.179 0.586  -1.050 0.561  -0.921 0.539  -0.792 0.518  -0.663 0.496  -0.533 0.487  -0.402 0.487  -0.271 0.487  -0.140 0.487  -0.009 0.487  0.122 0.487  0.253 0.487  0.383 0.491  0.508 0.532  0.634 0.562  0.765 0.562  0.896 0.562  1.027 0.562  1.158 0.562  1.112 0.557  0.982 0.549  0.851 0.541  0.720 0.532  0.589 0.524  0.459 0.516  0.328 0.508  0.197 0.500  0.067 0.492  -0.005 0.428  -0.005 0.297  -0.005 0.166  -0.005 0.035  -0.005 -0.096  -0.005 -0.227  -0.005 -0.358  -0.005 -0.489  -0.017 -0.618  -0.049 -0.745  -0.081 -0.873  -0.106 -1.001  -0.132 -1.129  -0.162 -1.256  -0.235 -1.365  -0.306 -1.474  -0.306 -1.605  -0.306 -1.736  -0.306 -1.867  -0.306 -1.998
2#kai#kai0#jhkim1/U  -1.020 0.938  -1.020 0.783  -1.020 0.629  -1.020 0.474  -1.020 0.319  -1.020 0.164  -1.020 0.010  -1.020 -0.145  -1.020 -0.300  -1.020 -0.454  -1.020 -0.609  -0.983 -0.758  -0.934 -0.904  -0.853 -1.023  -0.715 -1.092  -0.565 -1.116  -0.419 -1.080  -0.281 -1.010  -0.186 -0.892  -0.083 -0.780  0.041 -0.687  0.134 -0.568  0.203 -0.430  0.281 -0.297  0.361 -0.164  0.445 -0.034  0.516 0.101  0.554 0.251  0.564 0.404  0.593 0.554  0.642 0.701  0.682 0.849  0.682 1.004  0.682 1.159  0.682 1.314  0.682 1.229  0.638 1.085  0.569 0.946  0.564 0.793  0.564 0.638  0.564 0.483  0.564 0.329  0.564 0.174  0.564 0.019  0.564 -0.135  0.615 -0.278  0.682 -0.417  0.682 -0.572  0.682 -0.726  0.682 -0.881
2#kai#kai0#jhkim1/V  -0.965 1.292  -0.937 1.180  -0.909 1.068  -0.896 0.955  -0.896 0.839  -0.882 0.725  -0.863 0.612  -0.844 0.498  -0.823 0.385  -0.786 0.276  -0.748 0.167  -0.706 0.060  -0.663 -0.047  -0.620 -0.154  -0.556 -0.250  -0.492 -0.346  -0.452 -0.453  -0.415 -0.563  -0.379 -0.672  -0.340 -0.780  -0.271 -0.872  -0.201 -0.964  -0.130 -1.054  -0.038 -1.123  0.054 -1.192  0.140 -1.242  0.177 -1.132  0.219 -1.026  0.283 -0.930  0.343 -0.833  0.343 -0.718  0.361 -0.608  0.424 -0.512  0.485 -0.414  0.521 -0.305  0.549 -0.194  0.549 -0.079  0.549 0.036  0.593 0.141  0.644 0.244  0.693 0.348  0.730 0.458  0.756 0.569  0.756 0.684  0.756 0.799  0.785 0.899  0.881 0.963  0.977 1.026  1.073 1.090  1.168 1.154
2#kai#kai0#jhkim1/W  -1.109 1.205  -1.052 1.034  -1.052 0.853  -1.052 0.673  -1.052 0.492  -1.046 0.312  -1.021 0.133  -0.995 -0.046  -0.992 -0.226  -0.939 -0.398  -0.928 -0.576  -0.848 -0.737  -0.753 -0.891  -0.605 -0.953  -0.477 -0.856  -0.398 -0.695  -0.371 -0.519  -0.350 -0.341  -0.315 -0.163  -0.295 0.016  -0.275 0.195  -0.250 0.374  -0.192 0.545  -0.125 0.712  -0.062 0.882  0.014 0.912  0.097 0.754  0.140 0.579  0.140 0.398  0.140 0.218  0.162 0.040  0.204 -0.136  0.240 -0.313  0.288 -0.486  0.311 -0.663  0.376 -0.824  0.503 -0.948  0.653 -0.971  0.797 -0.864  0.925 -0.736  1.010 -0.577  1.049 -0.406  1.049 -0.226  1.125 -0.063  1.163 0.109  1.163 0.289  1.163 0.470  1.219 0.637  1.289 0.803  1.333 0.978
2#kai#kai0#jhkim1/Y  -0.993 1.170  -0.846 1.219  -0.826 1.092  -0.826 0.938  -0.826 0.784  -0.826 0.629  -0.826 0.475  -0.812 0.322  -0.781 0.170  -0.727 0.027  -0.658 -0.111  -0.609 -0.258  -0.474 -0.318  -0.324 -0.353  -0.172 -0.383  -0.042 -0.307  0.084 -0.217  0.207 -0.125  0.306 -0.007  0.398 0.117  0.491 0.240  0.578 0.367  0.647 0.505  0.723 0.640  0.802 0.772  0.885 0.903  0.967 1.033  0.972 1.061  0.887 0.933  0.801 0.804  0.715 0.676  0.630 0.547  0.544 0.419  0.458 0.290  0.373 0.162  0.287 0.033  0.201 -0.095  0.116 -0.224  0.030 -0.352  -0.056 -0.481  -0.104 -0.621  -0.104 -0.775  -0.104 -0.929  -0.138 -1.080  -0.159 -1.231  -0.159 -1.386  -0.159 -1.540  -0.159 -1.695  -0.177 -1.847  -0.215 -1.997
