2#app#app25#app2545/p  0.046 0.475  -0.119 0.455  -0.119 0.270  -0.119 0.085  -0.175 -0.076  -0.305 -0.207  -0.436 -0.337  -0.448 -0.517  -0.464 -0.695  -0.595 -0.826  -0.772 -0.844  -0.792 -1.009  -0.943 -1.042  -0.943 -1.227  -0.943 -1.412  -0.943 -1.411  -0.830 -1.339  -0.778 -1.206  -0.670 -1.066  -0.509 -1.009  -0.448 -0.885  -0.347 -0.742  -0.284 -0.584  -0.202 -0.433  -0.119 -0.283  -0.119 -0.098  -0.119 0.086  0.007 0.145  0.046 0.291  0.046 0.476  0.067 0.640  0.211 0.680  0.272 0.804  0.376 0.885  0.376 1.069  0.496 1.134  0.541 1.274  0.700 1.299  0.720 1.134  0.905 1.134  1.035 1.080  1.035 0.895  1.035 0.710  1.035 0.525  0.901 0.475  0.870 0.321  0.697 0.310  0.520 0.290  0.390 0.159  0.211 0.145
1c#app#app26#app2620/p  0.465 0.657  0.445 0.486  0.318 0.359  0.292 0.203  0.162 0.154  0.108 -0.003  -0.019 -0.129  -0.148 -0.251  -0.317 -0.276  -0.443 -0.403  -0.443 -0.582  -0.483 -0.745  -0.595 -0.878  -0.644 -1.008  -0.801 -1.062  -0.897 -1.202  -0.968 -1.310  -1.049 -1.409  -1.049 -1.335  -1.047 -1.157  -0.920 -1.030  -0.897 -0.860  -0.773 -0.732  -0.647 -0.605  -0.595 -0.448  -0.500 -0.308  -0.373 -0.181  -0.247 -0.054  -0.141 0.081  -0.100 0.244  0.011 0.377  0.061 0.506  0.162 0.584  0.162 0.764  0.257 0.904  0.384 1.030  0.530 1.111  0.616 1.204  0.737 1.262  0.872 1.157  0.919 0.997  1.061 0.960  1.070 0.790  1.070 0.611  1.070 0.431  0.998 0.282  0.851 0.203  0.672 0.203  0.493 0.203  0.313 0.203
1c#app#app19#app1962/p  -0.131 0.714  -0.212 0.618  -0.323 0.497  -0.323 0.321  -0.323 0.144  -0.323 -0.032  -0.323 -0.208  -0.323 -0.384  -0.236 -0.525  -0.176 -0.689  -0.131 -0.858  -0.117 -1.028  -0.008 -1.164  0.061 -1.324  0.066 -1.498  0.156 -1.637  0.247 -1.776  0.156 -1.708  0.156 -1.532  0.061 -1.396  0.024 -1.228  -0.035 -1.066  -0.048 -0.893  -0.127 -0.735  -0.131 -0.560  -0.131 -0.384  -0.144 -0.209  -0.199 -0.042  -0.227 0.130  -0.227 0.306  -0.227 0.482  -0.227 0.658  -0.227 0.834  -0.227 1.011  -0.227 1.187  -0.227 1.363  -0.113 1.481  0.063 1.481  0.215 1.422  0.280 1.289  0.357 1.185  0.481 1.060  0.540 0.908  0.636 0.772  0.636 0.596  0.630 0.426  0.454 0.426  0.277 0.426  0.141 0.522  0.061 0.618
1c#app#app19#app1962/p  -0.398 0.190  -0.398 0.038  -0.398 -0.114  -0.398 -0.266  -0.398 -0.417  -0.398 -0.569  -0.322 -0.689  -0.298 -0.831  -0.298 -0.983  -0.212 -1.099  -0.139 -1.231  -0.098 -1.373  -0.019 -1.493  0.017 -1.629  0.103 -1.685  0.103 -1.533  0.103 -1.381  0.103 -1.230  0.103 -1.078  0.064 -0.935  0.003 -0.798  0.003 -0.646  0.003 -0.494  0.003 -0.342  -0.004 -0.192  -0.052 -0.048  -0.098 0.097  -0.098 0.249  -0.098 0.400  -0.098 0.552  -0.098 0.704  -0.098 0.856  -0.098 1.008  -0.098 1.159  -0.044 1.299  0.003 1.439  0.003 1.591  0.138 1.559  0.203 1.434  0.281 1.315  0.389 1.208  0.496 1.100  0.504 0.952  0.504 0.800  0.504 0.648  0.504 0.496  0.358 0.491  0.206 0.491  0.054 0.491  -0.098 0.491
3#apa#apa01#app0198/p  -0.714 0.777  -0.566 0.631  -0.422 0.566  -0.422 0.357  -0.276 0.294  -0.276 0.085  -0.276 -0.124  -0.276 -0.332  -0.276 -0.541  -0.276 -0.750  -0.276 -0.959  -0.230 -1.121  -0.130 -1.230  -0.130 -1.439  -0.130 -1.648  -0.023 -1.812  -0.092 -1.743  -0.130 -1.550  -0.130 -1.341  -0.130 -1.132  -0.130 -0.923  -0.130 -0.714  -0.130 -0.506  -0.224 -0.391  -0.276 -0.234  -0.276 -0.025  -0.276 0.184  -0.276 0.392  -0.276 0.601  -0.276 0.810  -0.276 1.019  -0.263 1.215  -0.130 1.290  0.009 1.361  0.217 1.361  0.426 1.361  0.600 1.326  0.669 1.146  0.846 1.069  0.892 0.906  0.892 0.697  0.892 0.488  0.746 0.426  0.660 0.252  0.600 0.069  0.413 0.047  0.308 -0.057  0.142 -0.099  -0.067 -0.099  -0.130 0.047
3#apa#apa01#app0198/p  -0.367 0.709  -0.367 0.509  -0.367 0.309  -0.367 0.109  -0.367 -0.091  -0.367 -0.292  -0.367 -0.492  -0.251 -0.575  -0.206 -0.731  -0.206 -0.931  -0.206 -1.131  -0.206 -1.331  -0.206 -1.532  -0.206 -1.732  -0.206 -1.788  -0.206 -1.588  -0.206 -1.387  -0.206 -1.187  -0.206 -0.987  -0.206 -0.787  -0.206 -0.587  -0.226 -0.395  -0.367 -0.253  -0.367 -0.053  -0.367 0.147  -0.367 0.347  -0.367 0.547  -0.367 0.747  -0.367 0.947  -0.367 1.147  -0.210 1.190  -0.068 1.329  0.123 1.351  0.323 1.351  0.524 1.351  0.686 1.261  0.857 1.190  0.917 1.050  0.917 0.850  0.917 0.650  0.917 0.450  0.917 0.250  0.792 0.102  0.650 -0.040  0.473 -0.094  0.273 -0.094  0.073 -0.094  -0.046 -0.012  -0.167 0.067  -0.206 0.227
1c#ibm#ibm0#r0113/p  0.065 0.734  -0.115 0.719  -0.115 0.523  -0.115 0.328  -0.115 0.132  -0.115 -0.063  -0.155 -0.249  -0.243 -0.424  -0.296 -0.607  -0.296 -0.802  -0.296 -0.998  -0.296 -1.193  -0.296 -1.388  -0.296 -1.584  -0.413 -1.731  -0.477 -1.690  -0.477 -1.495  -0.477 -1.299  -0.477 -1.104  -0.477 -0.908  -0.477 -0.713  -0.477 -0.517  -0.477 -0.322  -0.477 -0.127  -0.477 0.069  -0.477 0.264  -0.415 0.434  -0.296 0.580  -0.266 0.763  -0.128 0.902  0.010 1.040  0.171 1.147  0.345 1.235  0.501 1.349  0.652 1.456  0.788 1.397  0.840 1.223  0.968 1.080  0.968 0.885  0.949 0.694  0.861 0.519  0.788 0.341  0.755 0.159  0.617 0.021  0.479 -0.117  0.305 -0.169  0.110 -0.169  -0.086 -0.169  -0.281 -0.169  -0.296 0.011
1c#ibm#ibm0#r0113/p  0.190 0.701  0.190 0.511  0.181 0.324  0.097 0.154  0.012 -0.015  -0.048 -0.195  -0.108 -0.375  -0.168 -0.555  -0.228 -0.734  -0.288 -0.914  -0.348 -1.094  -0.433 -1.263  -0.518 -1.433  -0.527 -1.620  -0.527 -1.810  -0.527 -1.624  -0.527 -1.434  -0.527 -1.245  -0.527 -1.055  -0.527 -0.866  -0.527 -0.676  -0.527 -0.487  -0.492 -0.305  -0.407 -0.136  -0.348 0.040  -0.348 0.229  -0.348 0.419  -0.286 0.583  -0.152 0.717  -0.018 0.851  0.077 1.012  0.162 1.182  0.316 1.239  0.466 1.335  0.621 1.418  0.729 1.336  0.820 1.239  0.908 1.137  0.908 0.947  0.908 0.758  0.908 0.568  0.807 0.420  0.673 0.287  0.535 0.162  0.353 0.145  0.219 0.011  0.041 -0.017  -0.148 -0.017  -0.338 -0.017  -0.348 0.162
1c#ibm#ibm0#r0113/p  0.358 0.981  0.222 0.845  0.184 0.669  0.184 0.478  0.184 0.286  0.078 0.127  -0.028 -0.032  -0.134 -0.192  -0.207 -0.367  -0.268 -0.549  -0.329 -0.731  -0.411 -0.904  -0.496 -1.075  -0.511 -1.263  -0.590 -1.436  -0.676 -1.607  -0.685 -1.796  -0.674 -1.614  -0.538 -1.479  -0.511 -1.298  -0.511 -1.107  -0.427 -0.935  -0.341 -0.764  -0.337 -0.573  -0.325 -0.385  -0.239 -0.213  -0.163 -0.040  -0.163 0.152  -0.163 0.343  -0.163 0.535  -0.163 0.726  -0.163 0.918  -0.163 1.109  -0.017 1.154  0.175 1.154  0.313 1.283  0.486 1.328  0.677 1.328  0.821 1.212  0.879 1.045  0.879 0.853  0.879 0.662  0.879 0.470  0.751 0.331  0.615 0.196  0.480 0.061  0.339 -0.062  0.158 -0.036  0.023 0.099  -0.163 0.112
1c#ibm#ibm0#r0113/p  0.065 0.734  -0.115 0.719  -0.115 0.523  -0.115 0.328  -0.115 0.132  -0.115 -0.063  -0.155 -0.249  -0.243 -0.424  -0.296 -0.607  -0.296 -0.802  -0.296 -0.998  -0.296 -1.193  -0.296 -1.388  -0.296 -1.584  -0.413 -1.731  -0.477 -1.690  -0.477 -1.495  -0.477 -1.299  -0.477 -1.104  -0.477 -0.908  -0.477 -0.713  -0.477 -0.517  -0.477 -0.322  -0.477 -0.127  -0.477 0.069  -0.477 0.264  -0.415 0.434  -0.296 0.580  -0.266 0.763  -0.128 0.902  0.010 1.040  0.171 1.147  0.345 1.235  0.501 1.349  0.652 1.456  0.788 1.397  0.840 1.223  0.968 1.080  0.968 0.885  0.949 0.694  0.861 0.519  0.788 0.341  0.755 0.159  0.617 0.021  0.479 -0.117  0.305 -0.169  0.110 -0.169  -0.086 -0.169  -0.281 -0.169  -0.296 0.011
1c#ibm#ibm0#r0113/p  0.277 0.882  0.248 0.703  0.218 0.524  0.188 0.346  0.100 0.189  0.007 0.033  -0.086 -0.122  -0.145 -0.294  -0.204 -0.465  -0.268 -0.634  -0.331 -0.804  -0.395 -0.973  -0.459 -1.143  -0.540 -1.305  -0.580 -1.481  -0.616 -1.658  -0.631 -1.722  -0.601 -1.544  -0.571 -1.365  -0.540 -1.186  -0.504 -1.009  -0.469 -0.831  -0.456 -0.651  -0.456 -0.470  -0.406 -0.301  -0.325 -0.139  -0.273 0.030  -0.273 0.211  -0.273 0.392  -0.236 0.569  -0.192 0.745  -0.086 0.885  0.022 1.030  0.131 1.175  0.269 1.282  0.437 1.349  0.605 1.417  0.743 1.334  0.855 1.195  0.920 1.029  0.920 0.848  0.920 0.667  0.853 0.506  0.752 0.355  0.629 0.224  0.492 0.107  0.341 0.006  0.174 -0.015  -0.003 0.021  -0.181 0.057
1c#ibm#ibm0#r0113/p  0.033 1.704  0.033 1.635  0.033 1.565  0.033 1.495  0.033 1.425  0.033 1.355  0.033 1.285  0.033 1.215  0.033 1.145  0.033 1.075  0.033 1.006  0.033 0.936  0.033 0.866  0.033 0.796  0.033 0.726  0.033 0.656  0.033 0.586  0.033 0.516  0.033 0.447  0.033 0.377  0.033 0.307  0.033 0.237  0.033 0.167  0.033 0.097  0.033 0.027  0.033 -0.043  0.033 -0.113  0.033 -0.182  0.033 -0.252  0.033 -0.322  0.033 -0.392  0.033 -0.462  0.033 -0.532  0.033 -0.602  0.033 -0.672  0.033 -0.742  0.033 -0.811  0.033 -0.881  0.033 -0.951  0.033 -1.021  0.009 -1.085  -0.022 -1.148  -0.053 -1.210  -0.084 -1.273  -0.116 -1.336  -0.147 -1.398  -0.178 -1.461  -0.209 -1.523  -0.240 -1.586  -0.272 -1.648
1c#ibm#ibm0#r0113/p  -1.532 0.358  -1.453 0.436  -1.375 0.514  -1.297 0.592  -1.204 0.636  -1.094 0.636  -0.983 0.636  -0.873 0.636  -0.762 0.636  -0.652 0.636  -0.541 0.636  -0.431 0.636  -0.320 0.636  -0.210 0.636  -0.099 0.636  0.011 0.636  0.122 0.636  0.232 0.636  0.343 0.636  0.453 0.636  0.564 0.636  0.674 0.636  0.758 0.569  0.836 0.491  0.914 0.413  0.970 0.326  0.970 0.215  0.970 0.105  0.970 -0.006  0.970 -0.116  0.950 -0.218  0.871 -0.296  0.793 -0.374  0.715 -0.453  0.637 -0.531  0.559 -0.609  0.480 -0.687  0.402 -0.765  0.324 -0.843  0.246 -0.921  0.168 -0.999  0.071 -1.032  -0.040 -1.032  -0.150 -1.032  -0.261 -1.032  -0.371 -1.032  -0.464 -0.988  -0.542 -0.910  -0.620 -0.832  -0.698 -0.753
1c#ibm#ibm0#r0113/p  0.391 1.606  0.340 1.555  0.290 1.505  0.240 1.455  0.190 1.404  0.139 1.354  0.115 1.293  0.115 1.221  0.115 1.150  0.115 1.079  0.115 1.008  0.115 0.937  0.115 0.866  0.115 0.794  0.115 0.723  0.115 0.652  0.115 0.581  0.115 0.510  0.115 0.439  0.115 0.367  0.115 0.296  0.114 0.225  0.082 0.162  0.051 0.098  0.019 0.034  -0.013 -0.029  -0.045 -0.093  -0.077 -0.157  -0.109 -0.220  -0.140 -0.284  -0.160 -0.350  -0.160 -0.422  -0.160 -0.493  -0.160 -0.564  -0.160 -0.635  -0.160 -0.706  -0.160 -0.777  -0.160 -0.849  -0.160 -0.920  -0.160 -0.991  -0.160 -1.062  -0.160 -1.133  -0.160 -1.204  -0.160 -1.276  -0.160 -1.347  -0.160 -1.418  -0.160 -1.489  -0.160 -1.560  -0.160 -1.631  -0.160 -1.703
1c#ibm#ibm0#r0113/p  0.272 0.866  0.244 0.701  0.217 0.536  0.189 0.371  0.118 0.222  0.032 0.078  -0.054 -0.066  -0.119 -0.218  -0.172 -0.377  -0.230 -0.534  -0.289 -0.691  -0.348 -0.847  -0.407 -1.004  -0.461 -1.162  -0.507 -1.323  -0.553 -1.484  -0.599 -1.644  -0.613 -1.663  -0.585 -1.498  -0.558 -1.333  -0.529 -1.168  -0.497 -1.004  -0.464 -0.840  -0.445 -0.675  -0.445 -0.507  -0.423 -0.345  -0.348 -0.196  -0.273 -0.046  -0.266 0.119  -0.266 0.286  -0.257 0.453  -0.216 0.615  -0.175 0.777  -0.071 0.908  0.033 1.039  0.138 1.169  0.271 1.260  0.427 1.322  0.582 1.384  0.712 1.322  0.814 1.196  0.838 1.030  0.861 0.865  0.885 0.699  0.864 0.543  0.772 0.404  0.667 0.274  0.549 0.156  0.411 0.062  0.272 -0.031
1c#ibm#ibm0#r0113/p  0.420 1.653  0.398 1.586  0.376 1.519  0.354 1.453  0.331 1.386  0.309 1.319  0.287 1.252  0.265 1.185  0.242 1.119  0.220 1.052  0.198 0.985  0.176 0.918  0.153 0.851  0.131 0.785  0.109 0.718  0.086 0.651  0.064 0.584  0.042 0.517  0.020 0.451  -0.003 0.384  -0.025 0.317  -0.047 0.250  -0.054 0.181  -0.054 0.111  -0.054 0.040  -0.054 -0.030  -0.054 -0.101  -0.054 -0.171  -0.054 -0.242  -0.054 -0.312  -0.054 -0.382  -0.054 -0.453  -0.054 -0.523  -0.054 -0.594  -0.054 -0.664  -0.062 -0.732  -0.093 -0.795  -0.125 -0.858  -0.156 -0.921  -0.188 -0.984  -0.219 -1.047  -0.251 -1.110  -0.282 -1.173  -0.290 -1.242  -0.290 -1.312  -0.290 -1.383  -0.290 -1.453  -0.290 -1.524  -0.290 -1.594  -0.290 -1.664
3#apa#apa04#app0455/p  0.169 0.466  0.052 0.327  -0.040 0.231  -0.097 0.083  -0.184 -0.069  -0.279 -0.217  -0.328 -0.384  -0.438 -0.531  -0.497 -0.709  -0.536 -0.890  -0.536 -1.077  -0.536 -1.265  -0.563 -1.441  -0.654 -1.591  -0.536 -1.640  -0.536 -1.452  -0.513 -1.274  -0.419 -1.126  -0.419 -0.938  -0.419 -0.751  -0.383 -0.568  -0.338 -0.386  -0.301 -0.203  -0.301 -0.016  -0.245 0.163  -0.186 0.341  -0.184 0.528  -0.125 0.701  -0.066 0.875  -0.060 1.060  0.073 1.193  0.169 1.340  0.255 1.492  0.429 1.524  0.616 1.524  0.672 1.374  0.757 1.221  0.771 1.040  0.875 0.895  0.875 0.707  0.875 0.520  0.863 0.337  0.757 0.194  0.681 0.038  0.549 -0.095  0.388 -0.189  0.234 -0.292  0.074 -0.357  -0.114 -0.357  -0.301 -0.357
3#apa#apa04#app0455/p  -0.256 0.412  -0.108 0.528  -0.026 0.414  -0.082 0.241  -0.141 0.069  -0.141 -0.127  -0.253 -0.276  -0.311 -0.448  -0.421 -0.607  -0.486 -0.788  -0.497 -0.980  -0.602 -1.132  -0.611 -1.324  -0.717 -1.476  -0.613 -1.546  -0.717 -1.453  -0.717 -1.257  -0.717 -1.061  -0.717 -0.865  -0.685 -0.677  -0.602 -0.500  -0.573 -0.309  -0.511 -0.123  -0.486 0.069  -0.449 0.256  -0.362 0.431  -0.274 0.607  -0.146 0.753  -0.108 0.939  -0.014 1.104  0.182 1.104  0.263 1.219  0.459 1.219  0.655 1.219  0.851 1.219  1.003 1.112  1.141 0.973  1.241 0.819  1.241 0.623  1.140 0.528  1.079 0.365  0.940 0.227  0.802 0.088  0.629 0.031  0.475 -0.086  0.320 -0.186  0.217 -0.279  0.021 -0.279  -0.060 -0.394  -0.256 -0.394
1c#ibm#ibm0#r0215/p  -0.415 0.630  -0.415 0.462  -0.415 0.294  -0.415 0.126  -0.415 -0.042  -0.415 -0.210  -0.415 -0.378  -0.415 -0.547  -0.415 -0.715  -0.415 -0.883  -0.415 -1.051  -0.415 -1.219  -0.415 -1.387  -0.468 -1.502  -0.593 -1.459  -0.593 -1.291  -0.593 -1.122  -0.593 -0.954  -0.593 -0.786  -0.593 -0.618  -0.593 -0.450  -0.593 -0.282  -0.593 -0.114  -0.550 0.048  -0.497 0.207  -0.444 0.367  -0.390 0.526  -0.337 0.686  -0.284 0.845  -0.219 0.995  -0.069 1.070  0.081 1.145  0.245 1.164  0.413 1.164  0.576 1.129  0.735 1.076  0.895 1.023  1.029 0.941  1.105 0.791  1.180 0.640  1.185 0.473  1.185 0.305  1.123 0.152  1.048 0.001  0.934 -0.105  0.775 -0.158  0.615 -0.211  0.455 -0.258  0.286 -0.258  0.118 -0.258
1c#ibm#ibm0#r0215/p  -0.433 0.725  -0.269 0.708  -0.269 0.525  -0.269 0.343  -0.269 0.160  -0.290 -0.020  -0.334 -0.197  -0.379 -0.374  -0.423 -0.551  -0.433 -0.732  -0.433 -0.915  -0.433 -1.097  -0.446 -1.277  -0.527 -1.440  -0.598 -1.557  -0.598 -1.375  -0.598 -1.192  -0.598 -1.010  -0.598 -0.827  -0.598 -0.645  -0.598 -0.462  -0.569 -0.282  -0.533 -0.103  -0.497 0.075  -0.462 0.254  -0.433 0.434  -0.433 0.617  -0.433 0.799  -0.392 0.972  -0.311 1.135  -0.180 1.220  0.002 1.220  0.178 1.180  0.351 1.123  0.524 1.065  0.680 0.972  0.832 0.870  0.984 0.769  1.096 0.633  1.177 0.469  1.214 0.296  1.214 0.113  1.214 -0.069  1.106 -0.207  0.952 -0.296  0.779 -0.354  0.606 -0.411  0.426 -0.428  0.243 -0.428  0.061 -0.428
1c#ibm#ibm0#r0215/p  -0.311 0.904  -0.311 0.738  -0.311 0.572  -0.311 0.405  -0.311 0.239  -0.311 0.073  -0.311 -0.093  -0.311 -0.259  -0.311 -0.425  -0.311 -0.591  -0.311 -0.758  -0.311 -0.924  -0.311 -1.090  -0.311 -1.256  -0.311 -1.422  -0.311 -1.588  -0.344 -1.614  -0.418 -1.466  -0.473 -1.312  -0.473 -1.146  -0.473 -0.980  -0.473 -0.814  -0.473 -0.648  -0.473 -0.482  -0.473 -0.316  -0.457 -0.151  -0.425 0.012  -0.392 0.175  -0.360 0.338  -0.327 0.501  -0.273 0.656  -0.199 0.805  -0.125 0.954  -0.050 1.102  0.039 1.227  0.205 1.227  0.371 1.227  0.533 1.209  0.682 1.134  0.825 1.055  0.899 0.906  0.974 0.758  1.048 0.609  1.122 0.461  1.089 0.312  1.015 0.163  0.917 0.032  0.794 -0.078  0.645 -0.153  0.497 -0.227
1c#ibm#ibm0#r0215/p  -0.376 1.255  -0.245 1.124  -0.204 0.955  -0.204 0.770  -0.204 0.584  -0.204 0.399  -0.204 0.213  -0.204 0.028  -0.204 -0.158  -0.204 -0.343  -0.204 -0.528  -0.204 -0.714  -0.204 -0.899  -0.204 -1.085  -0.204 -1.270  -0.204 -1.456  -0.204 -1.641  -0.204 -1.827  -0.285 -1.669  -0.368 -1.503  -0.376 -1.320  -0.376 -1.134  -0.376 -0.949  -0.376 -0.763  -0.376 -0.578  -0.376 -0.393  -0.376 -0.207  -0.376 -0.022  -0.376 0.164  -0.376 0.349  -0.333 0.528  -0.274 0.703  -0.215 0.879  -0.098 1.019  0.033 1.150  0.175 1.255  0.361 1.255  0.546 1.255  0.688 1.184  0.771 1.018  0.854 0.853  0.937 0.687  0.971 0.521  0.889 0.355  0.806 0.189  0.723 0.023  0.624 -0.117  0.438 -0.117  0.270 -0.076  0.138 0.055
1c#ibm#ibm0#r0215/p  -0.451 0.927  -0.414 0.759  -0.401 0.580  -0.397 0.401  -0.397 0.222  -0.398 0.042  -0.403 -0.137  -0.408 -0.316  -0.413 -0.496  -0.418 -0.675  -0.423 -0.854  -0.413 -1.033  -0.398 -1.212  -0.383 -1.391  -0.379 -1.569  -0.458 -1.563  -0.497 -1.391  -0.521 -1.213  -0.530 -1.035  -0.530 -0.855  -0.530 -0.676  -0.530 -0.497  -0.530 -0.317  -0.509 -0.140  -0.478 0.037  -0.447 0.214  -0.417 0.390  -0.376 0.564  -0.316 0.734  -0.256 0.903  -0.136 1.026  0.001 1.141  0.148 1.214  0.327 1.202  0.502 1.177  0.657 1.087  0.813 0.998  0.968 0.908  1.076 0.766  1.180 0.620  1.223 0.465  1.164 0.296  1.106 0.127  1.047 -0.043  0.913 -0.151  0.758 -0.241  0.585 -0.266  0.406 -0.266  0.228 -0.252  0.053 -0.213
1c#ibm#ibm0#r0215/p  -0.477 0.923  -0.453 0.746  -0.429 0.569  -0.422 0.390  -0.422 0.211  -0.422 0.032  -0.427 -0.146  -0.432 -0.325  -0.437 -0.504  -0.442 -0.683  -0.447 -0.862  -0.443 -1.040  -0.428 -1.218  -0.413 -1.397  -0.398 -1.575  -0.447 -1.482  -0.514 -1.316  -0.559 -1.146  -0.559 -0.967  -0.559 -0.788  -0.559 -0.609  -0.559 -0.430  -0.550 -0.252  -0.519 -0.076  -0.489 0.101  -0.458 0.277  -0.428 0.453  -0.374 0.623  -0.314 0.792  -0.250 0.957  -0.104 1.061  0.064 1.113  0.239 1.149  0.414 1.184  0.577 1.139  0.731 1.049  0.886 0.960  1.026 0.854  1.130 0.708  1.234 0.562  1.229 0.401  1.170 0.232  1.111 0.063  1.052 -0.106  0.901 -0.199  0.747 -0.289  0.571 -0.303  0.393 -0.303  0.215 -0.287  0.041 -0.248
1c#tos#f2#f2067064/p  -0.090 1.195  -0.250 1.230  -0.268 1.054  -0.268 0.859  -0.268 0.665  -0.268 0.470  -0.268 0.275  -0.268 0.080  -0.268 -0.114  -0.233 -0.303  -0.233 -0.498  -0.233 -0.693  -0.233 -0.888  -0.206 -1.079  -0.197 -1.273  -0.197 -1.467  -0.175 -1.657  -0.162 -1.848  -0.162 -1.893  -0.157 -1.699  -0.147 -1.504  -0.138 -1.310  -0.128 -1.115  -0.119 -0.920  -0.109 -0.726  -0.099 -0.531  -0.090 -0.337  -0.080 -0.142  -0.071 0.052  -0.061 0.247  -0.051 0.441  -0.042 0.636  -0.032 0.830  -0.023 1.025  -0.143 1.071  -0.078 1.159  0.081 1.217  0.267 1.230  0.462 1.230  0.628 1.138  0.727 1.004  0.798 0.853  0.774 0.662  0.748 0.479  0.604 0.372  0.460 0.271  0.325 0.153  0.155 0.091  -0.017 0.022  -0.197 -0.013
2#apa#apa01#app0192/p  -0.853 0.691  -0.651 0.747  -0.560 0.740  -0.530 0.545  -0.414 0.436  -0.414 0.211  -0.293 0.106  -0.268 -0.093  -0.268 -0.318  -0.268 -0.544  -0.166 -0.727  -0.122 -0.933  -0.122 -1.159  -0.102 -1.376  0.025 -1.548  0.113 -1.737  0.171 -1.652  0.025 -1.573  0.019 -1.350  -0.122 -1.183  -0.122 -0.958  -0.252 -0.787  -0.268 -0.568  -0.268 -0.343  -0.414 -0.178  -0.414 0.047  -0.414 0.272  -0.414 0.497  -0.414 0.723  -0.336 0.915  -0.268 1.112  -0.078 1.173  0.104 1.276  0.326 1.285  0.485 1.401  0.659 1.276  0.846 1.186  1.006 1.026  1.048 0.819  1.048 0.594  1.048 0.369  0.971 0.175  0.788 0.049  0.584 -0.040  0.389 -0.114  0.194 -0.186  -0.031 -0.186  -0.256 -0.186  -0.335 -0.040  -0.414 0.106
1c#apa#apa02#app0235/p  -0.879 1.288  -0.879 1.053  -0.726 0.972  -0.635 0.828  -0.559 0.661  -0.419 0.485  -0.335 0.285  -0.266 0.079  -0.220 -0.137  -0.112 -0.327  -0.108 -0.561  -0.003 -0.771  0.041 -0.995  0.041 -1.230  0.041 -1.465  0.041 -1.699  0.041 -1.928  0.041 -1.693  0.041 -1.458  -0.026 -1.251  -0.112 -1.052  -0.112 -0.818  -0.112 -0.583  -0.256 -0.408  -0.266 -0.177  -0.266 0.058  -0.266 0.292  -0.266 0.527  -0.266 0.762  -0.251 0.982  -0.044 1.050  0.143 1.186  0.354 1.288  0.588 1.288  0.818 1.277  0.961 1.101  0.961 0.866  0.961 0.632  0.961 0.397  0.815 0.223  0.737 0.062  0.654 -0.090  0.484 -0.245  0.249 -0.245  0.067 -0.372  -0.144 -0.367  -0.266 -0.182  -0.409 -0.091  -0.419 0.134  -0.419 0.368
3#app#app11#app1154/p  -0.320 1.000  -0.320 0.811  -0.340 0.629  -0.408 0.468  -0.408 0.279  -0.408 0.089  -0.408 -0.100  -0.408 -0.290  -0.408 -0.479  -0.408 -0.669  -0.408 -0.858  -0.408 -1.048  -0.408 -1.237  -0.408 -1.426  -0.408 -1.616  -0.321 -1.719  -0.320 -1.530  -0.320 -1.341  -0.320 -1.151  -0.320 -0.962  -0.408 -0.809  -0.408 -0.619  -0.408 -0.430  -0.408 -0.240  -0.495 -0.087  -0.495 0.102  -0.495 0.292  -0.428 0.453  -0.408 0.634  -0.347 0.798  -0.232 0.940  -0.115 1.030  0.050 1.088  0.240 1.088  0.429 1.088  0.612 1.060  0.788 1.000  0.977 1.000  1.079 0.912  1.214 0.781  1.258 0.610  1.171 0.457  1.087 0.302  0.928 0.231  0.794 0.097  0.634 0.025  0.485 -0.088  0.308 -0.140  0.127 -0.196  -0.057 -0.228
2#apa#apa15#app1592/p  -0.243 0.362  -0.402 0.343  -0.402 0.165  -0.402 -0.013  -0.402 -0.191  -0.402 -0.370  -0.402 -0.548  -0.402 -0.726  -0.402 -0.904  -0.402 -1.082  -0.402 -1.260  -0.402 -1.438  -0.402 -1.616  -0.402 -1.602  -0.402 -1.424  -0.402 -1.246  -0.402 -1.068  -0.402 -0.890  -0.402 -0.712  -0.402 -0.534  -0.402 -0.356  -0.402 -0.178  -0.402 -0.000  -0.402 0.178  -0.402 0.356  -0.402 0.534  -0.391 0.710  -0.335 0.879  -0.279 1.048  -0.177 1.155  -0.085 1.240  0.020 1.313  0.198 1.313  0.376 1.313  0.506 1.197  0.647 1.089  0.795 0.991  0.943 0.892  1.060 0.766  1.140 0.607  1.183 0.439  1.111 0.290  0.985 0.165  0.857 0.042  0.692 -0.024  0.527 -0.090  0.361 -0.157  0.196 -0.223  0.041 -0.304  -0.085 -0.430
