3#apa#apa13#app1334/<  1.113 1.052  1.221 1.052  1.194 1.052  1.085 1.052  0.977 1.052  0.896 0.984  0.819 0.907  0.713 0.903  0.604 0.903  0.495 0.903  0.387 0.903  0.305 0.839  0.228 0.762  0.123 0.754  0.031 0.714  -0.046 0.637  -0.078 0.542  -0.101 0.456  -0.209 0.456  -0.291 0.392  -0.368 0.315  -0.473 0.308  -0.525 0.250  -0.541 0.159  -0.650 0.159  -0.673 0.074  -0.718 0.010  -0.822 0.005  -0.822 -0.103  -0.822 -0.212  -0.822 -0.320  -0.822 -0.429  -0.722 -0.437  -0.673 -0.497  -0.659 -0.600  -0.583 -0.676  -0.498 -0.734  -0.389 -0.734  -0.309 -0.801  -0.232 -0.878  -0.126 -0.883  -0.035 -0.926  0.042 -1.003  0.119 -1.080  0.195 -1.157  0.294 -1.181  0.402 -1.181  0.511 -1.181  0.590 -1.253  0.666 -1.330
2#ibm#ibm0#r0405/<  1.049 1.548  0.965 1.485  0.882 1.422  0.798 1.360  0.714 1.297  0.649 1.216  0.583 1.134  0.518 1.053  0.453 0.971  0.387 0.889  0.305 0.827  0.218 0.768  0.131 0.710  0.056 0.638  -0.018 0.564  -0.085 0.484  -0.148 0.400  -0.210 0.316  -0.273 0.233  -0.342 0.155  -0.416 0.081  -0.490 0.007  -0.564 -0.067  -0.639 -0.140  -0.726 -0.198  -0.813 -0.256  -0.898 -0.316  -0.972 -0.389  -1.046 -0.463  -0.968 -0.474  -0.864 -0.474  -0.759 -0.474  -0.654 -0.474  -0.550 -0.475  -0.460 -0.528  -0.371 -0.582  -0.281 -0.636  -0.192 -0.690  -0.097 -0.727  0.007 -0.727  0.112 -0.727  0.215 -0.733  0.302 -0.791  0.388 -0.849  0.475 -0.907  0.562 -0.965  0.649 -1.023  0.733 -1.085  0.807 -1.159  0.881 -1.233
1d#apa#apa09#app0979/<  0.493 0.900  0.493 1.009  0.493 1.119  0.493 1.228  0.498 1.333  0.607 1.333  0.704 1.328  0.627 1.250  0.550 1.173  0.472 1.095  0.395 1.018  0.317 0.941  0.240 0.863  0.163 0.786  0.085 0.709  0.008 0.631  -0.070 0.554  -0.147 0.476  -0.224 0.399  -0.302 0.322  -0.377 0.243  -0.426 0.145  -0.475 0.047  -0.524 -0.051  -0.573 -0.149  -0.654 -0.215  -0.752 -0.264  -0.849 -0.313  -0.947 -0.362  -1.000 -0.411  -0.902 -0.460  -0.804 -0.509  -0.706 -0.558  -0.609 -0.607  -0.506 -0.644  -0.402 -0.679  -0.298 -0.713  -0.194 -0.748  -0.090 -0.782  0.013 -0.817  0.103 -0.875  0.180 -0.953  0.257 -1.030  0.359 -1.049  0.468 -1.049  0.578 -1.049  0.687 -1.049  0.771 -1.111  0.849 -1.188  0.926 -1.266
2#ibm#ibm0#r0011/<  0.777 1.279  0.684 1.372  0.582 1.420  0.464 1.361  0.346 1.301  0.263 1.206  0.204 1.087  0.145 0.969  0.054 0.873  -0.040 0.780  -0.133 0.686  -0.227 0.593  -0.321 0.499  -0.414 0.405  -0.503 0.308  -0.563 0.190  -0.622 0.071  -0.697 -0.036  -0.790 -0.130  -0.814 -0.252  -0.814 -0.240  -0.814 -0.199  -0.814 -0.293  -0.814 -0.161  -0.814 -0.278  -0.814 -0.214  -0.814 -0.225  -0.814 -0.267  -0.814 -0.172  -0.814 -0.304  -0.690 -0.312  -0.557 -0.312  -0.425 -0.312  -0.292 -0.312  -0.160 -0.312  -0.028 -0.312  0.105 -0.312  0.232 -0.343  0.358 -0.385  0.484 -0.427  0.609 -0.469  0.721 -0.540  0.831 -0.613  0.941 -0.687  1.051 -0.760  1.152 -0.846  1.245 -0.939  1.339 -1.033  1.414 -1.135  1.414 -1.267
2#ibm#ibm0#r0011/<  0.654 1.122  0.654 1.238  0.590 1.249  0.487 1.198  0.384 1.146  0.293 1.079  0.211 0.997  0.130 0.916  0.048 0.834  -0.042 0.764  -0.138 0.700  -0.234 0.636  -0.330 0.572  -0.426 0.508  -0.512 0.433  -0.593 0.351  -0.675 0.270  -0.756 0.188  -0.838 0.107  -0.919 0.026  -1.001 -0.056  -1.082 -0.137  -1.193 -0.148  -1.196 -0.148  -1.080 -0.148  -0.965 -0.148  -0.850 -0.148  -0.735 -0.148  -0.620 -0.148  -0.510 -0.184  -0.401 -0.220  -0.292 -0.257  -0.182 -0.293  -0.077 -0.339  0.026 -0.390  0.129 -0.442  0.232 -0.493  0.335 -0.545  0.438 -0.596  0.544 -0.641  0.653 -0.677  0.763 -0.714  0.872 -0.750  0.982 -0.784  1.097 -0.784  1.188 -0.841  1.270 -0.923  1.289 -1.030  1.246 -1.101  1.131 -1.101
2#ibm#ibm0#r0011/<  0.894 1.252  0.793 1.286  0.691 1.320  0.595 1.333  0.520 1.257  0.445 1.182  0.369 1.106  0.294 1.031  0.219 0.955  0.143 0.880  0.061 0.812  -0.023 0.746  -0.106 0.679  -0.189 0.612  -0.272 0.546  -0.353 0.477  -0.429 0.402  -0.504 0.326  -0.580 0.251  -0.655 0.176  -0.727 0.097  -0.786 0.009  -0.845 -0.080  -0.905 -0.168  -0.981 -0.244  -1.056 -0.319  -1.039 -0.366  -0.935 -0.387  -0.830 -0.408  -0.726 -0.429  -0.621 -0.450  -0.516 -0.465  -0.410 -0.480  -0.304 -0.495  -0.199 -0.510  -0.093 -0.526  0.012 -0.541  0.112 -0.575  0.210 -0.617  0.308 -0.659  0.406 -0.701  0.504 -0.743  0.602 -0.785  0.700 -0.827  0.796 -0.874  0.891 -0.922  0.986 -0.970  1.082 -1.017  1.177 -1.065  1.272 -1.113
1d#ibm#ibm0#r0207/<  0.453 1.805  0.453 1.708  0.453 1.611  0.453 1.514  0.448 1.418  0.379 1.349  0.310 1.281  0.249 1.206  0.205 1.119  0.162 1.032  0.118 0.945  0.075 0.858  0.031 0.771  -0.012 0.684  -0.056 0.597  -0.099 0.510  -0.143 0.423  -0.186 0.336  -0.230 0.249  -0.273 0.162  -0.320 0.077  -0.389 0.008  -0.458 -0.060  -0.503 -0.139  -0.503 -0.236  -0.529 -0.323  -0.598 -0.392  -0.667 -0.460  -0.694 -0.546  -0.694 -0.644  -0.632 -0.679  -0.535 -0.679  -0.503 -0.745  -0.503 -0.842  -0.434 -0.870  -0.336 -0.870  -0.239 -0.870  -0.142 -0.870  -0.044 -0.870  0.053 -0.870  0.150 -0.870  0.248 -0.870  0.345 -0.870  0.442 -0.870  0.539 -0.870  0.637 -0.870  0.734 -0.870  0.831 -0.870  0.929 -0.870  1.026 -0.870
1d#ibm#ibm0#r0207/<  0.334 1.707  0.334 1.612  0.330 1.517  0.287 1.431  0.245 1.345  0.202 1.259  0.159 1.173  0.116 1.088  0.073 1.002  0.030 0.916  -0.013 0.830  -0.069 0.754  -0.137 0.687  -0.205 0.619  -0.273 0.551  -0.341 0.483  -0.408 0.415  -0.476 0.348  -0.544 0.280  -0.601 0.204  -0.644 0.118  -0.686 0.032  -0.729 -0.053  -0.765 -0.141  -0.765 -0.237  -0.765 -0.333  -0.765 -0.429  -0.730 -0.490  -0.634 -0.490  -0.543 -0.510  -0.457 -0.552  -0.371 -0.595  -0.286 -0.638  -0.198 -0.673  -0.102 -0.673  -0.006 -0.673  0.090 -0.673  0.182 -0.689  0.268 -0.732  0.353 -0.775  0.439 -0.817  0.526 -0.857  0.622 -0.857  0.718 -0.857  0.814 -0.857  0.907 -0.868  0.993 -0.911  1.078 -0.954  1.164 -0.997  1.250 -1.040
1d#ibm#ibm0#r0207/<  0.472 1.778  0.393 1.699  0.314 1.620  0.290 1.519  0.287 1.408  0.237 1.308  0.187 1.208  0.137 1.108  0.087 1.008  0.037 0.909  -0.013 0.809  -0.062 0.709  -0.112 0.609  -0.162 0.509  -0.212 0.409  -0.262 0.310  -0.312 0.210  -0.362 0.110  -0.412 0.010  -0.484 -0.067  -0.584 -0.117  -0.684 -0.167  -0.784 -0.217  -0.804 -0.316  -0.804 -0.428  -0.804 -0.539  -0.804 -0.651  -0.804 -0.763  -0.804 -0.673  -0.773 -0.591  -0.662 -0.591  -0.550 -0.591  -0.439 -0.591  -0.327 -0.591  -0.215 -0.591  -0.104 -0.591  0.008 -0.591  0.119 -0.591  0.231 -0.591  0.343 -0.591  0.454 -0.591  0.566 -0.591  0.678 -0.591  0.789 -0.591  0.882 -0.637  0.961 -0.715  1.048 -0.773  1.160 -0.773  1.272 -0.773  1.383 -0.773
1d#ibm#ibm0#r0207/<  0.453 1.805  0.453 1.708  0.453 1.611  0.453 1.514  0.448 1.418  0.379 1.349  0.310 1.281  0.249 1.206  0.205 1.119  0.162 1.032  0.118 0.945  0.075 0.858  0.031 0.771  -0.012 0.684  -0.056 0.597  -0.099 0.510  -0.143 0.423  -0.186 0.336  -0.230 0.249  -0.273 0.162  -0.320 0.077  -0.389 0.008  -0.458 -0.060  -0.503 -0.139  -0.503 -0.236  -0.529 -0.323  -0.598 -0.392  -0.667 -0.460  -0.694 -0.546  -0.694 -0.644  -0.632 -0.679  -0.535 -0.679  -0.503 -0.745  -0.503 -0.842  -0.434 -0.870  -0.336 -0.870  -0.239 -0.870  -0.142 -0.870  -0.044 -0.870  0.053 -0.870  0.150 -0.870  0.248 -0.870  0.345 -0.870  0.442 -0.870  0.539 -0.870  0.637 -0.870  0.734 -0.870  0.831 -0.870  0.929 -0.870  1.026 -0.870
1d#ibm#ibm0#r0207/<  0.472 1.758  0.472 1.668  0.472 1.578  0.472 1.488  0.472 1.398  0.430 1.326  0.366 1.262  0.303 1.198  0.253 1.125  0.213 1.044  0.173 0.964  0.132 0.883  0.092 0.802  0.052 0.722  0.012 0.641  -0.028 0.561  -0.069 0.480  -0.109 0.400  -0.149 0.319  -0.189 0.239  -0.230 0.158  -0.270 0.078  -0.311 -0.002  -0.375 -0.065  -0.439 -0.129  -0.503 -0.192  -0.543 -0.273  -0.583 -0.353  -0.624 -0.433  -0.664 -0.514  -0.690 -0.592  -0.626 -0.656  -0.562 -0.719  -0.499 -0.783  -0.435 -0.847  -0.371 -0.910  -0.308 -0.973  -0.218 -0.973  -0.128 -0.973  -0.038 -0.973  0.052 -0.973  0.142 -0.973  0.232 -0.973  0.322 -0.973  0.412 -0.973  0.502 -0.973  0.592 -0.973  0.682 -0.973  0.772 -0.973  0.862 -0.973
1d#ibm#ibm0#r0207/<  0.368 1.741  0.329 1.650  0.291 1.560  0.252 1.470  0.214 1.380  0.175 1.289  0.137 1.199  0.098 1.109  0.049 1.024  -0.003 0.941  -0.055 0.858  -0.107 0.775  -0.159 0.692  -0.211 0.609  -0.263 0.525  -0.315 0.442  -0.367 0.359  -0.418 0.275  -0.468 0.191  -0.518 0.107  -0.569 0.022  -0.619 -0.062  -0.665 -0.148  -0.701 -0.239  -0.738 -0.330  -0.774 -0.421  -0.811 -0.512  -0.811 -0.583  -0.714 -0.599  -0.617 -0.615  -0.521 -0.631  -0.424 -0.647  -0.327 -0.663  -0.230 -0.671  -0.132 -0.671  -0.033 -0.671  0.065 -0.671  0.163 -0.671  0.261 -0.671  0.358 -0.685  0.455 -0.701  0.551 -0.717  0.648 -0.733  0.745 -0.749  0.841 -0.768  0.932 -0.804  1.023 -0.841  1.114 -0.877  1.205 -0.913  1.296 -0.950
2#app#app08#app0849/<  0.273 1.426  0.393 1.426  0.363 1.364  0.278 1.279  0.193 1.195  0.108 1.110  0.024 1.025  -0.030 0.927  -0.030 0.807  -0.030 0.687  -0.130 0.668  -0.230 0.619  -0.315 0.535  -0.400 0.450  -0.485 0.365  -0.485 0.245  -0.572 0.213  -0.676 0.174  -0.761 0.089  -0.789 -0.020  -0.837 -0.091  -0.940 -0.108  -0.940 -0.228  -1.045 -0.242  -1.092 -0.316  -1.050 -0.394  -0.931 -0.394  -0.811 -0.394  -0.691 -0.394  -0.571 -0.394  -0.451 -0.394  -0.331 -0.394  -0.211 -0.394  -0.091 -0.394  0.011 -0.436  0.096 -0.520  0.206 -0.546  0.326 -0.546  0.445 -0.546  0.565 -0.546  0.685 -0.546  0.805 -0.546  0.912 -0.578  0.997 -0.662  1.102 -0.698  1.222 -0.698  1.340 -0.702  1.425 -0.787  1.519 -0.849  1.639 -0.849
2#gmd#alek/<  0.984 1.448  0.905 1.417  0.840 1.353  0.764 1.302  0.690 1.248  0.626 1.184  0.561 1.120  0.488 1.065  0.414 1.010  0.353 0.944  0.302 0.868  0.237 0.805  0.166 0.748  0.095 0.691  0.023 0.633  -0.048 0.576  -0.120 0.519  -0.190 0.461  -0.255 0.396  -0.319 0.332  -0.384 0.267  -0.449 0.203  -0.494 0.124  -0.551 0.054  -0.615 -0.011  -0.680 -0.076  -0.758 -0.121  -0.829 -0.178  -0.833 -0.267  -0.755 -0.296  -0.679 -0.346  -0.610 -0.405  -0.543 -0.467  -0.461 -0.507  -0.388 -0.562  -0.315 -0.617  -0.242 -0.673  -0.171 -0.730  -0.099 -0.787  -0.029 -0.846  0.035 -0.910  0.100 -0.975  0.165 -1.040  0.229 -1.104  0.294 -1.169  0.363 -1.228  0.439 -1.278  0.509 -1.337  0.576 -1.398  0.658 -1.439
2#gmd#alek/<  0.918 1.490  0.847 1.429  0.768 1.376  0.698 1.313  0.632 1.246  0.565 1.180  0.498 1.113  0.431 1.046  0.364 0.979  0.298 0.912  0.230 0.846  0.158 0.785  0.087 0.723  0.015 0.662  -0.057 0.601  -0.133 0.544  -0.208 0.487  -0.281 0.428  -0.354 0.367  -0.427 0.307  -0.497 0.244  -0.564 0.178  -0.637 0.117  -0.710 0.057  -0.782 -0.004  -0.838 -0.077  -0.894 -0.152  -0.861 -0.235  -0.779 -0.267  -0.700 -0.319  -0.616 -0.363  -0.532 -0.405  -0.462 -0.468  -0.387 -0.525  -0.306 -0.573  -0.225 -0.622  -0.141 -0.664  -0.056 -0.706  0.028 -0.749  0.081 -0.826  0.143 -0.896  0.222 -0.948  0.300 -1.000  0.379 -1.053  0.454 -1.110  0.530 -1.167  0.598 -1.233  0.664 -1.299  0.749 -1.342  0.791 -1.426
2#gmd#alek/<  1.056 1.492  0.987 1.423  0.918 1.353  0.848 1.284  0.776 1.217  0.698 1.159  0.619 1.100  0.541 1.041  0.471 0.971  0.402 0.902  0.332 0.832  0.263 0.763  0.191 0.696  0.116 0.633  0.041 0.570  -0.035 0.508  -0.110 0.445  -0.187 0.384  -0.269 0.329  -0.350 0.275  -0.432 0.220  -0.514 0.166  -0.585 0.101  -0.647 0.024  -0.708 -0.053  -0.769 -0.129  -0.833 -0.204  -0.889 -0.282  -0.920 -0.375  -0.942 -0.470  -0.884 -0.526  -0.790 -0.557  -0.698 -0.591  -0.607 -0.627  -0.516 -0.664  -0.425 -0.700  -0.328 -0.716  -0.231 -0.732  -0.134 -0.748  -0.038 -0.765  0.055 -0.796  0.149 -0.827  0.237 -0.870  0.324 -0.914  0.412 -0.958  0.500 -1.002  0.590 -1.041  0.681 -1.078  0.772 -1.114  0.863 -1.151
2#gmd#alek/<  0.874 1.330  0.923 1.398  0.917 1.373  0.854 1.310  0.791 1.247  0.728 1.184  0.665 1.121  0.600 1.061  0.531 1.005  0.461 0.950  0.392 0.894  0.327 0.833  0.264 0.770  0.201 0.707  0.138 0.644  0.076 0.581  0.013 0.518  -0.053 0.458  -0.121 0.401  -0.190 0.344  -0.258 0.287  -0.326 0.229  -0.389 0.166  -0.452 0.103  -0.515 0.041  -0.543 -0.044  -0.579 -0.123  -0.642 -0.186  -0.705 -0.249  -0.748 -0.327  -0.802 -0.396  -0.745 -0.424  -0.683 -0.487  -0.620 -0.550  -0.556 -0.611  -0.484 -0.665  -0.413 -0.718  -0.340 -0.769  -0.264 -0.815  -0.188 -0.860  -0.113 -0.908  -0.050 -0.971  0.018 -1.029  0.089 -1.082  0.160 -1.136  0.225 -1.196  0.288 -1.259  0.351 -1.322  0.414 -1.385  0.477 -1.448
2#gmd#alek/<  0.633 1.454  0.665 1.486  0.607 1.428  0.548 1.369  0.482 1.318  0.416 1.269  0.353 1.216  0.307 1.147  0.259 1.079  0.205 1.016  0.151 0.953  0.097 0.890  0.043 0.827  -0.010 0.764  -0.063 0.700  -0.117 0.637  -0.170 0.573  -0.223 0.509  -0.270 0.441  -0.316 0.372  -0.362 0.303  -0.408 0.234  -0.454 0.165  -0.500 0.096  -0.517 0.016  -0.531 -0.066  -0.544 -0.148  -0.583 -0.217  -0.580 -0.293  -0.560 -0.373  -0.521 -0.442  -0.462 -0.501  -0.403 -0.560  -0.345 -0.618  -0.286 -0.677  -0.226 -0.734  -0.157 -0.780  -0.089 -0.827  -0.024 -0.879  0.041 -0.931  0.105 -0.982  0.170 -1.034  0.235 -1.086  0.300 -1.138  0.364 -1.190  0.423 -1.249  0.481 -1.308  0.546 -1.360  0.612 -1.409  0.678 -1.459
2#gmd#alek/<  0.912 1.412  0.878 1.433  0.809 1.387  0.740 1.340  0.670 1.294  0.610 1.237  0.553 1.177  0.495 1.116  0.438 1.056  0.381 0.996  0.323 0.935  0.266 0.875  0.208 0.814  0.151 0.754  0.094 0.694  0.036 0.633  -0.021 0.573  -0.078 0.512  -0.136 0.452  -0.184 0.385  -0.222 0.311  -0.261 0.237  -0.299 0.163  -0.338 0.089  -0.376 0.015  -0.415 -0.059  -0.453 -0.132  -0.492 -0.206  -0.530 -0.280  -0.569 -0.354  -0.607 -0.428  -0.646 -0.502  -0.673 -0.574  -0.614 -0.633  -0.550 -0.686  -0.483 -0.736  -0.416 -0.786  -0.347 -0.832  -0.278 -0.878  -0.208 -0.924  -0.143 -0.975  -0.084 -1.034  -0.016 -1.081  0.054 -1.128  0.123 -1.174  0.193 -1.218  0.268 -1.256  0.342 -1.293  0.412 -1.338  0.482 -1.384
2#gmd#alek/<  0.834 1.515  0.794 1.436  0.724 1.383  0.654 1.331  0.614 1.252  0.544 1.196  0.475 1.141  0.406 1.085  0.342 1.023  0.279 0.961  0.216 0.898  0.153 0.835  0.091 0.772  0.028 0.710  -0.035 0.647  -0.098 0.584  -0.161 0.521  -0.223 0.458  -0.286 0.396  -0.349 0.333  -0.412 0.270  -0.475 0.207  -0.537 0.144  -0.600 0.082  -0.663 0.019  -0.726 -0.044  -0.772 -0.119  -0.781 -0.201  -0.718 -0.264  -0.648 -0.317  -0.574 -0.366  -0.510 -0.428  -0.443 -0.486  -0.372 -0.539  -0.301 -0.592  -0.232 -0.648  -0.162 -0.703  -0.093 -0.759  -0.030 -0.821  0.033 -0.884  0.101 -0.940  0.171 -0.996  0.240 -1.051  0.305 -1.112  0.368 -1.174  0.431 -1.237  0.495 -1.298  0.566 -1.352  0.637 -1.405  0.702 -1.465
1d#ibm#ibm0#r0414/<  1.137 1.238  1.023 1.238  0.909 1.238  0.820 1.175  0.739 1.095  0.659 1.014  0.564 0.952  0.462 0.900  0.360 0.849  0.258 0.798  0.155 0.747  0.067 0.677  -0.014 0.596  -0.095 0.515  -0.186 0.449  -0.288 0.398  -0.391 0.347  -0.493 0.296  -0.595 0.245  -0.686 0.178  -0.767 0.097  -0.848 0.016  -0.941 -0.034  -1.056 -0.034  -1.153 -0.051  -1.153 -0.166  -1.153 -0.280  -1.047 -0.289  -0.932 -0.289  -0.818 -0.289  -0.704 -0.289  -0.589 -0.289  -0.475 -0.289  -0.364 -0.301  -0.262 -0.352  -0.159 -0.404  -0.057 -0.455  0.045 -0.506  0.147 -0.557  0.250 -0.608  0.352 -0.659  0.454 -0.710  0.556 -0.761  0.652 -0.821  0.733 -0.902  0.814 -0.983  0.895 -1.064  0.976 -1.145  1.057 -1.225  1.137 -1.306
1d#ibm#ibm0#r0414/<  1.064 1.515  0.973 1.424  0.882 1.334  0.792 1.243  0.685 1.174  0.571 1.117  0.456 1.060  0.342 1.002  0.227 0.945  0.121 0.875  0.031 0.785  -0.060 0.694  -0.151 0.604  -0.241 0.513  -0.332 0.422  -0.422 0.332  -0.451 0.216  -0.451 0.088  -0.492 -0.000  -0.620 -0.000  -0.748 -0.000  -0.754 -0.122  -0.754 -0.250  -0.829 -0.303  -0.958 -0.303  -1.057 -0.332  -1.057 -0.460  -1.057 -0.588  -0.948 -0.606  -0.820 -0.606  -0.710 -0.562  -0.619 -0.471  -0.529 -0.380  -0.438 -0.317  -0.347 -0.407  -0.257 -0.498  -0.166 -0.588  -0.045 -0.606  0.083 -0.606  0.211 -0.606  0.339 -0.606  0.467 -0.606  0.595 -0.606  0.723 -0.606  0.851 -0.606  0.980 -0.606  1.095 -0.637  1.185 -0.728  1.276 -0.819  1.367 -0.909
1d#ibm#ibm0#r0414/<  1.036 1.181  0.903 1.181  0.770 1.181  0.669 1.106  0.575 1.012  0.481 0.918  0.360 0.889  0.227 0.889  0.113 0.842  0.019 0.748  -0.075 0.654  -0.178 0.574  -0.297 0.514  -0.416 0.455  -0.535 0.396  -0.654 0.336  -0.716 0.242  -0.716 0.109  -0.753 0.013  -0.886 0.013  -1.008 0.002  -1.008 -0.131  -1.008 -0.264  -1.126 -0.279  -1.259 -0.279  -1.209 -0.279  -1.076 -0.279  -0.943 -0.279  -0.810 -0.279  -0.677 -0.279  -0.544 -0.279  -0.411 -0.279  -0.278 -0.279  -0.145 -0.279  -0.012 -0.279  0.121 -0.279  0.160 -0.372  0.160 -0.505  0.227 -0.571  0.360 -0.571  0.493 -0.571  0.626 -0.571  0.757 -0.578  0.876 -0.637  0.995 -0.697  1.114 -0.756  1.233 -0.815  1.355 -0.863  1.488 -0.863  1.620 -0.863
1d#ibm#ibm0#r0414/<  1.022 1.400  0.934 1.334  0.846 1.268  0.758 1.203  0.670 1.137  0.579 1.077  0.485 1.020  0.391 0.963  0.297 0.907  0.202 0.850  0.111 0.791  0.021 0.727  -0.068 0.663  -0.157 0.599  -0.242 0.529  -0.324 0.456  -0.406 0.384  -0.488 0.311  -0.570 0.238  -0.650 0.163  -0.728 0.086  -0.805 0.008  -0.888 -0.064  -0.971 -0.135  -1.055 -0.207  -1.138 -0.278  -1.082 -0.329  -0.982 -0.373  -0.882 -0.418  -0.782 -0.463  -0.691 -0.457  -0.591 -0.463  -0.486 -0.492  -0.380 -0.521  -0.274 -0.550  -0.168 -0.579  -0.059 -0.586  0.050 -0.586  0.160 -0.586  0.270 -0.586  0.374 -0.616  0.477 -0.655  0.580 -0.693  0.682 -0.731  0.771 -0.796  0.860 -0.861  0.949 -0.925  1.037 -0.990  1.126 -1.054  1.215 -1.119
1d#ibm#ibm0#r0414/<  1.015 1.396  0.928 1.330  0.841 1.265  0.754 1.200  0.667 1.135  0.577 1.075  0.483 1.019  0.390 0.963  0.297 0.906  0.204 0.850  0.113 0.791  0.024 0.728  -0.064 0.665  -0.153 0.602  -0.237 0.533  -0.318 0.461  -0.400 0.389  -0.481 0.317  -0.562 0.245  -0.643 0.172  -0.724 0.099  -0.805 0.026  -0.885 -0.047  -0.966 -0.120  -1.046 -0.193  -1.127 -0.266  -1.097 -0.321  -0.998 -0.365  -0.898 -0.410  -0.799 -0.454  -0.698 -0.492  -0.590 -0.510  -0.483 -0.528  -0.376 -0.546  -0.269 -0.564  -0.162 -0.581  -0.053 -0.585  0.056 -0.585  0.164 -0.585  0.273 -0.585  0.376 -0.617  0.478 -0.655  0.580 -0.693  0.681 -0.732  0.769 -0.796  0.857 -0.860  0.945 -0.924  1.033 -0.988  1.121 -1.052  1.209 -1.116
2#ibm#ibm0#r0104/<  0.993 1.531  0.918 1.456  0.844 1.381  0.769 1.306  0.694 1.232  0.620 1.157  0.545 1.082  0.470 1.008  0.395 0.933  0.321 0.858  0.246 0.784  0.169 0.712  0.081 0.653  -0.007 0.595  -0.095 0.536  -0.183 0.478  -0.271 0.419  -0.350 0.349  -0.424 0.275  -0.499 0.200  -0.574 0.125  -0.656 0.060  -0.750 0.013  -0.845 -0.034  -0.939 -0.081  -0.944 -0.184  -0.944 -0.289  -0.944 -0.395  -0.944 -0.501  -0.906 -0.568  -0.800 -0.568  -0.699 -0.596  -0.599 -0.629  -0.499 -0.663  -0.399 -0.696  -0.298 -0.730  -0.193 -0.730  -0.087 -0.730  0.019 -0.730  0.124 -0.730  0.228 -0.744  0.328 -0.777  0.428 -0.810  0.528 -0.844  0.629 -0.877  0.732 -0.891  0.838 -0.891  0.943 -0.891  0.993 -0.835  0.993 -0.730
2#ibm#ibm0#r0104/<  1.058 1.409  0.976 1.327  0.894 1.246  0.790 1.193  0.687 1.141  0.583 1.089  0.496 1.014  0.414 0.932  0.332 0.850  0.250 0.768  0.168 0.686  0.086 0.604  -0.006 0.535  -0.102 0.470  -0.199 0.406  -0.295 0.342  -0.392 0.277  -0.488 0.213  -0.585 0.149  -0.681 0.084  -0.778 0.020  -0.874 -0.044  -0.965 -0.116  -1.047 -0.198  -1.129 -0.280  -1.211 -0.362  -1.224 -0.415  -1.108 -0.415  -0.992 -0.415  -0.876 -0.415  -0.760 -0.415  -0.644 -0.415  -0.532 -0.438  -0.422 -0.474  -0.312 -0.511  -0.202 -0.548  -0.091 -0.581  0.025 -0.581  0.141 -0.581  0.257 -0.581  0.373 -0.581  0.484 -0.610  0.594 -0.647  0.704 -0.684  0.814 -0.720  0.926 -0.746  1.041 -0.746  1.157 -0.746  1.273 -0.746  1.389 -0.746
2#ibm#ibm0#r0104/<  1.110 1.502  1.063 1.408  0.990 1.334  0.911 1.265  0.833 1.197  0.754 1.128  0.675 1.059  0.597 0.990  0.518 0.921  0.439 0.852  0.360 0.783  0.282 0.714  0.203 0.646  0.122 0.579  0.040 0.514  -0.043 0.450  -0.125 0.386  -0.208 0.321  -0.290 0.257  -0.374 0.194  -0.459 0.134  -0.545 0.074  -0.631 0.014  -0.716 -0.046  -0.802 -0.106  -0.888 -0.166  -0.965 -0.236  -1.031 -0.315  -1.064 -0.414  -1.034 -0.490  -0.944 -0.544  -0.855 -0.598  -0.759 -0.632  -0.656 -0.639  -0.554 -0.662  -0.452 -0.686  -0.350 -0.709  -0.248 -0.733  -0.146 -0.756  -0.044 -0.780  0.058 -0.800  0.163 -0.800  0.268 -0.800  0.372 -0.804  0.476 -0.813  0.581 -0.821  0.685 -0.830  0.789 -0.839  0.893 -0.847  0.998 -0.856
2#ibm#ibm0#r0104/<  1.111 1.504  1.037 1.430  0.963 1.357  0.890 1.283  0.816 1.209  0.742 1.136  0.668 1.062  0.594 0.989  0.515 0.920  0.437 0.852  0.359 0.783  0.280 0.714  0.202 0.646  0.122 0.579  0.039 0.515  -0.043 0.451  -0.125 0.387  -0.207 0.323  -0.290 0.258  -0.373 0.196  -0.458 0.136  -0.544 0.076  -0.629 0.017  -0.715 -0.043  -0.800 -0.103  -0.886 -0.163  -0.949 -0.243  -1.002 -0.333  -1.056 -0.422  -1.029 -0.491  -0.940 -0.545  -0.851 -0.599  -0.756 -0.639  -0.654 -0.659  -0.551 -0.680  -0.449 -0.700  -0.347 -0.720  -0.245 -0.741  -0.142 -0.761  -0.040 -0.782  0.062 -0.799  0.167 -0.799  0.271 -0.799  0.375 -0.803  0.479 -0.811  0.583 -0.820  0.687 -0.829  0.791 -0.837  0.894 -0.846  0.998 -0.855
