2#ceb#Bouzy/F  0.435 0.472  0.457 0.425  0.401 0.255  0.340 0.086  0.277 -0.082  0.212 -0.249  0.146 -0.416  0.072 -0.580  -0.011 -0.739  -0.104 -0.892  -0.210 -1.037  -0.337 -1.163  -0.488 -1.259  -0.662 -1.297  -0.835 -1.261  -0.971 -1.146  -1.058 -0.991  -1.105 -0.818  -1.119 -0.640  -1.053 -0.481  -0.894 -0.402  -0.726 -0.338  -0.549 -0.320  -0.369 -0.313  -0.190 -0.306  -0.011 -0.297  0.168 -0.291  0.347 -0.275  0.523 -0.243  0.518 -0.195  0.353 -0.131  0.200 -0.036  0.048 0.058  -0.105 0.152  -0.258 0.246  -0.411 0.341  -0.444 0.485  -0.374 0.650  -0.256 0.785  -0.120 0.902  0.029 1.001  0.194 1.070  0.367 1.114  0.545 1.141  0.724 1.154  0.903 1.157  1.083 1.157  1.262 1.162  1.440 1.177  1.616 1.210
2#ceb#Bouzy/p  -0.067 0.850  -0.077 0.661  -0.118 0.463  -0.171 0.268  -0.222 0.072  -0.267 -0.125  -0.317 -0.321  -0.374 -0.515  -0.430 -0.710  -0.485 -0.904  -0.534 -1.101  -0.597 -1.292  -0.674 -1.480  -0.761 -1.662  -0.780 -1.600  -0.728 -1.404  -0.662 -1.213  -0.600 -1.021  -0.538 -0.828  -0.475 -0.636  -0.413 -0.443  -0.346 -0.252  -0.279 -0.061  -0.212 0.130  -0.144 0.320  -0.076 0.511  -0.003 0.700  0.070 0.888  0.154 1.072  0.245 1.253  0.349 1.426  0.517 1.518  0.680 1.405  0.811 1.252  0.926 1.086  1.008 0.903  1.048 0.705  1.056 0.504  1.030 0.305  0.959 0.116  0.846 -0.050  0.697 -0.186  0.514 -0.272  0.317 -0.315  0.116 -0.313  -0.079 -0.262  -0.238 -0.142  -0.299 0.045  -0.229 0.234  -0.148 0.420
2#ceb#Bouzy/S  0.458 0.645  0.557 0.729  0.639 0.829  0.696 0.945  0.723 1.071  0.722 1.201  0.653 1.309  0.543 1.367  0.415 1.348  0.296 1.300  0.179 1.242  0.075 1.165  -0.029 1.087  -0.124 0.999  -0.214 0.906  -0.299 0.808  -0.368 0.699  -0.434 0.587  -0.473 0.463  -0.489 0.338  -0.457 0.215  -0.370 0.121  -0.254 0.063  -0.127 0.034  0.001 0.017  0.130 0.001  0.255 -0.033  0.354 -0.116  0.419 -0.228  0.461 -0.350  0.474 -0.479  0.460 -0.608  0.430 -0.734  0.389 -0.857  0.325 -0.970  0.247 -1.072  0.153 -1.162  0.045 -1.234  -0.076 -1.279  -0.202 -1.304  -0.332 -1.305  -0.459 -1.285  -0.574 -1.223  -0.652 -1.120  -0.705 -1.003  -0.738 -0.879  -0.729 -0.749  -0.712 -0.621  -0.665 -0.500  -0.618 -0.379
2#ceb#Bouzy/i  0.034 0.247  0.030 0.135  0.022 0.022  0.016 -0.090  -0.002 -0.202  -0.022 -0.313  -0.042 -0.424  -0.063 -0.535  -0.093 -0.644  -0.123 -0.752  -0.155 -0.861  -0.188 -0.969  -0.220 -1.077  -0.250 -1.186  -0.281 -1.294  -0.315 -1.402  -0.362 -1.495  -0.351 -1.382  -0.339 -1.270  -0.328 -1.158  -0.313 -1.046  -0.298 -0.934  -0.282 -0.822  -0.253 -0.713  -0.222 -0.605  -0.191 -0.496  -0.160 -0.388  -0.129 -0.279  -0.099 -0.170  -0.068 -0.062  -0.037 0.047  -0.006 0.155  0.025 0.264  0.055 0.373  0.086 0.481  0.117 0.590  0.148 0.699  0.179 0.807  0.210 0.916  0.240 1.024  0.271 1.133  0.302 1.242  0.333 1.350  0.364 1.459  0.395 1.567  0.425 1.676  0.453 1.759  0.461 1.647  0.491 1.539  0.534 1.435
2#ceb#Bouzy/x  -0.702 1.327  -0.645 1.146  -0.577 0.969  -0.505 0.793  -0.425 0.621  -0.344 0.449  -0.263 0.277  -0.184 0.104  -0.106 -0.069  -0.020 -0.238  0.079 -0.400  0.176 -0.564  0.265 -0.732  0.356 -0.898  0.456 -1.060  0.540 -1.230  0.585 -1.319  0.564 -1.130  0.535 -0.942  0.505 -0.755  0.488 -0.566  0.488 -0.376  0.488 -0.186  0.511 0.002  0.541 0.190  0.572 0.377  0.603 0.565  0.634 0.752  0.665 0.940  0.696 1.127  0.727 1.315  0.689 1.322  0.582 1.165  0.469 1.012  0.356 0.860  0.238 0.711  0.120 0.562  0.002 0.413  -0.116 0.264  -0.234 0.115  -0.352 -0.034  -0.471 -0.182  -0.590 -0.330  -0.710 -0.477  -0.831 -0.624  -0.952 -0.771  -1.070 -0.919  -1.187 -1.069  -1.304 -1.219  -1.346 -1.287
2#ceb#Bouzy/c  0.278 0.370  0.350 0.464  0.412 0.566  0.458 0.675  0.494 0.789  0.521 0.904  0.529 1.023  0.516 1.141  0.477 1.251  0.406 1.343  0.289 1.348  0.184 1.291  0.093 1.217  0.009 1.133  -0.072 1.046  -0.141 0.949  -0.209 0.851  -0.278 0.754  -0.336 0.650  -0.393 0.546  -0.450 0.441  -0.506 0.336  -0.553 0.227  -0.599 0.117  -0.646 0.008  -0.681 -0.105  -0.704 -0.222  -0.726 -0.339  -0.743 -0.457  -0.743 -0.576  -0.743 -0.695  -0.692 -0.802  -0.639 -0.908  -0.551 -0.988  -0.450 -1.051  -0.348 -1.110  -0.231 -1.134  -0.114 -1.156  0.004 -1.143  0.122 -1.128  0.235 -1.091  0.346 -1.049  0.448 -0.987  0.542 -0.916  0.626 -0.832  0.702 -0.741  0.769 -0.643  0.833 -0.542  0.905 -0.448  0.999 -0.375
2#ceb#Bouzy/a  0.694 1.007  0.688 1.181  0.666 1.354  0.568 1.494  0.403 1.494  0.249 1.411  0.115 1.301  -0.018 1.188  -0.141 1.064  -0.262 0.938  -0.380 0.810  -0.487 0.672  -0.594 0.535  -0.695 0.393  -0.788 0.245  -0.881 0.098  -0.952 -0.061  -1.016 -0.223  -1.057 -0.392  -1.082 -0.564  -1.046 -0.733  -0.961 -0.882  -0.827 -0.984  -0.661 -1.028  -0.486 -1.027  -0.325 -0.961  -0.175 -0.875  -0.035 -0.770  0.083 -0.642  0.194 -0.509  0.284 -0.359  0.369 -0.207  0.442 -0.048  0.511 0.111  0.575 0.274  0.627 0.440  0.665 0.608  0.614 0.441  0.555 0.277  0.506 0.109  0.457 -0.058  0.402 -0.223  0.355 -0.391  0.322 -0.562  0.291 -0.734  0.267 -0.906  0.286 -1.077  0.408 -1.159  0.565 -1.084  0.708 -0.985
2#ceb#Bouzy/n  -0.326 0.849  -0.383 0.698  -0.440 0.546  -0.494 0.393  -0.545 0.240  -0.596 0.086  -0.646 -0.068  -0.693 -0.223  -0.741 -0.377  -0.786 -0.533  -0.830 -0.689  -0.875 -0.844  -0.918 -1.000  -0.961 -1.154  -0.911 -1.001  -0.867 -0.845  -0.807 -0.695  -0.741 -0.547  -0.674 -0.400  -0.604 -0.254  -0.534 -0.108  -0.458 0.035  -0.373 0.173  -0.288 0.311  -0.200 0.446  -0.101 0.574  -0.002 0.702  0.105 0.824  0.220 0.938  0.336 1.051  0.475 1.134  0.621 1.196  0.779 1.198  0.902 1.096  0.960 0.945  0.983 0.786  0.991 0.624  0.976 0.464  0.949 0.304  0.919 0.145  0.877 -0.011  0.835 -0.167  0.789 -0.323  0.740 -0.477  0.690 -0.631  0.629 -0.781  0.566 -0.930  0.513 -1.083  0.465 -1.237  0.473 -1.383
2#ceb#Bouzy/s  0.685 1.660  0.562 1.691  0.448 1.636  0.344 1.565  0.247 1.483  0.157 1.395  0.074 1.298  -0.006 1.199  -0.085 1.100  -0.149 0.991  -0.209 0.879  -0.253 0.762  -0.271 0.636  -0.264 0.511  -0.227 0.394  -0.137 0.304  -0.032 0.234  0.081 0.179  0.203 0.141  0.322 0.099  0.441 0.053  0.542 -0.023  0.622 -0.118  0.683 -0.230  0.685 -0.356  0.676 -0.481  0.636 -0.602  0.592 -0.721  0.535 -0.834  0.468 -0.940  0.378 -1.030  0.271 -1.096  0.157 -1.152  0.036 -1.188  -0.089 -1.206  -0.214 -1.197  -0.334 -1.157  -0.454 -1.116  -0.549 -1.032  -0.623 -0.932  -0.680 -0.818  -0.708 -0.697  -0.715 -0.570  -0.706 -0.446  -0.664 -0.326  -0.622 -0.206  -0.571 -0.091  -0.500 0.014  -0.428 0.119  -0.357 0.224
2#ceb#Bouzy/o  -0.415 0.515  -0.453 0.427  -0.514 0.304  -0.575 0.181  -0.634 0.057  -0.685 -0.071  -0.736 -0.199  -0.785 -0.327  -0.834 -0.455  -0.860 -0.590  -0.882 -0.725  -0.872 -0.861  -0.832 -0.993  -0.732 -1.084  -0.608 -1.133  -0.473 -1.159  -0.337 -1.140  -0.201 -1.121  -0.071 -1.079  0.059 -1.034  0.184 -0.978  0.302 -0.909  0.421 -0.839  0.515 -0.740  0.607 -0.637  0.684 -0.525  0.745 -0.402  0.806 -0.279  0.835 -0.145  0.856 -0.009  0.870 0.127  0.885 0.264  0.877 0.401  0.862 0.537  0.848 0.674  0.797 0.801  0.745 0.929  0.663 1.034  0.559 1.124  0.436 1.173  0.300 1.194  0.169 1.168  0.041 1.119  -0.080 1.057  -0.193 0.978  -0.306 0.899  -0.393 0.793  -0.480 0.687  -0.534 0.562  -0.580 0.433
2#ceb#Bouzy/f  0.590 0.828  0.627 0.943  0.659 1.060  0.680 1.179  0.689 1.300  0.680 1.420  0.627 1.527  0.511 1.530  0.412 1.463  0.327 1.377  0.259 1.277  0.205 1.169  0.162 1.055  0.137 0.936  0.116 0.817  0.100 0.697  0.083 0.577  0.066 0.457  0.049 0.336  0.034 0.216  0.013 0.097  -0.010 -0.022  -0.035 -0.141  -0.064 -0.259  -0.094 -0.376  -0.127 -0.493  -0.161 -0.610  -0.196 -0.726  -0.230 -0.842  -0.265 -0.958  -0.302 -1.074  -0.341 -1.189  -0.386 -1.301  -0.435 -1.412  -0.507 -1.508  -0.499 -1.393  -0.482 -1.273  -0.463 -1.153  -0.445 -1.033  -0.429 -0.913  -0.404 -0.795  -0.365 -0.680  -0.326 -0.565  -0.288 -0.450  -0.249 -0.335  -0.210 -0.220  -0.105 -0.180  0.013 -0.152  0.131 -0.122  0.247 -0.087
2#ceb#Bouzy/f  0.516 0.511  0.598 0.615  0.669 0.727  0.726 0.846  0.768 0.971  0.795 1.100  0.813 1.231  0.797 1.361  0.731 1.470  0.605 1.462  0.493 1.393  0.394 1.306  0.316 1.199  0.248 1.087  0.191 0.967  0.141 0.845  0.101 0.719  0.061 0.593  0.029 0.465  -0.003 0.337  -0.035 0.209  -0.065 0.080  -0.096 -0.049  -0.126 -0.177  -0.156 -0.306  -0.187 -0.435  -0.221 -0.562  -0.255 -0.690  -0.293 -0.816  -0.334 -0.942  -0.377 -1.067  -0.422 -1.191  -0.475 -1.312  -0.539 -1.428  -0.611 -1.522  -0.595 -1.391  -0.569 -1.261  -0.542 -1.132  -0.514 -1.003  -0.487 -0.874  -0.461 -0.744  -0.435 -0.614  -0.409 -0.485  -0.382 -0.355  -0.356 -0.226  -0.273 -0.173  -0.141 -0.177  -0.009 -0.183  0.123 -0.188  0.255 -0.192
2#ceb#Bouzy/r  -0.284 0.008  -0.205 -0.065  -0.125 -0.138  -0.091 -0.234  -0.077 -0.341  -0.080 -0.447  -0.099 -0.553  -0.120 -0.659  -0.163 -0.757  -0.207 -0.856  -0.255 -0.953  -0.306 -1.047  -0.370 -1.133  -0.446 -1.209  -0.542 -1.257  -0.640 -1.252  -0.674 -1.154  -0.672 -1.048  -0.658 -0.941  -0.637 -0.835  -0.611 -0.731  -0.584 -0.626  -0.552 -0.524  -0.515 -0.422  -0.479 -0.321  -0.442 -0.219  -0.394 -0.123  -0.345 -0.027  -0.295 0.069  -0.245 0.164  -0.189 0.256  -0.128 0.344  -0.066 0.433  -0.005 0.521  0.063 0.605  0.135 0.685  0.207 0.766  0.279 0.846  0.364 0.912  0.449 0.978  0.535 1.043  0.635 1.083  0.736 1.121  0.839 1.147  0.946 1.163  1.053 1.170  1.161 1.170  1.268 1.164  1.371 1.141  1.459 1.079
2#ceb#Bouzy/o  -0.143 0.650  -0.237 0.586  -0.306 0.486  -0.373 0.386  -0.434 0.280  -0.493 0.174  -0.550 0.068  -0.606 -0.040  -0.663 -0.147  -0.713 -0.257  -0.764 -0.368  -0.811 -0.479  -0.848 -0.595  -0.884 -0.710  -0.892 -0.831  -0.885 -0.950  -0.821 -1.051  -0.724 -1.114  -0.606 -1.141  -0.486 -1.123  -0.367 -1.103  -0.256 -1.055  -0.145 -1.005  -0.038 -0.950  0.061 -0.879  0.159 -0.809  0.250 -0.729  0.326 -0.635  0.402 -0.541  0.468 -0.440  0.517 -0.329  0.566 -0.218  0.612 -0.106  0.653 0.008  0.679 0.126  0.699 0.246  0.719 0.365  0.733 0.485  0.733 0.607  0.733 0.728  0.731 0.849  0.710 0.969  0.690 1.088  0.648 1.200  0.586 1.304  0.499 1.382  0.393 1.440  0.274 1.429  0.158 1.398  0.046 1.351
2#ceb#Bouzy/z  -0.078 1.063  -0.010 1.195  0.083 1.310  0.196 1.405  0.329 1.468  0.475 1.472  0.607 1.410  0.689 1.287  0.699 1.141  0.657 1.000  0.595 0.865  0.502 0.750  0.400 0.643  0.292 0.541  0.171 0.457  0.048 0.373  -0.080 0.300  -0.214 0.235  -0.269 0.246  -0.141 0.320  -0.001 0.364  0.144 0.353  0.263 0.269  0.342 0.144  0.398 0.008  0.437 -0.135  0.469 -0.279  0.486 -0.426  0.489 -0.574  0.474 -0.721  0.429 -0.862  0.355 -0.987  0.253 -1.093  0.129 -1.174  -0.010 -1.224  -0.153 -1.258  -0.300 -1.278  -0.448 -1.270  -0.593 -1.242  -0.728 -1.185  -0.838 -1.091  -0.904 -0.960  -0.923 -0.814  -0.896 -0.669  -0.848 -0.529  -0.785 -0.396  -0.696 -0.278  -0.602 -0.163  -0.499 -0.057  -0.392 0.046
2#ceb#Bouzy/e  -0.756 -0.200  -0.657 -0.325  -0.525 -0.414  -0.382 -0.482  -0.225 -0.511  -0.066 -0.506  0.085 -0.455  0.225 -0.380  0.343 -0.272  0.448 -0.152  0.544 -0.024  0.606 0.123  0.664 0.271  0.702 0.426  0.736 0.583  0.763 0.740  0.781 0.899  0.793 1.058  0.762 1.214  0.705 1.359  0.588 1.454  0.439 1.413  0.296 1.342  0.167 1.247  0.039 1.152  -0.076 1.041  -0.184 0.924  -0.293 0.806  -0.385 0.676  -0.470 0.541  -0.556 0.406  -0.627 0.263  -0.693 0.118  -0.759 -0.028  -0.788 -0.184  -0.810 -0.343  -0.812 -0.500  -0.779 -0.657  -0.730 -0.806  -0.639 -0.938  -0.530 -1.047  -0.384 -1.113  -0.234 -1.165  -0.076 -1.184  0.082 -1.192  0.236 -1.149  0.391 -1.107  0.538 -1.045  0.681 -0.974  0.824 -0.902
2#ceb#Bouzy/n  -0.460 0.832  -0.512 0.686  -0.560 0.538  -0.600 0.389  -0.637 0.238  -0.675 0.088  -0.718 -0.061  -0.762 -0.210  -0.806 -0.358  -0.851 -0.507  -0.897 -0.655  -0.949 -0.800  -1.026 -0.934  -1.100 -0.918  -1.052 -0.771  -0.991 -0.628  -0.922 -0.489  -0.853 -0.351  -0.774 -0.217  -0.692 -0.086  -0.609 0.045  -0.513 0.166  -0.413 0.284  -0.312 0.402  -0.205 0.514  -0.091 0.619  0.024 0.723  0.145 0.819  0.273 0.907  0.402 0.990  0.554 1.022  0.704 1.029  0.848 0.973  0.917 0.835  0.961 0.688  0.985 0.535  0.973 0.381  0.952 0.228  0.917 0.077  0.878 -0.073  0.824 -0.218  0.765 -0.361  0.712 -0.506  0.657 -0.651  0.620 -0.800  0.675 -0.925  0.822 -0.924  0.974 -0.893  1.124 -0.855  1.274 -0.818
2#ceb#Bouzy/o  -0.173 0.948  -0.228 0.820  -0.297 0.699  -0.357 0.572  -0.419 0.447  -0.487 0.325  -0.556 0.203  -0.619 0.078  -0.680 -0.048  -0.740 -0.174  -0.789 -0.305  -0.838 -0.436  -0.879 -0.569  -0.905 -0.706  -0.914 -0.844  -0.898 -0.983  -0.816 -1.092  -0.699 -1.155  -0.561 -1.176  -0.423 -1.165  -0.285 -1.143  -0.151 -1.106  -0.021 -1.054  0.108 -1.001  0.228 -0.929  0.341 -0.848  0.445 -0.754  0.548 -0.660  0.634 -0.550  0.708 -0.432  0.780 -0.312  0.817 -0.178  0.854 -0.043  0.882 0.094  0.892 0.233  0.901 0.373  0.886 0.510  0.854 0.647  0.816 0.780  0.746 0.902  0.677 1.023  0.557 1.094  0.433 1.152  0.293 1.159  0.158 1.142  0.030 1.085  -0.082 1.005  -0.185 0.909  -0.260 0.793  -0.325 0.669
2#ceb#Bouzy/r  -0.221 0.415  -0.239 0.299  -0.264 0.184  -0.289 0.070  -0.315 -0.044  -0.341 -0.158  -0.364 -0.273  -0.387 -0.388  -0.411 -0.503  -0.438 -0.617  -0.466 -0.731  -0.493 -0.845  -0.520 -0.959  -0.547 -1.072  -0.564 -1.188  -0.585 -1.303  -0.619 -1.375  -0.621 -1.259  -0.605 -1.143  -0.578 -1.029  -0.550 -0.916  -0.520 -0.802  -0.491 -0.689  -0.457 -0.577  -0.421 -0.465  -0.385 -0.354  -0.343 -0.245  -0.293 -0.139  -0.239 -0.035  -0.181 0.067  -0.123 0.169  -0.065 0.271  0.002 0.367  0.072 0.460  0.142 0.554  0.213 0.648  0.295 0.731  0.380 0.812  0.464 0.893  0.554 0.968  0.650 1.035  0.746 1.102  0.854 1.143  0.968 1.171  1.084 1.166  1.185 1.113  1.267 1.031  1.315 0.924  1.355 0.814  1.392 0.703
2#ceb#Bouzy/a  0.312 -0.152  0.426 0.005  0.485 0.189  0.535 0.376  0.560 0.567  0.562 0.761  0.542 0.954  0.492 1.141  0.410 1.314  0.258 1.419  0.075 1.389  -0.091 1.293  -0.244 1.174  -0.379 1.036  -0.513 0.896  -0.638 0.748  -0.755 0.593  -0.871 0.438  -0.960 0.266  -1.046 0.092  -1.123 -0.085  -1.178 -0.271  -1.213 -0.459  -1.196 -0.652  -1.118 -0.823  -0.995 -0.968  -0.826 -1.063  -0.635 -1.091  -0.446 -1.078  -0.267 -1.005  -0.096 -0.916  0.045 -0.783  0.176 -0.641  0.293 -0.486  0.392 -0.320  0.478 -0.146  0.553 0.032  0.624 0.213  0.693 0.394  0.704 0.402  0.626 0.225  0.557 0.043  0.484 -0.136  0.422 -0.319  0.379 -0.507  0.391 -0.696  0.505 -0.843  0.686 -0.889  0.872 -0.855  1.049 -0.776
2#ceb#Bouzy/n  -0.453 0.793  -0.494 0.639  -0.536 0.486  -0.580 0.333  -0.621 0.180  -0.659 0.026  -0.696 -0.129  -0.730 -0.284  -0.766 -0.439  -0.820 -0.588  -0.868 -0.740  -0.924 -0.888  -0.989 -1.033  -1.034 -1.041  -0.975 -0.894  -0.907 -0.750  -0.839 -0.607  -0.770 -0.463  -0.702 -0.320  -0.627 -0.180  -0.542 -0.046  -0.452 0.085  -0.362 0.216  -0.264 0.341  -0.157 0.458  -0.049 0.574  0.060 0.690  0.180 0.794  0.300 0.899  0.423 0.998  0.562 1.074  0.703 1.146  0.861 1.168  0.953 1.062  0.987 0.910  0.990 0.752  0.962 0.595  0.933 0.439  0.903 0.283  0.853 0.132  0.802 -0.018  0.754 -0.170  0.706 -0.321  0.658 -0.472  0.610 -0.624  0.583 -0.780  0.589 -0.936  0.670 -1.064  0.808 -1.131  0.966 -1.152
2#ceb#Bouzy/g  0.641 1.078  0.685 1.215  0.692 1.356  0.602 1.446  0.470 1.401  0.350 1.322  0.240 1.230  0.138 1.129  0.048 1.018  -0.030 0.898  -0.081 0.766  -0.080 0.625  0.021 0.534  0.164 0.522  0.298 0.571  0.423 0.641  0.529 0.738  0.599 0.799  0.541 0.668  0.493 0.532  0.448 0.396  0.405 0.259  0.363 0.122  0.326 -0.017  0.288 -0.155  0.246 -0.293  0.204 -0.430  0.158 -0.566  0.110 -0.701  0.060 -0.836  0.007 -0.969  -0.059 -1.096  -0.132 -1.220  -0.226 -1.328  -0.340 -1.414  -0.474 -1.456  -0.613 -1.435  -0.727 -1.352  -0.790 -1.227  -0.808 -1.086  -0.798 -0.944  -0.757 -0.807  -0.708 -0.672  -0.651 -0.540  -0.587 -0.412  -0.508 -0.292  -0.429 -0.172  -0.342 -0.059  -0.250 0.052  -0.159 0.163
2#ceb#Bouzy/e  -0.404 0.199  -0.433 0.055  -0.370 -0.087  -0.237 -0.171  -0.083 -0.208  0.076 -0.214  0.226 -0.165  0.363 -0.086  0.476 0.026  0.568 0.155  0.655 0.289  0.717 0.436  0.777 0.584  0.815 0.738  0.844 0.895  0.860 1.053  0.867 1.212  0.800 1.353  0.662 1.369  0.515 1.306  0.379 1.226  0.254 1.127  0.129 1.028  0.011 0.921  -0.104 0.810  -0.218 0.699  -0.329 0.585  -0.429 0.461  -0.528 0.336  -0.628 0.212  -0.708 0.074  -0.782 -0.067  -0.857 -0.208  -0.896 -0.362  -0.928 -0.518  -0.930 -0.675  -0.910 -0.833  -0.837 -0.971  -0.743 -1.099  -0.607 -1.182  -0.462 -1.237  -0.303 -1.251  -0.147 -1.231  0.007 -1.190  0.151 -1.123  0.292 -1.049  0.423 -0.959  0.543 -0.853  0.667 -0.753  0.794 -0.657
2#ceb#Bouzy/j  0.959 1.757  0.905 1.657  0.857 1.538  0.807 1.421  0.755 1.304  0.711 1.185  0.668 1.065  0.623 0.945  0.573 0.828  0.522 0.711  0.472 0.594  0.422 0.476  0.372 0.359  0.322 0.241  0.272 0.124  0.222 0.007  0.172 -0.111  0.118 -0.226  0.062 -0.341  0.006 -0.455  -0.051 -0.570  -0.108 -0.684  -0.165 -0.798  -0.227 -0.909  -0.290 -1.021  -0.366 -1.122  -0.449 -1.219  -0.546 -1.302  -0.664 -1.345  -0.771 -1.300  -0.817 -1.183  -0.828 -1.057  -0.819 -0.931  -0.788 -0.807  -0.746 -0.687  -0.691 -0.572  -0.635 -0.457  -0.568 -0.349  -0.500 -0.241  -0.427 -0.137  -0.346 -0.038  -0.265 0.060  -0.179 0.155  -0.090 0.246  -0.001 0.338  0.099 0.416  0.201 0.494  0.302 0.571  0.404 0.647  0.506 0.724
2#ceb#Bouzy/u  -0.201 0.916  -0.152 0.877  -0.209 0.773  -0.275 0.676  -0.342 0.578  -0.403 0.477  -0.463 0.376  -0.523 0.274  -0.584 0.173  -0.645 0.072  -0.705 -0.030  -0.757 -0.136  -0.808 -0.243  -0.858 -0.349  -0.895 -0.462  -0.933 -0.574  -0.954 -0.689  -0.969 -0.806  -0.925 -0.916  -0.847 -0.996  -0.742 -1.047  -0.626 -1.054  -0.509 -1.041  -0.396 -1.010  -0.285 -0.968  -0.179 -0.919  -0.085 -0.847  0.009 -0.775  0.098 -0.698  0.179 -0.613  0.261 -0.527  0.339 -0.439  0.402 -0.339  0.465 -0.239  0.528 -0.139  0.584 -0.035  0.638 0.070  0.692 0.174  0.746 0.280  0.791 0.389  0.837 0.497  0.883 0.606  0.926 0.716  0.965 0.828  0.992 0.943  1.017 1.058  1.039 1.174  1.056 1.291  0.968 1.356  0.856 1.319
2#ceb#Bouzy/i  0.645 1.616  0.625 1.714  0.622 1.628  0.594 1.531  0.558 1.437  0.516 1.346  0.473 1.254  0.421 1.168  0.362 1.087  0.303 1.005  0.244 0.923  0.185 0.841  0.129 0.757  0.073 0.674  0.017 0.590  -0.039 0.506  -0.095 0.422  -0.152 0.338  -0.208 0.255  -0.265 0.172  -0.322 0.088  -0.379 0.005  -0.435 -0.078  -0.491 -0.162  -0.547 -0.246  -0.588 -0.338  -0.629 -0.431  -0.669 -0.523  -0.701 -0.618  -0.716 -0.718  -0.731 -0.817  -0.713 -0.913  -0.672 -1.004  -0.575 -1.033  -0.479 -1.062  -0.379 -1.059  -0.278 -1.051  -0.179 -1.037  -0.091 -0.989  -0.002 -0.941  0.086 -0.893  0.175 -0.844  0.263 -0.796  0.342 -0.733  0.421 -0.670  0.499 -0.607  0.578 -0.543  0.656 -0.480  0.735 -0.417  0.813 -0.353
2#ceb#Bouzy/c  0.518 0.240  0.532 0.347  0.547 0.454  0.565 0.561  0.582 0.668  0.588 0.776  0.593 0.884  0.600 0.992  0.607 1.100  0.591 1.206  0.517 1.270  0.422 1.238  0.331 1.180  0.241 1.121  0.158 1.051  0.075 0.982  -0.007 0.911  -0.080 0.831  -0.153 0.751  -0.226 0.672  -0.296 0.590  -0.362 0.504  -0.427 0.417  -0.493 0.331  -0.548 0.239  -0.595 0.142  -0.642 0.044  -0.689 -0.053  -0.712 -0.159  -0.733 -0.265  -0.754 -0.371  -0.743 -0.478  -0.728 -0.585  -0.696 -0.685  -0.630 -0.771  -0.565 -0.857  -0.479 -0.921  -0.387 -0.978  -0.295 -1.035  -0.192 -1.063  -0.086 -1.084  0.020 -1.105  0.127 -1.125  0.234 -1.136  0.342 -1.148  0.450 -1.147  0.558 -1.142  0.666 -1.136  0.774 -1.131  0.882 -1.125
2#ceb#Bouzy/e  -0.897 -0.677  -0.774 -0.584  -0.652 -0.491  -0.531 -0.395  -0.430 -0.279  -0.329 -0.162  -0.229 -0.045  -0.146 0.085  -0.063 0.215  0.020 0.346  0.082 0.486  0.142 0.629  0.192 0.773  0.205 0.927  0.205 1.079  0.154 1.224  0.002 1.246  -0.143 1.206  -0.276 1.127  -0.407 1.046  -0.520 0.941  -0.631 0.835  -0.729 0.716  -0.812 0.587  -0.889 0.454  -0.919 0.303  -0.946 0.152  -0.932 -0.002  -0.903 -0.150  -0.819 -0.280  -0.721 -0.395  -0.591 -0.479  -0.460 -0.559  -0.314 -0.608  -0.168 -0.657  -0.017 -0.687  0.136 -0.704  0.289 -0.721  0.443 -0.730  0.597 -0.734  0.751 -0.739  0.900 -0.698  1.048 -0.656  1.196 -0.613  1.344 -0.570  1.483 -0.505  1.615 -0.426  1.594 -0.365  1.457 -0.298  1.389 -0.170
2#ceb#Bouzy/T  0.056 0.659  0.068 0.371  0.001 0.064  -0.077 -0.240  -0.167 -0.541  -0.258 -0.841  -0.362 -1.137  -0.283 -1.039  -0.165 -0.748  -0.069 -0.450  -0.005 -0.143  0.070 0.162  0.139 0.468  0.096 0.229  0.041 -0.080  -0.024 -0.387  -0.101 -0.692  -0.197 -0.991  -0.287 -1.291  -0.346 -1.479  -0.278 -1.173  -0.204 -0.868  -0.140 -0.560  -0.064 -0.256  0.004 0.051  0.075 0.356  0.067 0.325  -0.000 0.018  -0.077 -0.287  -0.165 -0.588  -0.263 -0.886  -0.329 -0.889  -0.328 -0.575  -0.374 -0.276  -0.533 -0.005  -0.691 0.266  -0.850 0.537  -1.009 0.808  -1.115 1.017  -0.801 1.017  -0.488 1.017  -0.175 0.996  0.137 0.971  0.450 0.991  0.762 1.017  1.076 1.026  1.389 1.044  1.703 1.044  2.015 1.017  2.075 0.952
2#ceb#Bouzy/w  -0.809 1.083  -0.640 1.079  -0.674 0.889  -0.724 0.700  -0.779 0.513  -0.827 0.324  -0.886 0.138  -0.945 -0.048  -1.016 -0.230  -1.090 -0.410  -1.122 -0.601  -1.122 -0.796  -1.125 -0.973  -0.981 -1.030  -0.787 -1.022  -0.594 -0.992  -0.434 -0.883  -0.315 -0.729  -0.217 -0.561  -0.123 -0.390  -0.037 -0.215  0.038 -0.034  0.127 0.139  0.187 0.324  0.259 0.504  0.324 0.683  0.307 0.539  0.240 0.356  0.188 0.168  0.129 -0.018  0.066 -0.203  0.005 -0.388  -0.043 -0.574  0.025 -0.750  0.183 -0.838  0.373 -0.801  0.553 -0.729  0.709 -0.619  0.831 -0.472  0.947 -0.316  1.021 -0.137  1.019 0.057  0.977 0.247  0.961 0.441  0.980 0.635  1.013 0.827  1.025 1.021  1.004 1.212  0.896 1.374  0.907 1.504
