3#kai#kai2#yslee6/B  -0.262 1.536  -0.262 1.270  -0.262 1.004  -0.295 0.741  -0.309 0.477  -0.309 0.211  -0.356 -0.050  -0.356 -0.316  -0.356 -0.582  -0.356 -0.849  -0.356 -1.115  -0.368 -1.379  -0.403 -1.330  -0.403 -1.064  -0.396 -0.798  -0.386 -0.532  -0.375 -0.266  -0.365 0.000  -0.354 0.266  -0.343 0.532  -0.333 0.798  -0.322 1.064  -0.311 1.330  -0.214 1.560  0.035 1.631  0.297 1.602  0.477 1.417  0.597 1.180  0.635 0.920  0.610 0.658  0.526 0.405  0.420 0.161  0.244 -0.036  0.048 -0.215  -0.176 -0.357  -0.432 -0.399  -0.503 -0.340  -0.250 -0.272  0.012 -0.228  0.274 -0.179  0.539 -0.163  0.798 -0.218  0.981 -0.382  1.011 -0.641  0.898 -0.879  0.690 -1.040  0.459 -1.172  0.214 -1.276  -0.043 -1.343  -0.309 -1.343
3#kai#kai2#yslee6/w  -1.146 0.513  -1.146 0.366  -1.146 0.219  -1.146 0.072  -1.146 -0.075  -1.146 -0.222  -1.146 -0.369  -1.113 -0.512  -1.067 -0.650  -0.985 -0.772  -0.872 -0.863  -0.756 -0.888  -0.652 -0.784  -0.570 -0.664  -0.504 -0.532  -0.439 -0.401  -0.373 -0.269  -0.307 -0.138  -0.245 -0.005  -0.210 0.138  -0.191 0.283  -0.191 0.358  -0.191 0.211  -0.191 0.064  -0.162 -0.080  -0.126 -0.222  -0.090 -0.365  -0.023 -0.490  0.081 -0.594  0.211 -0.655  0.354 -0.681  0.495 -0.662  0.617 -0.580  0.713 -0.471  0.801 -0.353  0.873 -0.225  0.939 -0.094  1.004 0.038  1.063 0.171  1.063 0.318  1.095 0.461  1.123 0.605  1.123 0.752  1.090 0.893  1.036 1.029  0.961 1.152  0.857 1.256  0.724 1.289  0.588 1.252  0.466 1.170
3#kai#kai2#yslee6/L  -0.271 1.899  -0.271 1.801  -0.271 1.703  -0.271 1.605  -0.271 1.507  -0.271 1.409  -0.271 1.310  -0.273 1.212  -0.289 1.116  -0.305 1.019  -0.313 0.921  -0.313 0.823  -0.313 0.725  -0.313 0.627  -0.313 0.529  -0.313 0.430  -0.313 0.332  -0.313 0.234  -0.313 0.136  -0.313 0.038  -0.313 -0.060  -0.313 -0.159  -0.313 -0.257  -0.313 -0.355  -0.313 -0.453  -0.313 -0.551  -0.313 -0.649  -0.304 -0.746  -0.280 -0.842  -0.271 -0.939  -0.271 -0.974  -0.269 -0.877  -0.215 -0.795  -0.140 -0.741  -0.045 -0.718  0.048 -0.689  0.143 -0.669  0.242 -0.669  0.340 -0.669  0.438 -0.669  0.536 -0.669  0.634 -0.669  0.732 -0.669  0.827 -0.687  0.918 -0.723  1.011 -0.753  1.109 -0.753  1.034 -0.725  0.962 -0.666  0.908 -0.584
3#kai#kai2#yslee6/e  -0.655 0.550  -0.535 0.470  -0.414 0.393  -0.285 0.329  -0.157 0.265  -0.013 0.264  0.127 0.287  0.263 0.333  0.367 0.431  0.469 0.532  0.515 0.666  0.550 0.805  0.521 0.942  0.468 1.075  0.389 1.194  0.281 1.262  0.138 1.262  -0.006 1.262  -0.110 1.166  -0.212 1.064  -0.313 0.963  -0.415 0.861  -0.505 0.749  -0.591 0.634  -0.655 0.512  -0.655 0.368  -0.655 0.224  -0.655 0.081  -0.655 -0.063  -0.655 -0.207  -0.655 -0.351  -0.635 -0.489  -0.570 -0.618  -0.504 -0.745  -0.418 -0.860  -0.331 -0.975  -0.236 -1.082  -0.134 -1.184  -0.013 -1.251  0.127 -1.286  0.268 -1.304  0.412 -1.304  0.548 -1.260  0.678 -1.200  0.797 -1.120  0.871 -1.005  0.916 -0.869  0.962 -0.732  0.985 -0.592  0.985 -0.449
3#kai#kai2#yslee6/t  -0.559 0.587  -0.436 0.587  -0.314 0.587  -0.192 0.587  -0.069 0.587  0.053 0.587  0.175 0.587  0.296 0.574  0.412 0.535  0.343 0.573  0.271 0.667  0.210 0.773  0.149 0.879  0.088 0.985  0.028 1.091  -0.033 1.198  -0.094 1.304  -0.150 1.395  -0.150 1.273  -0.150 1.151  -0.150 1.028  -0.150 0.906  -0.180 0.789  -0.209 0.671  -0.209 0.549  -0.209 0.426  -0.209 0.304  -0.209 0.182  -0.209 0.059  -0.209 -0.063  -0.209 -0.185  -0.209 -0.308  -0.209 -0.430  -0.209 -0.552  -0.209 -0.675  -0.209 -0.797  -0.209 -0.919  -0.209 -1.042  -0.209 -1.164  -0.173 -1.276  -0.105 -1.377  0.007 -1.396  0.130 -1.396  0.252 -1.396  0.368 -1.359  0.487 -1.338  0.610 -1.339  0.726 -1.377  0.802 -1.455  0.841 -1.571
3#kai#kai2#yslee6/L  -0.178 1.818  -0.178 1.732  -0.178 1.646  -0.178 1.560  -0.192 1.476  -0.212 1.393  -0.219 1.308  -0.219 1.222  -0.219 1.136  -0.219 1.051  -0.219 0.965  -0.219 0.879  -0.227 0.794  -0.235 0.708  -0.244 0.623  -0.253 0.538  -0.259 0.452  -0.259 0.367  -0.259 0.281  -0.259 0.195  -0.259 0.109  -0.259 0.024  -0.259 -0.062  -0.259 -0.148  -0.259 -0.234  -0.259 -0.319  -0.259 -0.405  -0.259 -0.491  -0.259 -0.577  -0.259 -0.663  -0.259 -0.748  -0.259 -0.834  -0.259 -0.920  -0.213 -0.959  -0.128 -0.956  -0.047 -0.929  0.036 -0.906  0.119 -0.885  0.202 -0.864  0.286 -0.844  0.371 -0.837  0.456 -0.837  0.542 -0.837  0.628 -0.837  0.714 -0.837  0.799 -0.837  0.885 -0.837  0.966 -0.864  1.048 -0.891  1.129 -0.919
3#kai#kai2#yslee6/i  0.146 -0.077  0.146 -0.179  0.146 -0.282  0.146 -0.384  0.164 -0.485  0.184 -0.585  0.204 -0.686  0.211 -0.787  0.211 -0.890  0.217 -0.991  0.263 -1.082  0.308 -1.174  0.340 -1.269  0.340 -1.372  0.313 -1.395  0.252 -1.313  0.190 -1.231  0.141 -1.143  0.123 -1.043  0.105 -0.942  0.086 -0.841  0.068 -0.740  0.050 -0.639  0.031 -0.539  0.013 -0.438  -0.005 -0.337  -0.024 -0.236  -0.042 -0.136  -0.060 -0.035  -0.079 0.066  -0.097 0.167  -0.115 0.268  -0.134 0.368  -0.152 0.469  -0.170 0.570  -0.189 0.671  -0.207 0.772  -0.225 0.872  -0.244 0.973  -0.262 1.074  -0.280 1.175  -0.299 1.275  -0.317 1.376  -0.335 1.477  -0.354 1.578  -0.353 1.663  -0.251 1.663  -0.153 1.648  -0.068 1.591  0.018 1.534
3#kai#kai2#yslee6/k  -0.223 2.348  -0.223 2.187  -0.223 2.027  -0.223 1.866  -0.223 1.706  -0.223 1.545  -0.223 1.385  -0.223 1.224  -0.223 1.064  -0.223 0.903  -0.223 0.743  -0.222 0.582  -0.190 0.425  -0.171 0.266  -0.171 0.106  -0.171 -0.055  -0.171 -0.215  -0.171 -0.376  -0.171 -0.536  -0.171 -0.697  -0.171 -0.857  -0.171 -1.018  -0.171 -1.178  -0.171 -1.339  -0.171 -1.264  -0.165 -1.104  -0.112 -0.953  -0.039 -0.810  0.035 -0.667  0.109 -0.525  0.184 -0.383  0.258 -0.240  0.332 -0.098  0.406 0.044  0.481 0.187  0.553 0.327  0.440 0.213  0.327 0.100  0.213 -0.014  0.100 -0.127  -0.023 -0.230  -0.144 -0.331  -0.207 -0.460  -0.073 -0.549  0.060 -0.638  0.202 -0.713  0.342 -0.791  0.467 -0.888  0.555 -1.022  0.606 -1.174
3#kai#kai2#yslee6/e  -0.867 0.222  -0.738 0.136  -0.603 0.063  -0.452 0.026  -0.302 -0.012  -0.151 -0.050  0.001 -0.074  0.156 -0.074  0.287 0.006  0.400 0.105  0.449 0.252  0.463 0.405  0.450 0.558  0.401 0.705  0.323 0.838  0.237 0.968  0.151 1.097  0.043 1.195  -0.107 1.233  -0.257 1.238  -0.404 1.189  -0.536 1.108  -0.656 1.014  -0.725 0.875  -0.793 0.736  -0.793 0.581  -0.793 0.426  -0.793 0.270  -0.793 0.115  -0.783 -0.039  -0.746 -0.189  -0.699 -0.337  -0.629 -0.475  -0.553 -0.609  -0.444 -0.719  -0.331 -0.825  -0.202 -0.911  -0.065 -0.982  0.082 -1.031  0.237 -1.035  0.388 -1.010  0.535 -0.961  0.682 -0.912  0.830 -0.863  0.977 -0.814  1.127 -0.776  1.278 -0.738  1.425 -0.689  1.572 -0.640  1.720 -0.591
3#kai#kai2#yslee6/M  -0.494 1.267  -0.526 1.045  -0.538 0.822  -0.571 0.602  -0.571 0.377  -0.571 0.153  -0.571 -0.071  -0.571 -0.295  -0.571 -0.519  -0.571 -0.744  -0.571 -0.968  -0.571 -1.192  -0.571 -1.416  -0.637 -1.471  -0.649 -1.248  -0.635 -1.025  -0.620 -0.801  -0.606 -0.577  -0.591 -0.353  -0.577 -0.130  -0.562 0.094  -0.548 0.318  -0.534 0.542  -0.519 0.765  -0.505 0.989  -0.475 1.092  -0.407 0.878  -0.352 0.661  -0.298 0.444  -0.236 0.228  -0.155 0.020  -0.038 -0.171  0.122 -0.324  0.333 -0.335  0.490 -0.187  0.663 -0.046  0.765 0.149  0.881 0.338  0.985 0.534  1.056 0.747  1.127 0.957  1.204 0.756  1.196 0.532  1.154 0.312  1.126 0.090  1.088 -0.128  1.052 -0.346  1.011 -0.566  0.989 -0.788  0.972 -1.010
3#kai#kai2#yslee6/a  0.545 0.926  0.445 1.076  0.320 1.202  0.170 1.303  -0.010 1.305  -0.169 1.233  -0.309 1.123  -0.409 0.973  -0.515 0.826  -0.623 0.682  -0.702 0.521  -0.759 0.350  -0.816 0.178  -0.853 0.002  -0.888 -0.176  -0.941 -0.348  -0.971 -0.524  -0.971 -0.705  -0.971 -0.885  -0.940 -1.061  -0.858 -1.197  -0.677 -1.197  -0.496 -1.197  -0.352 -1.109  -0.224 -0.981  -0.096 -0.853  -0.003 -0.701  0.078 -0.539  0.147 -0.372  0.214 -0.205  0.282 -0.037  0.349 0.131  0.412 0.300  0.470 0.471  0.470 0.652  0.502 0.829  0.545 1.000  0.545 0.819  0.545 0.638  0.545 0.457  0.545 0.277  0.545 0.096  0.545 -0.085  0.567 -0.263  0.596 -0.442  0.638 -0.615  0.738 -0.766  0.810 -0.930  0.905 -1.064  1.076 -1.121
3#kai#kai2#yslee6/y  -0.696 1.119  -0.631 0.989  -0.566 0.859  -0.517 0.723  -0.471 0.585  -0.425 0.448  -0.379 0.310  -0.329 0.174  -0.264 0.044  -0.201 -0.086  -0.155 -0.224  -0.067 -0.240  0.053 -0.160  0.155 -0.058  0.222 0.070  0.290 0.199  0.358 0.327  0.425 0.456  0.493 0.584  0.560 0.712  0.628 0.841  0.695 0.969  0.763 1.097  0.831 1.226  0.814 1.157  0.768 1.019  0.722 0.882  0.664 0.750  0.599 0.620  0.544 0.486  0.498 0.348  0.433 0.218  0.368 0.089  0.290 -0.034  0.213 -0.156  0.167 -0.293  0.102 -0.422  0.021 -0.542  -0.059 -0.663  -0.140 -0.784  -0.220 -0.904  -0.308 -1.019  -0.410 -1.122  -0.513 -1.225  -0.615 -1.327  -0.718 -1.430  -0.821 -1.532  -0.928 -1.629  -1.057 -1.694  -1.187 -1.759
3#kai#kai2#yslee6/M  -0.452 1.629  -0.452 1.386  -0.452 1.143  -0.452 0.900  -0.486 0.661  -0.495 0.419  -0.531 0.179  -0.531 -0.064  -0.531 -0.307  -0.531 -0.550  -0.531 -0.793  -0.531 -1.036  -0.531 -1.279  -0.512 -1.519  -0.514 -1.685  -0.571 -1.459  -0.571 -1.216  -0.534 -0.976  -0.517 -0.734  -0.503 -0.491  -0.488 -0.249  -0.473 -0.006  -0.458 0.236  -0.443 0.479  -0.428 0.721  -0.414 0.964  -0.344 0.787  -0.321 0.548  -0.253 0.314  -0.152 0.094  -0.076 -0.137  0.039 -0.349  0.190 -0.525  0.407 -0.531  0.527 -0.320  0.584 -0.086  0.641 0.150  0.664 0.391  0.716 0.627  0.744 0.866  0.807 1.100  0.943 1.048  0.943 0.805  0.943 0.562  0.954 0.320  0.983 0.079  0.983 -0.164  1.004 -0.405  1.023 -0.645  0.983 -0.882
3#kai#kai2#yslee6/u  -0.922 1.066  -0.922 0.896  -0.922 0.726  -0.921 0.556  -0.868 0.394  -0.837 0.229  -0.837 0.059  -0.837 -0.111  -0.819 -0.279  -0.778 -0.444  -0.753 -0.611  -0.753 -0.781  -0.704 -0.943  -0.668 -1.107  -0.668 -1.277  -0.567 -1.204  -0.447 -1.084  -0.340 -0.952  -0.238 -0.816  -0.142 -0.676  -0.066 -0.524  0.010 -0.372  0.086 -0.220  0.162 -0.068  0.221 0.092  0.270 0.254  0.304 0.421  0.337 0.588  0.376 0.753  0.417 0.918  0.466 1.081  0.517 1.243  0.517 1.413  0.517 1.396  0.517 1.226  0.517 1.055  0.517 0.885  0.517 0.715  0.541 0.548  0.582 0.383  0.602 0.215  0.602 0.045  0.624 -0.122  0.665 -0.287  0.687 -0.455  0.687 -0.625  0.687 -0.795  0.687 -0.965  0.687 -1.135  0.687 -1.305
3#kai#kai2#yslee6/s  0.600 1.466  0.496 1.466  0.393 1.466  0.290 1.459  0.192 1.427  0.094 1.394  -0.001 1.355  -0.087 1.298  -0.173 1.240  -0.259 1.183  -0.290 1.087  -0.315 0.987  -0.340 0.886  -0.364 0.786  -0.364 0.682  -0.364 0.579  -0.364 0.476  -0.344 0.379  -0.282 0.296  -0.220 0.214  -0.158 0.131  -0.096 0.048  -0.020 -0.021  0.063 -0.083  0.146 -0.145  0.228 -0.207  0.311 -0.269  0.397 -0.326  0.483 -0.384  0.569 -0.441  0.621 -0.525  0.653 -0.623  0.686 -0.721  0.627 -0.773  0.529 -0.806  0.431 -0.839  0.337 -0.881  0.245 -0.928  0.152 -0.974  0.060 -1.020  -0.039 -1.039  -0.142 -1.039  -0.246 -1.039  -0.347 -1.059  -0.447 -1.084  -0.547 -1.109  -0.648 -1.134  -0.684 -1.043  -0.717 -0.945  -0.749 -0.847
3#kai#kai2#yslee6/t  -0.999 0.373  -0.843 0.373  -0.687 0.373  -0.531 0.373  -0.375 0.373  -0.219 0.373  -0.080 0.303  0.065 0.246  0.216 0.208  0.364 0.160  0.339 0.261  0.252 0.391  0.165 0.521  0.079 0.651  -0.008 0.781  -0.094 0.910  -0.181 1.040  -0.267 1.170  -0.354 1.300  -0.440 1.430  -0.297 1.384  -0.275 1.243  -0.275 1.087  -0.275 0.931  -0.275 0.775  -0.275 0.619  -0.275 0.463  -0.275 0.307  -0.275 0.151  -0.275 -0.005  -0.275 -0.161  -0.275 -0.317  -0.275 -0.473  -0.296 -0.627  -0.327 -0.780  -0.330 -0.936  -0.330 -1.092  -0.234 -1.196  -0.105 -1.205  0.030 -1.132  0.185 -1.129  0.337 -1.091  0.491 -1.077  0.647 -1.077  0.803 -1.077  0.959 -1.077  1.115 -1.077  1.269 -1.064  1.417 -1.014  1.565 -0.965
3#kai#kai2#yslee6/N  -0.362 1.514  -0.362 1.281  -0.362 1.049  -0.362 0.816  -0.362 0.583  -0.318 0.355  -0.318 0.123  -0.318 -0.110  -0.318 -0.343  -0.318 -0.575  -0.318 -0.808  -0.362 -1.033  -0.362 -1.266  -0.372 -1.497  -0.407 -1.726  -0.407 -1.581  -0.404 -1.349  -0.401 -1.116  -0.397 -0.883  -0.394 -0.651  -0.390 -0.418  -0.386 -0.186  -0.383 0.047  -0.379 0.279  -0.376 0.512  -0.372 0.745  -0.369 0.977  -0.365 1.210  -0.343 1.322  -0.293 1.096  -0.245 0.868  -0.162 0.652  -0.067 0.439  -0.000 0.218  0.136 0.030  0.232 -0.182  0.341 -0.385  0.437 -0.595  0.549 -0.798  0.681 -0.956  0.791 -0.782  0.866 -0.563  0.895 -0.335  0.924 -0.106  0.966 0.122  0.969 0.354  0.969 0.587  0.948 0.818  0.903 1.046  0.747 1.203
3#kai#kai2#yslee6/a  -0.035 0.938  -0.183 1.037  -0.339 1.106  -0.517 1.106  -0.669 1.019  -0.804 0.909  -0.883 0.750  -0.960 0.590  -1.003 0.417  -1.041 0.244  -1.041 0.067  -1.041 -0.111  -1.041 -0.289  -0.975 -0.451  -0.896 -0.610  -0.803 -0.761  -0.703 -0.908  -0.555 -1.007  -0.401 -1.092  -0.232 -1.148  -0.064 -1.112  0.084 -1.027  0.191 -0.885  0.298 -0.743  0.343 -0.571  0.384 -0.399  0.384 -0.221  0.384 -0.043  0.384 0.135  0.384 0.312  0.367 0.487  0.311 0.656  0.255 0.825  0.198 0.993  0.142 1.162  0.180 1.049  0.244 0.883  0.324 0.724  0.398 0.563  0.454 0.394  0.527 0.233  0.607 0.074  0.678 -0.089  0.744 -0.254  0.811 -0.418  0.891 -0.577  0.970 -0.736  1.027 -0.905  1.083 -1.073  1.139 -1.242
3#kai#kai2#yslee6/m  -0.910 1.148  -0.910 0.919  -0.910 0.689  -0.910 0.460  -0.910 0.230  -0.910 0.000  -0.910 -0.229  -0.910 -0.459  -0.892 -0.686  -0.836 -0.909  -0.826 -1.137  -0.826 -1.037  -0.798 -0.811  -0.753 -0.585  -0.687 -0.366  -0.615 -0.148  -0.554 0.073  -0.509 0.298  -0.448 0.519  -0.376 0.737  -0.279 0.853  -0.117 0.691  -0.070 0.480  -0.056 0.253  -0.001 0.030  0.013 -0.198  0.013 -0.428  0.013 -0.657  0.013 -0.887  0.013 -1.116  0.086 -0.902  0.158 -0.684  0.212 -0.461  0.257 -0.236  0.335 -0.021  0.420 0.192  0.505 0.406  0.591 0.619  0.691 0.825  0.815 1.011  1.006 1.139  1.088 0.947  1.148 0.725  1.189 0.501  1.189 0.271  1.189 0.042  1.189 -0.188  1.243 -0.411  1.273 -0.637  1.273 -0.866
3#kai#kai2#yslee6/\@  -0.537 1.611  -0.515 1.545  -0.493 1.479  -0.471 1.413  -0.449 1.348  -0.427 1.282  -0.405 1.216  -0.383 1.150  -0.362 1.085  -0.340 1.019  -0.318 0.953  -0.296 0.887  -0.274 0.822  -0.252 0.756  -0.230 0.690  -0.208 0.625  -0.186 0.559  -0.164 0.493  -0.142 0.427  -0.121 0.362  -0.099 0.296  -0.077 0.230  -0.055 0.164  -0.033 0.099  -0.011 0.033  0.011 -0.033  0.033 -0.099  0.055 -0.164  0.077 -0.230  0.099 -0.296  0.121 -0.362  0.142 -0.427  0.164 -0.493  0.186 -0.559  0.208 -0.625  0.230 -0.690  0.252 -0.756  0.274 -0.822  0.296 -0.887  0.318 -0.953  0.340 -1.019  0.362 -1.085  0.383 -1.150  0.405 -1.216  0.427 -1.282  0.449 -1.348  0.471 -1.413  0.493 -1.479  0.515 -1.545  0.537 -1.611
3#kai#kai2#yslee6/e  -0.696 0.291  -0.623 0.145  -0.550 -0.001  -0.410 -0.069  -0.255 -0.121  -0.101 -0.172  0.058 -0.162  0.218 -0.130  0.366 -0.077  0.482 0.038  0.585 0.161  0.637 0.315  0.655 0.475  0.655 0.639  0.620 0.796  0.567 0.950  0.506 1.101  0.446 1.253  0.331 1.324  0.168 1.324  0.005 1.324  -0.139 1.266  -0.269 1.168  -0.394 1.064  -0.492 0.934  -0.590 0.804  -0.654 0.655  -0.700 0.499  -0.720 0.338  -0.740 0.176  -0.760 0.014  -0.775 -0.148  -0.775 -0.311  -0.717 -0.461  -0.644 -0.607  -0.585 -0.758  -0.528 -0.910  -0.413 -1.025  -0.298 -1.140  -0.139 -1.179  0.019 -1.219  0.182 -1.219  0.342 -1.198  0.501 -1.158  0.647 -1.092  0.783 -1.002  0.918 -0.911  1.053 -0.820  1.093 -0.662  1.132 -0.504
3#kai#kai2#yslee6/O  -0.284 1.128  -0.401 1.068  -0.447 0.936  -0.496 0.805  -0.543 0.674  -0.577 0.538  -0.604 0.401  -0.637 0.265  -0.648 0.126  -0.660 -0.012  -0.684 -0.149  -0.684 -0.289  -0.684 -0.429  -0.684 -0.569  -0.670 -0.707  -0.629 -0.840  -0.574 -0.969  -0.508 -1.091  -0.422 -1.200  -0.297 -1.263  -0.161 -1.294  -0.022 -1.305  0.117 -1.290  0.249 -1.252  0.366 -1.174  0.476 -1.089  0.566 -0.984  0.626 -0.858  0.653 -0.721  0.693 -0.587  0.696 -0.448  0.696 -0.308  0.684 -0.169  0.665 -0.030  0.660 0.109  0.635 0.246  0.601 0.382  0.587 0.520  0.569 0.657  0.526 0.790  0.475 0.920  0.433 1.054  0.388 1.183  0.285 1.274  0.153 1.250  0.050 1.158  -0.044 1.059  -0.141 0.962  -0.175 0.832  -0.175 0.692
3#kai#kai2#yslee6/f  0.458 1.581  0.314 1.602  0.212 1.497  0.175 1.346  0.142 1.194  0.108 1.043  0.071 0.892  0.067 0.737  0.033 0.586  0.027 0.431  0.027 0.276  0.027 0.121  0.027 -0.035  0.027 -0.190  0.048 -0.343  0.067 -0.496  0.067 -0.651  0.077 -0.806  0.099 -0.959  0.141 -1.109  0.151 -1.263  0.184 -1.414  0.190 -1.568  0.183 -1.696  0.061 -1.703  -0.028 -1.581  -0.077 -1.433  -0.107 -1.281  -0.130 -1.128  -0.153 -0.974  -0.176 -0.820  -0.199 -0.667  -0.222 -0.513  -0.245 -0.360  -0.268 -0.206  -0.291 -0.052  -0.314 0.101  -0.338 0.255  -0.361 0.409  -0.384 0.562  -0.407 0.716  -0.430 0.869  -0.375 0.971  -0.222 0.993  -0.078 0.948  0.070 0.915  0.217 0.870  0.364 0.824  0.515 0.789  0.654 0.719
3#kai#kai2#yslee6/O  -0.036 0.992  -0.138 1.093  -0.258 1.090  -0.338 0.970  -0.397 0.840  -0.433 0.701  -0.474 0.563  -0.502 0.422  -0.533 0.281  -0.565 0.141  -0.589 -0.001  -0.615 -0.143  -0.634 -0.285  -0.634 -0.429  -0.634 -0.573  -0.630 -0.716  -0.593 -0.856  -0.552 -0.994  -0.512 -1.132  -0.441 -1.256  -0.322 -1.334  -0.188 -1.382  -0.046 -1.399  0.096 -1.379  0.224 -1.321  0.329 -1.225  0.419 -1.112  0.498 -0.992  0.535 -0.853  0.592 -0.721  0.641 -0.586  0.662 -0.445  0.662 -0.301  0.662 -0.157  0.662 -0.013  0.662 0.131  0.634 0.272  0.591 0.409  0.557 0.549  0.519 0.688  0.465 0.821  0.401 0.950  0.346 1.081  0.257 1.194  0.125 1.251  -0.009 1.278  -0.094 1.182  -0.136 1.044  -0.131 0.901  -0.102 0.760
3#kai#kai2#yslee6/n  -0.656 1.249  -0.622 1.080  -0.588 0.910  -0.578 0.738  -0.578 0.565  -0.578 0.392  -0.524 0.228  -0.499 0.059  -0.499 -0.113  -0.499 -0.286  -0.499 -0.459  -0.499 -0.632  -0.499 -0.805  -0.499 -0.978  -0.499 -1.151  -0.499 -1.323  -0.528 -1.322  -0.578 -1.158  -0.578 -0.985  -0.547 -0.816  -0.505 -0.648  -0.499 -0.476  -0.467 -0.309  -0.402 -0.149  -0.339 0.012  -0.284 0.176  -0.230 0.340  -0.175 0.504  -0.120 0.668  -0.048 0.825  0.030 0.979  0.158 1.089  0.305 1.179  0.469 1.233  0.619 1.181  0.755 1.079  0.810 0.915  0.829 0.745  0.829 0.573  0.829 0.400  0.829 0.227  0.829 0.054  0.829 -0.119  0.829 -0.292  0.829 -0.465  0.829 -0.637  0.829 -0.810  0.829 -0.983  0.829 -1.156  0.829 -1.329
3#kai#kai2#yslee6/e  -0.898 0.016  -0.802 -0.128  -0.675 -0.229  -0.512 -0.284  -0.349 -0.338  -0.179 -0.350  -0.007 -0.350  0.165 -0.350  0.297 -0.253  0.418 -0.131  0.513 0.007  0.565 0.171  0.565 0.343  0.565 0.515  0.565 0.687  0.565 0.859  0.565 1.031  0.475 1.175  0.349 1.276  0.183 1.318  0.012 1.332  -0.153 1.302  -0.306 1.225  -0.452 1.136  -0.590 1.032  -0.698 0.908  -0.752 0.744  -0.806 0.581  -0.824 0.412  -0.824 0.240  -0.824 0.068  -0.810 -0.101  -0.755 -0.265  -0.713 -0.431  -0.657 -0.590  -0.536 -0.712  -0.414 -0.833  -0.280 -0.941  -0.143 -1.044  0.011 -1.116  0.177 -1.155  0.349 -1.153  0.512 -1.099  0.647 -0.999  0.769 -0.878  0.909 -0.779  1.036 -0.667  1.131 -0.524  1.248 -0.399  1.369 -0.277
3#kai#kai2#yslee6/P  -0.228 1.361  -0.228 1.165  -0.228 0.969  -0.228 0.773  -0.228 0.577  -0.228 0.381  -0.228 0.185  -0.251 -0.008  -0.269 -0.202  -0.269 -0.398  -0.269 -0.594  -0.269 -0.790  -0.269 -0.986  -0.269 -1.182  -0.228 -1.372  -0.228 -1.568  -0.228 -1.764  -0.228 -1.829  -0.228 -1.633  -0.195 -1.450  -0.178 -1.258  -0.170 -1.062  -0.161 -0.866  -0.152 -0.670  -0.144 -0.474  -0.135 -0.279  -0.127 -0.083  -0.118 0.113  -0.109 0.309  -0.101 0.505  -0.092 0.701  -0.083 0.896  -0.075 1.092  -0.066 1.288  0.057 1.391  0.251 1.402  0.447 1.397  0.613 1.303  0.699 1.137  0.748 0.947  0.761 0.753  0.755 0.558  0.699 0.371  0.628 0.189  0.541 0.014  0.408 -0.125  0.251 -0.243  0.075 -0.324  -0.121 -0.328  -0.310 -0.287
3#kai#kai2#yslee6/a  0.059 1.258  -0.120 1.199  -0.299 1.139  -0.451 1.036  -0.584 0.903  -0.670 0.735  -0.760 0.570  -0.864 0.413  -0.877 0.228  -0.921 0.047  -0.949 -0.137  -0.949 -0.326  -0.949 -0.514  -0.877 -0.686  -0.789 -0.853  -0.685 -1.009  -0.544 -1.133  -0.394 -1.246  -0.210 -1.261  -0.061 -1.166  0.072 -1.032  0.189 -0.886  0.282 -0.724  0.319 -0.539  0.347 -0.353  0.347 -0.165  0.347 0.024  0.347 0.212  0.347 0.401  0.347 0.589  0.306 0.773  0.261 0.956  0.215 1.139  0.159 1.319  0.131 1.302  0.145 1.115  0.182 0.930  0.229 0.747  0.289 0.569  0.348 0.390  0.408 0.211  0.468 0.032  0.527 -0.147  0.587 -0.326  0.647 -0.505  0.706 -0.683  0.752 -0.866  0.804 -1.048  0.863 -1.226  0.923 -1.405
3#kai#kai2#yslee6/g  0.102 1.297  -0.090 1.297  -0.283 1.297  -0.443 1.199  -0.543 1.042  -0.589 0.858  -0.589 0.665  -0.589 0.472  -0.536 0.296  -0.411 0.151  -0.240 0.099  -0.063 0.128  0.025 0.297  0.069 0.484  0.102 0.674  0.102 0.866  0.102 1.059  0.136 1.248  0.150 1.431  0.211 1.248  0.240 1.061  0.266 0.870  0.287 0.679  0.324 0.492  0.333 0.301  0.344 0.110  0.379 -0.077  0.379 -0.270  0.379 -0.462  0.379 -0.655  0.379 -0.848  0.379 -1.040  0.379 -1.233  0.379 -1.426  0.342 -1.614  0.333 -1.805  0.184 -1.816  0.097 -1.645  -0.006 -1.482  -0.092 -1.310  -0.164 -1.131  -0.233 -0.952  -0.313 -0.776  -0.387 -0.599  -0.448 -0.416  -0.436 -0.226  -0.339 -0.066  -0.181 0.035  0.002 0.096  0.194 0.099
