2#app#app11#app1169/E  0.377 1.098  0.544 1.098  0.711 1.098  0.584 1.098  0.417 1.098  0.250 1.098  0.082 1.098  -0.085 1.098  -0.206 0.987  -0.370 0.980  -0.512 0.918  -0.656 0.862  -0.783 0.765  -0.901 0.647  -0.922 0.488  -0.922 0.321  -0.922 0.154  -0.804 0.105  -0.804 -0.062  -0.804 -0.230  -0.804 -0.397  -0.804 -0.564  -0.804 -0.731  -0.729 -0.867  -0.686 -1.017  -0.568 -1.066  -0.481 -1.146  -0.314 -1.146  -0.147 -1.146  0.020 -1.146  0.139 -1.030  0.306 -1.028  0.473 -1.028  0.522 -0.910  0.689 -0.910  0.744 -0.785  0.760 -0.619  0.777 -0.453  0.794 -0.286  0.810 -0.120  0.827 0.046  0.843 0.213  0.849 0.380  0.810 0.271  0.643 0.271  0.516 0.174  0.357 0.153  0.210 0.104  0.072 0.035  -0.096 0.035
1b#val#yannis45/E  -0.836 0.576  -0.808 0.346  -0.780 0.117  -0.732 -0.109  -0.714 -0.340  -0.744 -0.568  -0.803 -0.791  -0.830 -1.018  -0.606 -1.040  -0.375 -1.028  -0.144 -1.021  0.087 -1.021  0.319 -1.030  0.550 -1.036  0.781 -1.036  1.012 -1.024  0.946 -0.945  0.737 -0.846  0.528 -0.747  0.319 -0.648  0.110 -0.548  -0.099 -0.449  -0.308 -0.350  -0.517 -0.250  -0.697 -0.158  -0.466 -0.163  -0.234 -0.172  -0.003 -0.183  0.228 -0.193  0.458 -0.216  0.689 -0.222  0.534 -0.075  0.357 0.075  0.181 0.224  0.004 0.373  -0.173 0.522  -0.350 0.671  -0.527 0.821  -0.704 0.970  -0.778 1.088  -0.547 1.095  -0.315 1.099  -0.084 1.105  0.147 1.113  0.378 1.127  0.609 1.140  0.840 1.155  1.068 1.193  1.260 1.227  1.032 1.193
1b#val#yannis45/E  -0.792 0.568  -0.725 0.351  -0.647 0.138  -0.584 -0.079  -0.542 -0.302  -0.568 -0.526  -0.647 -0.738  -0.703 -0.957  -0.580 -0.985  -0.355 -0.960  -0.128 -0.950  0.099 -0.945  0.325 -0.945  0.552 -0.956  0.778 -0.970  1.004 -0.989  1.228 -1.012  1.020 -0.930  0.815 -0.834  0.610 -0.737  0.404 -0.641  0.199 -0.544  -0.006 -0.448  -0.211 -0.351  -0.416 -0.255  -0.335 -0.222  -0.109 -0.222  0.118 -0.212  0.344 -0.204  0.571 -0.199  0.510 -0.119  0.319 0.003  0.128 0.125  -0.063 0.248  -0.254 0.370  -0.445 0.492  -0.636 0.614  -0.827 0.736  -1.019 0.858  -0.964 0.960  -0.743 1.008  -0.522 1.059  -0.300 1.108  -0.079 1.158  0.144 1.199  0.369 1.227  0.595 1.241  0.822 1.241  1.048 1.259  1.198 1.266
1b#val#yannis45/E  -0.766 0.645  -0.697 0.426  -0.634 0.205  -0.576 -0.018  -0.599 -0.246  -0.653 -0.469  -0.726 -0.687  -0.763 -0.913  -0.704 -1.115  -0.479 -1.105  -0.253 -1.062  -0.027 -1.019  0.200 -0.990  0.430 -0.995  0.659 -1.012  0.888 -1.031  1.115 -0.996  0.918 -0.892  0.710 -0.793  0.502 -0.695  0.295 -0.596  0.087 -0.497  -0.120 -0.399  -0.328 -0.300  -0.452 -0.219  -0.222 -0.212  0.008 -0.213  0.237 -0.212  0.467 -0.210  0.622 -0.173  0.431 -0.045  0.240 0.082  0.049 0.210  -0.142 0.337  -0.333 0.465  -0.525 0.593  -0.716 0.720  -0.907 0.848  -1.023 0.960  -0.794 0.959  -0.564 0.968  -0.334 0.977  -0.107 1.007  0.120 1.043  0.348 1.073  0.576 1.098  0.805 1.115  1.035 1.121  1.265 1.127  1.436 1.133
1b#val#yannis45/E  -1.049 0.715  -0.971 0.490  -0.911 0.259  -0.815 0.042  -0.746 -0.182  -0.731 -0.420  -0.807 -0.644  -0.893 -0.866  -0.855 -1.027  -0.646 -0.917  -0.424 -0.830  -0.197 -0.764  0.041 -0.749  0.279 -0.747  0.517 -0.760  0.753 -0.788  0.990 -0.821  1.226 -0.853  1.346 -0.866  1.121 -0.788  0.899 -0.701  0.677 -0.615  0.454 -0.529  0.232 -0.442  0.010 -0.356  -0.212 -0.270  -0.435 -0.184  -0.391 -0.137  -0.152 -0.134  0.086 -0.147  0.324 -0.147  0.562 -0.137  0.401 -0.011  0.203 0.122  0.006 0.256  -0.192 0.389  -0.389 0.523  -0.587 0.656  -0.785 0.789  -0.981 0.923  -0.759 0.999  -0.523 1.029  -0.286 1.056  -0.048 1.072  0.190 1.084  0.428 1.085  0.667 1.085  0.905 1.085  1.144 1.085  1.326 1.090
1b#val#yannis45/E  -0.827 0.382  -0.812 0.147  -0.795 -0.088  -0.776 -0.323  -0.756 -0.558  -0.768 -0.792  -0.821 -1.020  -0.653 -1.097  -0.418 -1.076  -0.186 -1.041  0.048 -1.013  0.283 -0.995  0.517 -0.975  0.752 -0.970  0.987 -0.980  1.223 -0.986  1.054 -0.882  0.844 -0.775  0.634 -0.668  0.424 -0.561  0.215 -0.454  0.005 -0.347  -0.205 -0.240  -0.415 -0.134  -0.398 -0.077  -0.163 -0.063  0.070 -0.031  0.304 -0.006  0.539 0.011  0.774 0.024  0.611 0.142  0.393 0.230  0.175 0.317  -0.044 0.405  -0.262 0.493  -0.481 0.581  -0.699 0.669  -0.918 0.757  -1.136 0.845  -1.013 0.905  -0.779 0.930  -0.545 0.954  -0.310 0.976  -0.076 0.997  0.159 1.020  0.393 1.042  0.627 1.064  0.863 1.076  1.098 1.086  1.264 1.100
1b#val#yannis45/E  -0.968 0.037  -0.968 -0.185  -0.981 -0.406  -1.011 -0.626  -0.945 -0.814  -0.726 -0.847  -0.504 -0.855  -0.282 -0.855  -0.061 -0.855  0.161 -0.855  0.383 -0.855  0.605 -0.855  0.827 -0.855  1.049 -0.859  1.270 -0.867  1.082 -0.823  0.872 -0.750  0.663 -0.677  0.453 -0.604  0.244 -0.532  0.034 -0.459  -0.175 -0.386  -0.385 -0.313  -0.594 -0.240  -0.804 -0.167  -0.709 -0.142  -0.487 -0.149  -0.266 -0.133  -0.044 -0.123  0.177 -0.108  0.398 -0.094  0.550 -0.052  0.376 0.087  0.203 0.225  0.029 0.363  -0.144 0.501  -0.318 0.639  -0.491 0.778  -0.665 0.916  -0.838 1.054  -0.693 1.102  -0.472 1.122  -0.250 1.132  -0.029 1.145  0.192 1.159  0.414 1.176  0.635 1.193  0.856 1.210  1.076 1.234  1.259 1.269
1b#val#yannis45/E  -0.770 0.520  -0.757 0.307  -0.749 0.095  -0.761 -0.118  -0.779 -0.330  -0.818 -0.540  -0.858 -0.749  -0.785 -0.929  -0.572 -0.936  -0.359 -0.929  -0.146 -0.920  0.067 -0.911  0.280 -0.905  0.493 -0.899  0.706 -0.894  0.920 -0.894  1.133 -0.894  0.966 -0.837  0.763 -0.770  0.561 -0.703  0.358 -0.637  0.156 -0.570  -0.047 -0.503  -0.249 -0.436  -0.452 -0.370  -0.311 -0.347  -0.098 -0.346  0.113 -0.368  0.326 -0.377  0.516 -0.366  0.377 -0.205  0.230 -0.052  0.082 0.102  -0.066 0.256  -0.214 0.409  -0.362 0.563  -0.510 0.717  -0.657 0.870  -0.805 1.024  -0.779 1.104  -0.569 1.133  -0.356 1.146  -0.143 1.155  0.070 1.167  0.283 1.178  0.496 1.187  0.709 1.197  0.922 1.198  1.135 1.198  1.310 1.210
1b#val#yannis45/E  -0.995 0.493  -0.995 0.248  -0.977 0.003  -0.959 -0.241  -0.948 -0.486  -0.929 -0.730  -0.794 -0.885  -0.549 -0.896  -0.304 -0.911  -0.059 -0.925  0.186 -0.938  0.430 -0.960  0.674 -0.981  0.919 -1.000  1.163 -1.024  1.140 -0.959  0.919 -0.854  0.697 -0.749  0.475 -0.644  0.253 -0.540  0.032 -0.435  -0.190 -0.330  -0.412 -0.225  -0.634 -0.121  -0.821 -0.024  -0.576 -0.034  -0.331 -0.032  -0.086 -0.045  0.159 -0.056  0.404 -0.068  0.648 -0.055  0.616 0.008  0.402 0.127  0.187 0.246  -0.027 0.365  -0.242 0.484  -0.456 0.603  -0.671 0.722  -0.885 0.841  -0.896 0.960  -0.653 0.993  -0.408 1.011  -0.163 1.020  0.082 1.020  0.327 1.017  0.572 1.011  0.817 1.003  1.063 0.996  1.308 0.988  1.487 0.992
1b#val#yannis45/E  -1.182 -0.275  -1.214 -0.483  -1.243 -0.692  -1.253 -0.902  -1.145 -0.960  -0.960 -0.857  -0.764 -0.784  -0.562 -0.723  -0.355 -0.683  -0.146 -0.657  0.064 -0.644  0.275 -0.639  0.486 -0.648  0.697 -0.657  0.907 -0.670  1.117 -0.687  1.327 -0.706  1.123 -0.693  0.923 -0.626  0.725 -0.555  0.526 -0.483  0.328 -0.412  0.129 -0.341  -0.069 -0.269  -0.268 -0.198  -0.466 -0.127  -0.481 -0.091  -0.271 -0.098  -0.060 -0.100  0.150 -0.079  0.358 -0.047  0.539 -0.004  0.369 0.121  0.200 0.248  0.032 0.375  -0.137 0.501  -0.306 0.628  -0.474 0.755  -0.643 0.881  -0.812 1.008  -0.689 1.052  -0.479 1.072  -0.269 1.085  -0.058 1.098  0.152 1.109  0.363 1.121  0.572 1.149  0.782 1.169  0.992 1.186  1.167 1.231
1b#val#yannis45/E  -1.050 0.034  -1.084 -0.196  -1.153 -0.419  -1.217 -0.643  -1.064 -0.774  -0.832 -0.795  -0.599 -0.811  -0.367 -0.829  -0.135 -0.845  0.098 -0.856  0.331 -0.856  0.563 -0.853  0.796 -0.859  1.028 -0.881  1.039 -0.815  0.819 -0.737  0.600 -0.659  0.380 -0.582  0.161 -0.504  -0.059 -0.426  -0.278 -0.349  -0.498 -0.271  -0.718 -0.194  -0.704 -0.156  -0.471 -0.156  -0.238 -0.157  -0.005 -0.167  0.228 -0.174  0.460 -0.174  0.652 -0.166  0.459 -0.035  0.266 0.096  0.073 0.226  -0.119 0.357  -0.312 0.488  -0.505 0.618  -0.698 0.749  -0.890 0.880  -0.848 0.940  -0.615 0.945  -0.382 0.959  -0.150 0.973  0.083 0.979  0.316 0.983  0.549 0.988  0.781 1.005  1.013 1.019  1.246 1.023  1.478 1.037  1.572 1.042
1b#val#yannis45/E  -1.038 0.472  -0.958 0.235  -0.860 0.005  -0.760 -0.225  -0.814 -0.468  -0.942 -0.677  -0.929 -0.894  -0.683 -0.847  -0.435 -0.819  -0.185 -0.801  0.065 -0.789  0.316 -0.782  0.566 -0.786  0.816 -0.799  1.066 -0.815  1.316 -0.831  1.471 -0.824  1.235 -0.740  1.000 -0.655  0.764 -0.570  0.528 -0.485  0.293 -0.401  0.057 -0.316  -0.179 -0.231  -0.415 -0.146  -0.182 -0.137  0.068 -0.137  0.319 -0.137  0.569 -0.131  0.820 -0.128  0.679 -0.045  0.453 0.062  0.226 0.169  -0.001 0.275  -0.227 0.382  -0.454 0.489  -0.680 0.596  -0.907 0.702  -1.134 0.809  -1.325 0.916  -1.077 0.936  -0.826 0.934  -0.576 0.931  -0.325 0.928  -0.075 0.926  0.176 0.932  0.426 0.942  0.676 0.960  0.923 0.999  1.158 1.015
1b#val#yannis45/E  -0.899 0.543  -0.917 0.308  -0.934 0.073  -0.953 -0.162  -0.961 -0.397  -0.916 -0.628  -0.905 -0.863  -0.750 -0.908  -0.516 -0.883  -0.280 -0.883  -0.045 -0.883  0.191 -0.890  0.427 -0.901  0.661 -0.926  0.896 -0.951  1.115 -0.971  0.899 -0.878  0.680 -0.789  0.462 -0.700  0.243 -0.611  0.025 -0.523  -0.194 -0.434  -0.412 -0.345  -0.630 -0.256  -0.399 -0.250  -0.164 -0.249  0.072 -0.255  0.308 -0.269  0.543 -0.274  0.778 -0.263  0.611 -0.119  0.422 0.022  0.234 0.164  0.045 0.306  -0.143 0.448  -0.332 0.590  -0.520 0.732  -0.708 0.873  -0.897 1.015  -0.823 1.080  -0.588 1.100  -0.353 1.088  -0.117 1.072  0.118 1.053  0.352 1.030  0.587 1.007  0.822 0.984  1.057 0.981  1.293 0.981  1.516 1.012
1b#val#yannis45/E  -0.858 0.857  -0.841 0.629  -0.825 0.400  -0.811 0.172  -0.799 -0.056  -0.796 -0.285  -0.819 -0.512  -0.854 -0.738  -0.711 -0.814  -0.482 -0.826  -0.254 -0.836  -0.025 -0.844  0.203 -0.850  0.432 -0.856  0.661 -0.863  0.889 -0.870  1.118 -0.876  1.346 -0.883  1.566 -0.892  1.353 -0.810  1.139 -0.729  0.925 -0.648  0.711 -0.567  0.497 -0.487  0.283 -0.406  0.069 -0.325  -0.145 -0.244  -0.359 -0.163  -0.415 -0.111  -0.186 -0.106  0.042 -0.097  0.270 -0.075  0.498 -0.065  0.366 0.043  0.181 0.177  -0.005 0.311  -0.190 0.445  -0.375 0.579  -0.561 0.713  -0.746 0.847  -0.931 0.981  -0.971 1.086  -0.743 1.101  -0.515 1.094  -0.286 1.082  -0.058 1.075  0.171 1.069  0.399 1.056  0.628 1.053  0.815 1.067
1b#val#yannis45/E  -0.830 0.697  -0.806 0.450  -0.801 0.202  -0.790 -0.046  -0.776 -0.293  -0.806 -0.538  -0.842 -0.782  -0.809 -0.943  -0.563 -0.931  -0.316 -0.940  -0.068 -0.951  0.180 -0.963  0.428 -0.969  0.676 -0.965  0.924 -0.969  1.107 -0.960  0.878 -0.866  0.648 -0.772  0.419 -0.677  0.189 -0.583  -0.040 -0.489  -0.269 -0.395  -0.499 -0.300  -0.378 -0.290  -0.130 -0.293  0.118 -0.285  0.366 -0.283  0.614 -0.287  0.859 -0.288  0.651 -0.157  0.439 -0.028  0.227 0.100  0.015 0.229  -0.196 0.358  -0.408 0.487  -0.620 0.616  -0.832 0.745  -1.044 0.874  -1.094 0.982  -0.846 0.997  -0.598 1.001  -0.351 0.994  -0.103 0.978  0.144 0.962  0.392 0.954  0.640 0.947  0.888 0.937  1.136 0.925  1.383 0.911  1.496 0.897
1b#val#yannis45/E  -0.895 0.606  -0.853 0.353  -0.844 0.096  -0.872 -0.158  -0.931 -0.407  -1.027 -0.644  -1.110 -0.881  -0.863 -0.884  -0.612 -0.828  -0.359 -0.787  -0.103 -0.764  0.153 -0.756  0.408 -0.779  0.663 -0.812  0.913 -0.866  1.162 -0.930  1.025 -0.851  0.783 -0.765  0.541 -0.678  0.300 -0.592  0.058 -0.505  -0.184 -0.419  -0.425 -0.332  -0.667 -0.246  -0.736 -0.189  -0.479 -0.184  -0.222 -0.179  0.034 -0.182  0.291 -0.188  0.547 -0.204  0.801 -0.237  0.650 -0.119  0.436 0.024  0.223 0.166  0.009 0.308  -0.205 0.450  -0.418 0.593  -0.632 0.735  -0.846 0.877  -0.893 0.987  -0.637 1.010  -0.380 1.014  -0.124 1.019  0.133 1.019  0.390 1.017  0.647 1.014  0.903 1.010  1.160 1.009  1.416 1.014  1.671 1.044
1b#val#yannis45/E  -0.898 0.404  -0.871 0.168  -0.860 -0.069  -0.855 -0.306  -0.859 -0.543  -0.877 -0.779  -0.933 -1.001  -0.746 -1.036  -0.520 -0.968  -0.287 -0.922  -0.050 -0.909  0.187 -0.899  0.424 -0.890  0.661 -0.881  0.898 -0.894  1.135 -0.904  1.017 -0.847  0.795 -0.764  0.572 -0.681  0.350 -0.598  0.128 -0.515  -0.094 -0.432  -0.317 -0.349  -0.539 -0.266  -0.653 -0.193  -0.416 -0.198  -0.182 -0.163  0.053 -0.126  0.287 -0.090  0.522 -0.053  0.757 -0.022  0.562 0.060  0.360 0.184  0.159 0.309  -0.043 0.434  -0.245 0.558  -0.447 0.683  -0.649 0.808  -0.851 0.932  -0.875 1.014  -0.638 1.027  -0.401 1.034  -0.164 1.045  0.073 1.058  0.310 1.068  0.547 1.077  0.784 1.088  1.021 1.101  1.258 1.117  1.408 1.128
1b#val#yannis45/E  -1.019 0.761  -0.929 0.545  -0.870 0.318  -0.822 0.088  -0.826 -0.146  -0.834 -0.380  -0.838 -0.615  -0.792 -0.841  -0.580 -0.900  -0.345 -0.895  -0.111 -0.898  0.124 -0.898  0.358 -0.884  0.592 -0.880  0.827 -0.879  1.061 -0.883  1.296 -0.876  1.530 -0.863  1.478 -0.854  1.259 -0.780  1.043 -0.688  0.827 -0.596  0.611 -0.504  0.396 -0.412  0.180 -0.320  -0.036 -0.228  -0.252 -0.136  -0.467 -0.044  -0.677 0.047  -0.444 0.075  -0.211 0.099  0.024 0.103  0.258 0.108  0.475 0.169  0.280 0.274  0.073 0.383  -0.135 0.492  -0.342 0.602  -0.550 0.711  -0.757 0.820  -0.965 0.930  -0.922 0.971  -0.687 0.971  -0.453 0.971  -0.218 0.973  0.017 0.977  0.251 0.977  0.485 0.994  0.719 1.009  0.917 1.030
1b#val#yannis45/E  -0.829 0.755  -0.774 0.541  -0.733 0.323  -0.701 0.103  -0.693 -0.118  -0.692 -0.340  -0.700 -0.562  -0.708 -0.783  -0.736 -1.003  -0.655 -1.152  -0.439 -1.105  -0.219 -1.074  0.002 -1.053  0.223 -1.045  0.445 -1.045  0.667 -1.051  0.889 -1.058  1.110 -1.058  1.182 -1.036  0.997 -0.913  0.812 -0.790  0.628 -0.668  0.443 -0.545  0.258 -0.422  0.073 -0.300  -0.112 -0.177  -0.296 -0.054  -0.481 0.069  -0.451 0.112  -0.230 0.100  -0.008 0.112  0.213 0.126  0.435 0.126  0.389 0.153  0.216 0.292  0.043 0.431  -0.129 0.570  -0.302 0.709  -0.475 0.848  -0.648 0.987  -0.794 1.119  -0.574 1.130  -0.352 1.120  -0.131 1.111  0.091 1.100  0.313 1.089  0.534 1.085  0.756 1.077  0.978 1.074  1.166 1.090
1b#val#yannis45/E  -0.652 0.220  -0.664 -0.002  -0.687 -0.222  -0.712 -0.443  -0.708 -0.664  -0.707 -0.886  -0.634 -1.039  -0.412 -1.035  -0.190 -1.027  0.031 -1.023  0.253 -1.017  0.475 -1.013  0.697 -1.020  0.919 -1.027  1.141 -1.033  1.065 -0.970  0.870 -0.865  0.674 -0.760  0.479 -0.655  0.283 -0.550  0.088 -0.445  -0.108 -0.340  -0.303 -0.235  -0.499 -0.130  -0.335 -0.115  -0.113 -0.115  0.109 -0.114  0.331 -0.107  0.553 -0.099  0.523 -0.026  0.335 0.092  0.146 0.209  -0.042 0.327  -0.230 0.444  -0.419 0.561  -0.607 0.679  -0.795 0.796  -0.984 0.914  -1.142 1.027  -0.922 1.042  -0.700 1.043  -0.478 1.040  -0.256 1.043  -0.034 1.050  0.187 1.058  0.409 1.067  0.631 1.077  0.852 1.088  1.074 1.101  1.211 1.099
1b#val#yannis45/E  -0.740 0.804  -0.682 0.581  -0.633 0.356  -0.590 0.130  -0.552 -0.097  -0.552 -0.327  -0.574 -0.556  -0.605 -0.784  -0.665 -1.007  -0.653 -1.210  -0.432 -1.263  -0.201 -1.263  0.029 -1.264  0.259 -1.269  0.489 -1.277  0.719 -1.289  0.949 -1.298  0.871 -1.182  0.703 -1.025  0.535 -0.868  0.366 -0.710  0.198 -0.553  0.030 -0.395  -0.138 -0.238  -0.306 -0.081  -0.471 0.077  -0.260 0.159  -0.031 0.174  0.198 0.158  0.427 0.131  0.655 0.095  0.884 0.095  0.778 0.214  0.571 0.315  0.364 0.416  0.156 0.517  -0.051 0.617  -0.258 0.718  -0.465 0.819  -0.672 0.919  -0.879 1.020  -0.777 1.056  -0.547 1.063  -0.316 1.068  -0.086 1.072  0.144 1.076  0.375 1.078  0.605 1.078  0.835 1.073  0.997 1.078
1b#val#yannis45/E  -0.960 0.606  -0.896 0.377  -0.838 0.146  -0.797 -0.089  -0.771 -0.325  -0.763 -0.563  -0.773 -0.801  -0.677 -0.943  -0.439 -0.948  -0.201 -0.943  0.037 -0.936  0.275 -0.944  0.510 -0.984  0.745 -1.023  0.975 -1.079  1.207 -1.128  1.345 -1.128  1.134 -1.023  0.935 -0.893  0.735 -0.763  0.535 -0.633  0.336 -0.503  0.136 -0.373  -0.064 -0.243  -0.263 -0.113  -0.463 0.017  -0.605 0.128  -0.367 0.120  -0.129 0.112  0.109 0.098  0.347 0.079  0.584 0.059  0.739 0.094  0.529 0.205  0.322 0.323  0.115 0.442  -0.092 0.560  -0.299 0.678  -0.505 0.797  -0.712 0.915  -0.919 1.033  -0.956 1.130  -0.720 1.115  -0.485 1.080  -0.247 1.059  -0.010 1.043  0.228 1.033  0.467 1.035  0.705 1.038  0.902 1.055
1b#val#yannis45/E  -0.959 0.855  -0.864 0.660  -0.791 0.456  -0.772 0.241  -0.794 0.026  -0.830 -0.189  -0.846 -0.405  -0.841 -0.622  -0.846 -0.839  -0.815 -1.054  -0.692 -1.195  -0.485 -1.130  -0.271 -1.093  -0.056 -1.060  0.161 -1.051  0.378 -1.056  0.594 -1.078  0.809 -1.107  0.754 -1.004  0.588 -0.865  0.421 -0.726  0.254 -0.587  0.087 -0.447  -0.079 -0.308  -0.246 -0.169  -0.219 -0.100  -0.002 -0.103  0.214 -0.120  0.431 -0.129  0.647 -0.148  0.588 -0.074  0.415 0.057  0.242 0.188  0.069 0.320  -0.104 0.451  -0.277 0.582  -0.450 0.713  -0.624 0.844  -0.754 0.962  -0.538 0.973  -0.320 0.967  -0.103 0.962  0.114 0.957  0.331 0.947  0.548 0.935  0.764 0.923  0.981 0.911  1.198 0.900  1.415 0.899  1.575 0.930
1b#val#yannis45/E  -0.994 0.889  -0.848 0.697  -0.735 0.483  -0.696 0.245  -0.678 0.005  -0.675 -0.237  -0.674 -0.478  -0.718 -0.714  -0.690 -0.901  -0.451 -0.873  -0.210 -0.860  0.031 -0.860  0.273 -0.859  0.514 -0.854  0.756 -0.854  0.997 -0.847  1.239 -0.836  1.396 -0.848  1.160 -0.802  0.927 -0.737  0.694 -0.673  0.462 -0.608  0.229 -0.543  -0.004 -0.478  -0.237 -0.414  -0.469 -0.349  -0.524 -0.314  -0.283 -0.305  -0.041 -0.294  0.200 -0.295  0.441 -0.312  0.332 -0.213  0.143 -0.062  -0.045 0.089  -0.234 0.240  -0.422 0.392  -0.611 0.543  -0.799 0.694  -0.988 0.845  -0.996 0.946  -0.755 0.966  -0.514 0.987  -0.273 1.009  -0.032 1.019  0.209 1.027  0.451 1.037  0.692 1.050  0.933 1.064  1.173 1.088  1.342 1.103
1b#val#yannis45/E  -1.005 0.838  -0.897 0.594  -0.832 0.336  -0.767 0.078  -0.734 -0.186  -0.704 -0.450  -0.692 -0.716  -0.666 -0.981  -0.652 -1.209  -0.418 -1.100  -0.155 -1.063  0.110 -1.041  0.376 -1.028  0.642 -1.019  0.908 -1.015  1.175 -1.018  1.326 -0.991  1.088 -0.871  0.850 -0.752  0.612 -0.633  0.374 -0.513  0.136 -0.394  -0.102 -0.275  -0.340 -0.156  -0.578 -0.036  -0.816 0.083  -0.684 0.120  -0.418 0.105  -0.152 0.088  0.113 0.065  0.378 0.041  0.640 -0.005  0.903 -0.047  0.703 0.078  0.467 0.200  0.230 0.323  -0.006 0.446  -0.242 0.569  -0.478 0.692  -0.714 0.815  -0.950 0.937  -0.841 1.004  -0.576 1.026  -0.310 1.040  -0.044 1.034  0.222 1.026  0.488 1.018  0.754 1.004  1.018 0.974  1.266 0.963
1b#val#yannis45/E  -0.974 0.886  -0.922 0.644  -0.825 0.414  -0.712 0.192  -0.587 -0.023  -0.483 -0.250  -0.446 -0.495  -0.451 -0.744  -0.532 -0.969  -0.330 -1.013  -0.081 -1.000  0.168 -0.999  0.417 -1.009  0.666 -1.027  0.914 -1.052  1.161 -1.084  1.351 -1.109  1.118 -1.051  0.899 -0.932  0.680 -0.813  0.461 -0.694  0.242 -0.575  0.023 -0.456  -0.196 -0.337  -0.415 -0.218  -0.634 -0.100  -0.446 -0.045  -0.197 -0.045  0.052 -0.045  0.300 -0.073  0.547 -0.105  0.723 -0.108  0.512 0.024  0.301 0.156  0.089 0.288  -0.122 0.420  -0.333 0.552  -0.545 0.685  -0.756 0.817  -0.967 0.949  -1.088 1.061  -0.839 1.061  -0.589 1.052  -0.340 1.046  -0.091 1.037  0.158 1.028  0.407 1.019  0.656 1.011  0.905 1.001  1.150 1.031
1b#val#yannis45/E  -0.907 0.601  -0.875 0.358  -0.850 0.114  -0.813 -0.128  -0.774 -0.369  -0.751 -0.613  -0.740 -0.857  -0.679 -1.082  -0.437 -1.059  -0.193 -1.039  0.052 -1.021  0.296 -1.007  0.541 -1.015  0.784 -1.038  1.023 -1.089  1.179 -1.116  0.967 -0.994  0.755 -0.872  0.543 -0.749  0.331 -0.627  0.119 -0.504  -0.094 -0.382  -0.306 -0.259  -0.518 -0.137  -0.730 -0.014  -0.684 0.063  -0.440 0.074  -0.195 0.061  0.049 0.041  0.292 0.015  0.535 -0.011  0.779 -0.031  0.634 0.061  0.422 0.182  0.209 0.303  -0.004 0.425  -0.217 0.546  -0.429 0.667  -0.642 0.788  -0.855 0.910  -0.834 1.007  -0.592 1.041  -0.348 1.059  -0.103 1.069  0.142 1.079  0.386 1.087  0.631 1.093  0.876 1.099  1.120 1.112  1.342 1.157
1b#val#yannis45/E  -1.003 0.788  -1.008 0.547  -1.042 0.307  -1.070 0.067  -1.097 -0.173  -1.116 -0.414  -1.117 -0.656  -1.049 -0.885  -0.826 -0.944  -0.604 -0.859  -0.365 -0.825  -0.123 -0.822  0.117 -0.847  0.355 -0.885  0.594 -0.923  0.833 -0.958  1.073 -0.987  1.079 -0.951  0.867 -0.836  0.654 -0.721  0.442 -0.605  0.229 -0.490  0.017 -0.375  -0.196 -0.259  -0.408 -0.144  -0.621 -0.029  -0.574 -0.001  -0.333 0.013  -0.091 0.025  0.151 0.025  0.392 0.011  0.633 0.003  0.642 0.044  0.432 0.164  0.222 0.284  0.012 0.404  -0.198 0.524  -0.408 0.643  -0.618 0.763  -0.740 0.862  -0.499 0.878  -0.257 0.888  -0.016 0.898  0.226 0.905  0.468 0.912  0.709 0.922  0.951 0.931  1.192 0.935  1.434 0.928  1.652 0.920
1b#val#yannis45/E  -0.840 -0.047  -0.763 -0.303  -0.684 -0.559  -0.605 -0.816  -0.528 -1.072  -0.577 -0.894  -0.670 -0.643  -0.763 -0.392  -0.856 -0.141  -0.949 0.111  -1.042 0.362  -1.135 0.613  -1.191 0.845  -0.928 0.895  -0.663 0.931  -0.397 0.962  -0.129 0.983  0.138 0.998  0.406 1.003  0.674 1.007  0.942 1.003  1.209 0.986  1.022 0.899  0.782 0.781  0.541 0.662  0.301 0.544  0.061 0.426  -0.180 0.307  -0.420 0.189  -0.661 0.071  -0.562 0.060  -0.295 0.077  -0.027 0.075  0.241 0.065  0.509 0.058  0.776 0.050  0.870 -0.003  0.662 -0.171  0.453 -0.339  0.244 -0.507  0.036 -0.675  -0.173 -0.844  -0.284 -0.973  -0.017 -0.952  0.251 -0.942  0.519 -0.939  0.787 -0.940  1.055 -0.942  1.323 -0.938  1.533 -0.932
1b#val#yannis45/E  -0.794 0.673  -0.772 0.410  -0.759 0.147  -0.759 -0.117  -0.764 -0.381  -0.738 -0.642  -0.668 -0.895  -0.502 -1.090  -0.244 -1.142  0.020 -1.146  0.280 -1.105  0.540 -1.058  0.803 -1.047  1.067 -1.039  1.204 -1.032  0.964 -0.921  0.725 -0.811  0.485 -0.701  0.245 -0.590  0.005 -0.480  -0.234 -0.369  -0.474 -0.259  -0.714 -0.148  -0.954 -0.038  -0.897 -0.021  -0.634 -0.049  -0.371 -0.070  -0.107 -0.070  0.157 -0.065  0.421 -0.059  0.684 -0.048  0.947 -0.027  0.820 0.052  0.585 0.173  0.351 0.294  0.116 0.415  -0.118 0.536  -0.353 0.657  -0.587 0.778  -0.822 0.899  -1.000 1.007  -0.736 1.014  -0.472 1.021  -0.208 1.026  0.055 1.034  0.319 1.041  0.583 1.041  0.847 1.046  1.110 1.061  1.345 1.090
