1c#apa#apa03#app0358/k  0.098 1.882  -0.025 1.778  -0.209 1.698  -0.283 1.501  -0.396 1.319  -0.473 1.110  -0.520 0.893  -0.643 0.716  -0.643 0.488  -0.655 0.265  -0.766 0.083  -0.766 -0.145  -0.776 -0.372  -0.849 -0.588  -0.890 -0.809  -0.890 -1.037  -0.831 -1.206  -0.736 -1.056  -0.564 -0.906  -0.393 -0.756  -0.221 -0.605  -0.050 -0.455  0.122 -0.305  0.294 -0.155  0.465 -0.005  0.637 0.145  0.808 0.295  0.980 0.446  1.151 0.596  1.086 0.620  0.957 0.518  0.778 0.400  0.674 0.276  0.453 0.260  0.291 0.099  0.092 0.029  -0.103 -0.049  -0.301 -0.123  -0.490 -0.218  -0.643 -0.292  -0.464 -0.341  -0.283 -0.455  -0.059 -0.465  0.162 -0.497  0.368 -0.588  0.595 -0.591  0.773 -0.712  0.963 -0.750  1.086 -0.854  1.086 -1.082
3#art#art03tst/k  -0.707 -0.501  -0.538 -0.375  -0.388 -0.224  -0.245 -0.067  -0.124 0.108  -0.003 0.283  0.115 0.460  0.211 0.651  0.290 0.848  0.365 1.047  0.440 1.247  0.509 1.448  0.567 1.653  0.574 1.865  0.443 1.885  0.345 1.699  0.278 1.497  0.194 1.302  0.146 1.094  0.098 0.887  0.037 0.683  -0.024 0.479  -0.097 0.279  -0.170 0.079  -0.252 -0.117  -0.338 -0.312  -0.417 -0.510  -0.491 -0.709  -0.586 -0.900  -0.716 -1.065  -0.632 -0.981  -0.476 -0.837  -0.310 -0.702  -0.160 -0.552  -0.001 -0.410  0.165 -0.277  0.347 -0.167  0.554 -0.120  0.702 -0.216  0.671 -0.424  0.534 -0.583  0.364 -0.711  0.174 -0.807  -0.025 -0.879  -0.230 -0.939  -0.432 -1.007  -0.482 -1.146  -0.291 -1.239  -0.093 -1.318  0.105 -1.397
1c#apb#apb38#app3868/k  -1.302 -1.023  -1.127 -1.118  -0.961 -0.946  -0.824 -0.748  -0.702 -0.540  -0.570 -0.338  -0.437 -0.137  -0.305 0.064  -0.173 0.266  -0.070 0.484  0.029 0.704  0.106 0.931  0.163 1.165  0.216 1.400  0.244 1.639  0.277 1.878  0.321 1.922  0.298 1.682  0.273 1.442  0.247 1.202  0.214 0.964  0.161 0.729  0.108 0.494  0.047 0.261  -0.026 0.031  -0.100 -0.199  -0.176 -0.427  -0.270 -0.649  -0.363 -0.872  -0.473 -1.086  -0.507 -1.184  -0.459 -0.955  -0.321 -0.757  -0.177 -0.564  -0.019 -0.382  0.141 -0.202  0.312 -0.032  0.483 0.137  0.659 0.302  0.810 0.330  0.661 0.140  0.490 -0.030  0.322 -0.201  0.188 -0.402  0.074 -0.612  0.074 -0.833  0.256 -0.973  0.490 -1.006  0.730 -0.995  0.968 -0.956
3#apa#apa20#app2063/k  -0.257 2.150  -0.093 2.150  -0.088 1.991  -0.088 1.827  -0.088 1.663  -0.189 1.541  -0.257 1.405  -0.257 1.241  -0.257 1.077  -0.257 0.913  -0.257 0.749  -0.257 0.585  -0.283 0.431  -0.399 0.315  -0.426 0.163  -0.426 -0.002  -0.426 -0.166  -0.426 -0.330  -0.426 -0.494  -0.426 -0.658  -0.426 -0.822  -0.426 -0.986  -0.360 -1.017  -0.229 -0.918  -0.097 -0.820  0.034 -0.722  0.165 -0.623  0.297 -0.525  0.428 -0.426  0.559 -0.328  0.690 -0.229  0.822 -0.131  0.897 -0.051  0.733 -0.051  0.569 -0.051  0.405 -0.051  0.241 -0.051  0.078 -0.054  -0.038 -0.170  -0.181 -0.220  -0.257 -0.309  -0.198 -0.448  -0.088 -0.567  -0.086 -0.730  0.030 -0.846  0.146 -0.962  0.267 -1.067  0.431 -1.067  0.589 -1.072  0.589 -1.236
1c#ibm#ibm0#r0315/k  -0.280 1.766  -0.441 1.721  -0.441 1.514  -0.485 1.315  -0.550 1.118  -0.603 0.920  -0.603 0.714  -0.603 0.507  -0.603 0.300  -0.603 0.093  -0.603 -0.113  -0.603 -0.320  -0.603 -0.527  -0.603 -0.733  -0.603 -0.940  -0.595 -1.127  -0.462 -0.969  -0.328 -0.811  -0.195 -0.654  -0.061 -0.496  0.072 -0.338  0.206 -0.180  0.339 -0.022  0.473 0.135  0.606 0.293  0.740 0.451  0.873 0.609  1.007 0.767  1.140 0.924  1.038 0.872  0.866 0.757  0.694 0.642  0.499 0.575  0.303 0.510  0.119 0.420  -0.053 0.305  -0.225 0.191  -0.343 0.028  -0.436 -0.157  -0.578 -0.305  -0.481 -0.451  -0.335 -0.598  -0.188 -0.744  -0.042 -0.890  0.127 -0.996  0.327 -1.046  0.528 -1.096  0.717 -1.166  0.863 -1.312  1.010 -1.458
1c#ibm#ibm0#r0315/k  -0.669 1.392  -0.669 1.185  -0.669 0.979  -0.669 0.772  -0.669 0.565  -0.669 0.358  -0.669 0.152  -0.669 -0.055  -0.669 -0.262  -0.669 -0.469  -0.669 -0.675  -0.669 -0.882  -0.669 -1.089  -0.790 -1.086  -0.647 -0.937  -0.518 -0.775  -0.389 -0.614  -0.260 -0.452  -0.130 -0.291  -0.001 -0.130  0.128 0.032  0.257 0.193  0.386 0.355  0.515 0.516  0.644 0.678  0.774 0.839  0.903 1.001  1.032 1.162  1.008 1.200  0.823 1.108  0.629 1.039  0.432 0.974  0.268 0.857  0.122 0.711  -0.024 0.564  -0.170 0.418  -0.284 0.248  -0.375 0.063  -0.375 -0.144  -0.375 -0.350  -0.293 -0.538  -0.171 -0.689  0.025 -0.754  0.221 -0.820  0.406 -0.913  0.591 -1.005  0.776 -1.098  0.979 -1.112  1.186 -1.112  1.393 -1.112
1c#ibm#ibm0#r0315/k  -0.710 1.362  -0.710 1.151  -0.710 0.941  -0.710 0.731  -0.710 0.521  -0.710 0.310  -0.710 0.100  -0.710 -0.110  -0.710 -0.321  -0.710 -0.531  -0.710 -0.741  -0.710 -0.951  -0.690 -1.108  -0.554 -0.947  -0.419 -0.787  -0.283 -0.626  -0.147 -0.466  -0.011 -0.305  0.125 -0.144  0.261 0.016  0.396 0.177  0.532 0.337  0.668 0.498  0.804 0.658  0.940 0.819  1.076 0.979  1.211 1.140  1.112 1.115  0.924 1.021  0.736 0.927  0.548 0.833  0.360 0.739  0.171 0.645  -0.017 0.551  -0.199 0.449  -0.347 0.300  -0.534 0.203  -0.710 0.102  -0.678 -0.095  -0.529 -0.244  -0.381 -0.392  -0.232 -0.541  -0.067 -0.670  0.108 -0.786  0.283 -0.903  0.472 -0.991  0.672 -1.057  0.871 -1.124  0.976 -1.299  1.071 -1.487
1c#ibm#ibm0#r0315/k  -0.280 1.766  -0.441 1.721  -0.441 1.514  -0.485 1.315  -0.550 1.118  -0.603 0.920  -0.603 0.714  -0.603 0.507  -0.603 0.300  -0.603 0.093  -0.603 -0.113  -0.603 -0.320  -0.603 -0.527  -0.603 -0.733  -0.603 -0.940  -0.595 -1.127  -0.462 -0.969  -0.328 -0.811  -0.195 -0.654  -0.061 -0.496  0.072 -0.338  0.206 -0.180  0.339 -0.022  0.473 0.135  0.606 0.293  0.740 0.451  0.873 0.609  1.007 0.767  1.140 0.924  1.038 0.872  0.866 0.757  0.694 0.642  0.499 0.575  0.303 0.510  0.119 0.420  -0.053 0.305  -0.225 0.191  -0.343 0.028  -0.436 -0.157  -0.578 -0.305  -0.481 -0.451  -0.335 -0.598  -0.188 -0.744  -0.042 -0.890  0.127 -0.996  0.327 -1.046  0.528 -1.096  0.717 -1.166  0.863 -1.312  1.010 -1.458
1c#ibm#ibm0#r0315/k  -0.752 1.376  -0.752 1.164  -0.752 0.952  -0.752 0.740  -0.752 0.528  -0.752 0.316  -0.752 0.105  -0.752 -0.107  -0.752 -0.319  -0.752 -0.531  -0.752 -0.743  -0.752 -0.955  -0.752 -1.089  -0.703 -0.896  -0.560 -0.740  -0.417 -0.584  -0.273 -0.427  -0.130 -0.271  0.013 -0.115  0.156 0.041  0.299 0.197  0.443 0.354  0.586 0.510  0.729 0.666  0.872 0.822  1.015 0.978  1.159 1.135  1.102 1.140  0.913 1.046  0.774 0.893  0.657 0.716  0.539 0.540  0.358 0.482  0.147 0.482  -0.062 0.469  -0.252 0.374  -0.431 0.265  -0.573 0.112  -0.553 -0.095  -0.458 -0.285  -0.345 -0.461  -0.190 -0.604  -0.001 -0.699  0.192 -0.787  0.393 -0.854  0.594 -0.921  0.734 -1.058  0.828 -1.248  1.004 -1.307  1.216 -1.307
1c#ibm#ibm0#r0315/k  1.045 1.316  0.964 1.263  0.884 1.209  0.804 1.156  0.724 1.102  0.644 1.049  0.564 0.995  0.480 0.950  0.388 0.920  0.297 0.889  0.205 0.859  0.114 0.828  0.023 0.798  -0.063 0.754  -0.143 0.701  -0.223 0.648  -0.303 0.594  -0.383 0.541  -0.463 0.488  -0.544 0.434  -0.590 0.351  -0.633 0.264  -0.676 0.178  -0.719 0.092  -0.782 0.020  -0.850 -0.048  -0.891 -0.116  -0.823 -0.184  -0.755 -0.252  -0.687 -0.320  -0.619 -0.388  -0.551 -0.456  -0.483 -0.524  -0.414 -0.593  -0.346 -0.661  -0.278 -0.729  -0.210 -0.797  -0.122 -0.830  -0.029 -0.853  0.065 -0.876  0.158 -0.900  0.252 -0.923  0.345 -0.946  0.439 -0.970  0.527 -1.002  0.595 -1.070  0.663 -1.138  0.731 -1.207  0.800 -1.275  0.868 -1.343
1c#ibm#ibm0#r0315/k  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
1c#ibm#ibm0#r0315/k  0.806 1.348  0.724 1.307  0.642 1.266  0.559 1.225  0.475 1.188  0.388 1.159  0.301 1.130  0.214 1.101  0.127 1.072  0.045 1.034  -0.020 0.970  -0.085 0.905  -0.149 0.840  -0.214 0.775  -0.279 0.710  -0.344 0.645  -0.409 0.580  -0.474 0.515  -0.538 0.450  -0.579 0.368  -0.620 0.285  -0.661 0.203  -0.685 0.117  -0.685 0.025  -0.685 -0.066  -0.685 -0.158  -0.685 -0.250  -0.663 -0.337  -0.622 -0.419  -0.581 -0.501  -0.540 -0.583  -0.458 -0.617  -0.371 -0.646  -0.284 -0.675  -0.197 -0.704  -0.109 -0.733  -0.026 -0.771  0.056 -0.812  0.138 -0.853  0.220 -0.894  0.302 -0.936  0.384 -0.977  0.466 -1.018  0.553 -1.038  0.645 -1.038  0.737 -1.038  0.829 -1.038  0.921 -1.038  1.012 -1.038  1.104 -1.038
1c#ibm#ibm0#r0315/k  1.140 1.272  1.051 1.228  0.962 1.183  0.873 1.139  0.786 1.091  0.703 1.035  0.620 0.980  0.537 0.925  0.454 0.869  0.371 0.814  0.284 0.768  0.189 0.736  0.094 0.705  -0.000 0.673  -0.095 0.641  -0.187 0.606  -0.270 0.550  -0.353 0.495  -0.436 0.440  -0.519 0.384  -0.602 0.329  -0.681 0.270  -0.752 0.199  -0.822 0.129  -0.869 0.041  -0.914 -0.048  -0.958 -0.137  -0.975 -0.221  -0.904 -0.292  -0.833 -0.362  -0.746 -0.409  -0.657 -0.453  -0.568 -0.498  -0.478 -0.543  -0.389 -0.587  -0.300 -0.632  -0.211 -0.676  -0.122 -0.721  -0.033 -0.766  0.056 -0.810  0.146 -0.855  0.235 -0.900  0.324 -0.944  0.413 -0.989  0.503 -1.031  0.598 -1.062  0.692 -1.094  0.787 -1.125  0.881 -1.157  0.976 -1.189
1c#ibm#ibm0#r0315/k  0.033 1.701  0.033 1.632  0.033 1.562  0.033 1.492  0.033 1.423  0.033 1.353  0.033 1.283  0.033 1.214  0.033 1.144  0.033 1.074  0.033 1.005  0.033 0.935  0.033 0.865  0.033 0.796  0.033 0.726  0.033 0.656  0.033 0.587  0.033 0.517  0.033 0.447  0.033 0.378  0.033 0.308  0.033 0.238  0.033 0.169  0.033 0.099  0.033 0.029  0.033 -0.040  0.033 -0.110  0.033 -0.180  0.033 -0.249  0.033 -0.319  0.033 -0.389  0.033 -0.458  0.033 -0.528  0.033 -0.598  0.033 -0.667  0.033 -0.737  0.033 -0.807  0.033 -0.876  0.016 -0.943  -0.006 -1.009  -0.028 -1.075  -0.050 -1.141  -0.072 -1.207  -0.094 -1.274  -0.116 -1.340  -0.138 -1.406  -0.160 -1.472  -0.182 -1.538  -0.204 -1.604  -0.226 -1.670
1c#ibm#ibm0#r0315/k  1.056 1.190  0.988 1.123  0.921 1.055  0.852 0.991  0.756 0.991  0.661 0.991  0.565 0.991  0.470 0.991  0.383 0.953  0.298 0.911  0.212 0.868  0.127 0.826  0.039 0.792  -0.056 0.792  -0.152 0.792  -0.247 0.792  -0.340 0.788  -0.383 0.703  -0.426 0.618  -0.469 0.532  -0.511 0.447  -0.563 0.368  -0.631 0.301  -0.698 0.233  -0.728 0.155  -0.704 0.062  -0.681 -0.030  -0.658 -0.123  -0.635 -0.216  -0.612 -0.308  -0.589 -0.401  -0.566 -0.494  -0.542 -0.586  -0.468 -0.638  -0.383 -0.681  -0.297 -0.723  -0.212 -0.766  -0.129 -0.813  -0.062 -0.880  0.006 -0.948  0.073 -1.015  0.141 -1.083  0.208 -1.150  0.283 -1.200  0.379 -1.200  0.474 -1.200  0.569 -1.200  0.665 -1.200  0.760 -1.200  0.856 -1.200
1c#ibm#ibm0#r0315/k  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
1c#ibm#ibm0#r0315/k  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
1c#ibm#ibm0#r0315/k  1.094 1.336  1.005 1.291  0.915 1.246  0.825 1.202  0.736 1.157  0.666 1.091  0.610 1.007  0.554 0.924  0.499 0.841  0.443 0.758  0.388 0.674  0.332 0.591  0.258 0.542  0.158 0.542  0.058 0.542  -0.042 0.542  -0.142 0.542  -0.242 0.542  -0.337 0.521  -0.427 0.476  -0.516 0.431  -0.606 0.386  -0.695 0.341  -0.765 0.270  -0.836 0.199  -0.884 0.123  -0.853 0.028  -0.821 -0.067  -0.789 -0.162  -0.758 -0.257  -0.726 -0.352  -0.694 -0.447  -0.626 -0.519  -0.555 -0.589  -0.481 -0.656  -0.392 -0.701  -0.302 -0.746  -0.213 -0.791  -0.123 -0.836  -0.030 -0.871  0.065 -0.903  0.160 -0.934  0.255 -0.966  0.350 -0.997  0.445 -1.029  0.518 -1.086  0.563 -1.176  0.607 -1.265  0.652 -1.355  0.697 -1.444
3#apa#apa04#app0457/k  -0.434 2.032  -0.304 1.947  -0.304 1.731  -0.304 1.515  -0.304 1.299  -0.320 1.088  -0.416 0.894  -0.434 0.683  -0.434 0.467  -0.434 0.251  -0.434 0.036  -0.434 -0.180  -0.565 -0.342  -0.615 -0.546  -0.695 -0.743  -0.695 -0.959  -0.617 -1.097  -0.546 -1.199  -0.427 -1.020  -0.307 -0.840  -0.187 -0.661  -0.067 -0.481  0.052 -0.302  0.172 -0.122  0.292 0.057  0.411 0.237  0.531 0.417  0.651 0.596  0.796 0.729  1.011 0.729  1.033 0.729  0.833 0.692  0.665 0.561  0.473 0.462  0.313 0.320  0.120 0.224  -0.078 0.173  -0.230 0.020  -0.383 -0.133  -0.434 -0.327  -0.434 -0.543  -0.304 -0.628  -0.180 -0.767  0.020 -0.836  0.192 -0.941  0.397 -0.966  0.613 -0.966  0.829 -0.966  0.914 -1.097  1.000 -1.227
2#tos#f1#f1006061/k  -0.700 2.032  -0.514 2.032  -0.408 1.925  -0.391 1.745  -0.391 1.559  -0.329 1.387  -0.329 1.201  -0.329 1.014  -0.329 0.828  -0.329 0.641  -0.329 0.455  -0.372 0.278  -0.454 0.111  -0.499 -0.070  -0.515 -0.254  -0.515 -0.441  -0.515 -0.627  -0.515 -0.813  -0.515 -1.000  -0.478 -1.066  -0.375 -0.910  -0.271 -0.755  -0.168 -0.600  -0.065 -0.445  0.039 -0.290  0.142 -0.135  0.246 0.020  0.349 0.176  0.452 0.331  0.556 0.486  0.563 0.443  0.496 0.301  0.383 0.210  0.251 0.078  0.083 0.034  -0.049 -0.098  -0.221 -0.131  -0.268 -0.271  -0.127 -0.317  -0.082 -0.459  0.055 -0.516  0.216 -0.602  0.289 -0.735  0.461 -0.750  0.571 -0.873  0.747 -0.899  0.844 -1.056  1.028 -1.059  1.215 -1.059  1.401 -1.059
3#app#app07#app0787/k  0.098 1.862  0.098 1.669  0.086 1.481  -0.042 1.337  -0.128 1.165  -0.214 0.992  -0.272 0.812  -0.280 0.622  -0.417 0.485  -0.554 0.349  -0.690 0.212  -0.804 0.059  -0.888 -0.115  -0.942 -0.286  -1.078 -0.422  -1.134 -0.593  -1.258 -0.735  -1.178 -0.848  -1.108 -0.725  -0.914 -0.725  -0.739 -0.650  -0.582 -0.542  -0.445 -0.405  -0.285 -0.300  -0.120 -0.203  0.028 -0.082  0.201 0.004  0.378 0.048  0.514 0.185  0.676 0.261  0.869 0.261  1.033 0.333  1.205 0.384  1.398 0.384  1.325 0.331  1.147 0.256  0.968 0.182  0.790 0.108  0.611 0.033  0.433 -0.041  0.255 -0.115  0.076 -0.190  -0.025 -0.315  -0.025 -0.509  -0.025 -0.702  0.095 -0.845  0.232 -0.982  0.378 -1.095  0.541 -1.168  0.714 -1.218
3#ced#jika4257_s_0o/k  -0.331 1.717  -0.462 1.768  -0.509 1.553  -0.508 1.331  -0.461 1.113  -0.449 0.893  -0.433 0.672  -0.420 0.451  -0.390 0.232  -0.375 0.011  -0.331 -0.207  -0.331 -0.429  -0.305 -0.649  -0.285 -0.869  -0.272 -1.090  -0.246 -1.308  -0.213 -1.524  -0.166 -1.308  -0.119 -1.091  -0.073 -0.874  -0.026 -0.656  0.020 -0.439  0.067 -0.222  0.114 -0.005  0.160 0.212  0.207 0.430  0.254 0.647  0.300 0.864  0.347 1.081  0.458 1.270  0.577 1.283  0.540 1.070  0.423 0.882  0.328 0.684  0.203 0.505  0.054 0.341  -0.099 0.186  -0.271 0.050  -0.467 -0.053  -0.583 -0.140  -0.398 -0.261  -0.210 -0.376  -0.022 -0.492  0.172 -0.600  0.342 -0.740  0.511 -0.883  0.680 -1.026  0.837 -1.183  1.008 -1.324  1.149 -1.495
1c#app#app07#app0719/k  0.543 1.637  0.520 1.614  0.441 1.445  0.321 1.284  0.201 1.124  0.090 0.957  -0.021 0.790  -0.132 0.623  -0.219 0.443  -0.283 0.253  -0.405 0.100  -0.502 -0.070  -0.572 -0.257  -0.654 -0.440  -0.717 -0.630  -0.887 -0.726  -0.915 -0.915  -1.025 -1.079  -1.104 -1.224  -1.139 -1.227  -1.059 -1.059  -0.959 -0.947  -0.887 -0.764  -0.818 -0.580  -0.719 -0.418  -0.627 -0.245  -0.507 -0.086  -0.365 0.055  -0.199 0.138  -0.057 0.279  0.101 0.395  0.291 0.459  0.471 0.543  0.672 0.543  0.872 0.543  1.072 0.543  1.216 0.486  1.230 0.405  1.071 0.283  0.912 0.160  0.753 0.038  0.594 -0.084  0.436 -0.206  0.277 -0.328  0.235 -0.298  0.375 -0.358  0.440 -0.532  0.463 -0.723  0.545 -0.889  0.627 -1.055
1c#app#app18#app1822/k  -0.671 1.777  -0.886 1.754  -0.886 1.516  -0.837 1.299  -0.671 1.130  -0.671 0.892  -0.671 0.654  -0.671 0.416  -0.604 0.206  -0.456 0.029  -0.456 -0.209  -0.456 -0.447  -0.387 -0.656  -0.241 -0.833  -0.241 -1.071  -0.241 -1.309  -0.266 -1.348  -0.323 -1.117  -0.381 -0.887  -0.439 -0.656  -0.456 -0.420  -0.456 -0.182  -0.244 -0.157  -0.012 -0.171  0.156 -0.340  0.188 -0.564  0.403 -0.587  0.427 -0.801  0.665 -0.801  0.833 -0.871  0.926 -1.016  0.932 -1.016  0.819 -0.879  0.796 -0.642  0.772 -0.405  0.748 -0.168  0.725 0.068  0.701 0.305  0.677 0.542  0.654 0.778  0.630 1.015  0.498 1.133  0.403 0.990  0.237 0.918  0.188 0.729  -0.023 0.703  -0.041 0.474  -0.209 0.305  -0.241 0.081  -0.241 -0.157
2#tos#t2#t2016065/k  -0.395 1.503  -0.506 1.626  -0.578 1.708  -0.578 1.474  -0.578 1.241  -0.578 1.007  -0.578 0.774  -0.578 0.540  -0.578 0.307  -0.578 0.073  -0.578 -0.160  -0.578 -0.394  -0.578 -0.627  -0.578 -0.861  -0.578 -1.094  -0.578 -1.328  -0.570 -1.415  -0.434 -1.226  -0.298 -1.036  -0.162 -0.846  -0.026 -0.657  0.111 -0.467  0.247 -0.277  0.383 -0.088  0.519 0.102  0.655 0.292  0.792 0.481  0.928 0.671  1.064 0.861  1.070 1.012  0.914 0.913  0.738 0.832  0.545 0.735  0.362 0.591  0.197 0.429  0.092 0.221  -0.117 0.117  -0.273 -0.020  -0.393 -0.204  -0.456 -0.376  -0.386 -0.441  -0.221 -0.276  -0.090 -0.279  0.080 -0.389  0.205 -0.540  0.320 -0.703  0.507 -0.787  0.710 -0.899  0.912 -0.999  1.070 -1.121
1c#app#app32#app3290/k  -0.068 2.191  -0.068 1.975  -0.068 1.760  -0.068 1.544  -0.164 1.351  -0.260 1.158  -0.326 0.958  -0.326 0.742  -0.326 0.526  -0.415 0.332  -0.456 0.126  -0.456 -0.090  -0.456 -0.306  -0.456 -0.522  -0.456 -0.737  -0.456 -0.953  -0.543 -1.133  -0.585 -1.331  -0.523 -1.339  -0.403 -1.160  -0.283 -0.980  -0.164 -0.801  -0.044 -0.621  0.076 -0.442  0.195 -0.262  0.315 -0.083  0.435 0.096  0.554 0.276  0.674 0.455  0.794 0.635  0.913 0.814  0.968 0.780  0.818 0.638  0.634 0.562  0.443 0.501  0.279 0.379  0.063 0.379  -0.023 0.249  -0.197 0.207  -0.325 0.120  -0.326 -0.095  -0.326 -0.311  -0.236 -0.489  -0.165 -0.657  0.016 -0.740  0.062 -0.937  0.169 -1.045  0.331 -1.175  0.519 -1.243  0.709 -1.304
1c#apb#apb05#app0529/k  -0.225 1.474  -0.326 1.284  -0.411 1.086  -0.482 0.883  -0.530 0.673  -0.579 0.463  -0.630 0.253  -0.680 0.043  -0.728 -0.167  -0.778 -0.377  -0.832 -0.586  -0.883 -0.795  -0.911 -1.009  -0.936 -1.223  -0.961 -1.388  -0.816 -1.228  -0.672 -1.068  -0.527 -0.908  -0.383 -0.748  -0.238 -0.588  -0.094 -0.428  0.051 -0.268  0.196 -0.108  0.340 0.052  0.485 0.212  0.629 0.373  0.774 0.533  0.918 0.693  1.063 0.853  1.207 1.013  1.271 1.093  1.098 0.968  0.902 0.878  0.709 0.782  0.530 0.662  0.345 0.551  0.156 0.447  -0.039 0.355  -0.243 0.288  -0.455 0.263  -0.405 0.164  -0.252 0.012  -0.105 -0.146  0.034 -0.310  0.170 -0.478  0.317 -0.636  0.476 -0.781  0.639 -0.922  0.821 -1.030  0.987 -1.161
2#app#app31#app3194/k  -0.598 0.779  -0.598 0.986  -0.598 1.193  -0.598 1.400  -0.565 1.593  -0.467 1.760  -0.337 1.806  -0.337 1.599  -0.337 1.392  -0.337 1.185  -0.337 0.978  -0.337 0.771  -0.337 0.564  -0.337 0.357  -0.337 0.150  -0.255 -0.038  -0.207 -0.234  -0.207 -0.441  -0.207 -0.648  -0.076 -0.725  0.027 -0.889  0.093 -1.046  0.069 -1.046  -0.138 -1.046  -0.345 -1.046  -0.552 -1.046  -0.598 -0.885  -0.598 -0.678  -0.560 -0.487  -0.413 -0.340  -0.337 -0.165  -0.174 -0.101  -0.028 0.045  0.145 0.127  0.303 0.246  0.506 0.257  0.712 0.254  0.897 0.162  0.867 0.044  0.708 -0.089  0.549 -0.221  0.390 -0.354  0.231 -0.486  0.331 -0.525  0.511 -0.591  0.691 -0.655  0.844 -0.786  0.967 -0.871  1.081 -1.030  1.227 -1.177
2#apa#apa10#app1014/k  -0.625 1.224  -0.625 1.405  -0.625 1.585  -0.625 1.766  -0.506 1.658  -0.441 1.505  -0.441 1.324  -0.441 1.143  -0.441 0.963  -0.441 0.782  -0.441 0.602  -0.441 0.421  -0.441 0.241  -0.441 0.060  -0.441 -0.120  -0.441 -0.301  -0.441 -0.481  -0.441 -0.662  -0.467 -0.831  -0.595 -0.959  -0.625 -1.127  -0.625 -1.039  -0.533 -0.897  -0.406 -0.769  -0.278 -0.642  -0.189 -0.486  -0.108 -0.324  -0.017 -0.169  0.083 -0.019  0.183 0.131  0.283 0.281  0.453 0.302  0.633 0.302  0.814 0.302  0.994 0.302  1.175 0.302  1.219 0.166  1.126 0.024  0.998 -0.104  0.870 -0.231  0.714 -0.319  0.553 -0.400  0.391 -0.481  0.230 -0.561  0.113 -0.670  0.113 -0.850  0.152 -1.002  0.323 -1.059  0.495 -1.116  0.666 -1.173
3#kai#kai1#jspark5/k  0.029 2.334  0.033 2.161  0.075 1.993  0.082 1.821  0.044 1.652  0.029 1.480  0.029 1.307  0.002 1.138  -0.046 0.972  -0.077 0.802  -0.096 0.632  -0.148 0.466  -0.196 0.300  -0.236 0.132  -0.249 -0.039  -0.289 -0.206  -0.308 -0.376  -0.342 -0.544  -0.342 -0.718  -0.365 -0.888  -0.395 -1.058  -0.395 -1.231  -0.409 -1.359  -0.501 -1.213  -0.488 -1.044  -0.381 -0.908  -0.274 -0.772  -0.167 -0.635  -0.060 -0.499  0.047 -0.363  0.155 -0.226  0.262 -0.090  0.369 0.046  0.476 0.183  0.583 0.319  0.628 0.412  0.469 0.346  0.325 0.250  0.181 0.153  0.042 0.049  -0.099 -0.050  -0.143 -0.167  -0.047 -0.311  0.050 -0.455  0.146 -0.600  0.242 -0.744  0.298 -0.908  0.394 -1.052  0.452 -1.215  0.613 -1.274
